# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:29:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\qs70qp0k.json
# init = 0
# random
#   seed = 308621210
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation0\exponential_priors-20240422152955.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-40.0658,0.334549,0.125,2,3,0,46.1971,0.673863,0.64507,1.34221
-40.0658,0,4.2901,0,1,1,41.2958,0.673863,0.64507,1.34221
-40.0658,0,0.506561,0,1,1,40.5511,0.673863,0.64507,1.34221
-30.917,0.97255,0.040713,4,15,0,42.5409,0.963047,1.00239,2.42376
-32.4863,0.967539,0.0447931,3,7,0,32.7241,0.95169,0.95503,2.59704
-32.8305,0.990687,0.0583411,3,7,0,33.0235,1.12518,1.20709,1.98886
-32.6763,1,0.0910473,3,11,0,36.8645,1.07135,2.7373,4.24042
-34.1082,0.336869,0.156956,2,3,0,34.5499,0.755601,2.60391,4.65844
-35.5263,0.991116,0.0351766,2,3,0,35.6736,0.721249,2.7439,4.73591
-32.0266,0.995246,0.0625886,2,3,0,35.6737,0.850894,2.54277,4.80383
-28.3489,0.971391,0.115234,3,15,0,32.4234,1.20501,1.46712,3.67834
-28.3489,0.200616,0.199018,1,3,0,28.9408,1.20501,1.46712,3.67834
-29.7813,0.989541,0.0304966,5,31,0,30.3255,1.43717,1.74679,4.87346
-29.7272,0.985845,0.0566835,3,7,0,30.614,1.22508,1.74872,5.2434
-29.3938,0.954316,0.104101,3,15,0,30.4116,1.27641,1.90145,3.8049
-29.5982,0.764721,0.172824,2,3,0,29.9166,0.959794,2.06776,3.49848
-28.7758,0.923814,0.159467,2,3,0,29.9522,1.12868,2.03414,3.87913
-28.7758,5.39842e-008,0.239993,1,2,1,29.9166,1.12868,2.03414,3.87913
-29.1472,0.999816,0.0218714,5,47,0,31.2378,0.992826,1.20568,2.61893
-29.8244,0.993112,0.0418885,4,23,0,30.8144,0.872453,1.76883,2.90546
-30.0083,0.960549,0.0779269,1,1,0,30.1273,0.870681,1.77412,2.8648
-28.2807,0.940351,0.130453,2,7,0,30.2961,1.04573,1.89449,3.86024
-28.2807,7.22734e-007,0.204208,1,1,0,29.7595,1.04573,1.89449,3.86024
-28.4619,0.991469,0.0206352,4,15,0,29.6031,1.0854,1.93646,3.73554
-28.5423,0.986512,0.0377713,3,7,0,29.1555,1.1103,1.98331,3.84384
-28.3061,1,0.0674971,3,15,0,29.5044,1.05905,1.85538,3.62522
-28.2468,0.907959,0.12412,1,3,0,28.9952,1.14831,1.69856,4.14036
-29.2833,0.674765,0.17447,1,3,0,29.7218,1.16952,1.87691,3.45526
-28.5401,0.986501,0.12738,3,7,0,30.6122,1.0622,1.9906,3.81401
-28.6469,1,0.221151,1,1,0,29.0333,1.02367,1.99732,3.76864
