# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:30:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\cqhk37nm.json
# init = 0
# random
#   seed = 4014884693
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation1\exponential_priors-20240422153025.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-19.2968,1,0.0625,2,3,0,29.449,0.938486,0.912545,1.17866
-19.2968,0,14.3855,0,1,1,19.7574,0.938486,0.912545,1.17866
-19.2968,0,2.43117,0,1,1,22.9414,0.938486,0.912545,1.17866
-19.2968,6.13678e-034,0.239791,1,3,1,19.5942,0.938486,0.912545,1.17866
-16.0933,1,0.0186273,4,31,0,20.2142,0.873662,0.926394,1.34118
-16.7644,0.992055,0.0257257,3,7,0,17.0462,0.848706,0.958956,1.3128
-17.9148,0.890582,0.0394353,3,15,0,20.9158,0.939564,0.719086,1.60412
-19.6875,0.871343,0.0476933,2,7,0,23.7216,0.738835,0.749849,1.5262
-16.5678,0.98271,0.0566787,2,3,0,20.0994,0.789693,0.81873,1.47932
-17.468,0.818498,0.0984317,3,7,0,18.3437,1.12768,0.781057,1.25172
-16.8695,0.997111,0.103694,3,7,0,18.8006,1.3236,0.939943,1.89464
-15.9416,0.333433,0.194269,1,3,0,16.9812,1.11807,1.07829,2.26726
-16.9814,0.962629,0.0452318,4,23,0,17.8321,0.786028,1.03994,1.3727
-15.1186,0.769107,0.0771344,2,7,0,19.5624,0.981862,0.965885,1.67948
-16.8759,0.971074,0.0719473,3,15,0,17.4521,1.19209,0.65545,1.34354
-18.184,0.342398,0.126103,2,3,0,20.5693,1.09859,0.608165,1.47757
-18.0205,0.999338,0.0317976,4,15,0,20.4156,1.39873,0.725725,1.59625
-17.6638,0.99869,0.0609931,4,31,0,18.8923,0.811416,1.4858,2.0484
-16.7412,0.632225,0.115867,2,3,0,17.7943,0.821295,1.37009,1.97024
-15.8139,0.98206,0.0725204,2,3,0,16.8746,0.853213,1.23478,1.96382
-16.3799,0.943884,0.129952,3,7,0,16.7245,1.2161,1.04104,2.34674
-16.3799,0.0244278,0.206205,1,1,0,17.5284,1.2161,1.04104,2.34674
-15.3904,0.999864,0.0219349,4,31,0,16.8841,1.01028,1.13336,1.89792
-15.9127,0.990639,0.0413095,3,15,0,17.3915,1.20966,0.981454,2.02797
-16.5084,0.98741,0.0749878,3,15,0,17.7352,0.679116,0.853733,1.23395
-17.4547,0.120512,0.133562,3,7,0,19.2319,0.840718,0.829511,1.12701
-16.8217,0.996525,0.0202167,4,15,0,18.3323,0.720173,0.808344,1.37057
-17.074,0.960082,0.0370098,4,31,0,20.2118,0.620387,1.00065,1.48661
-16.6071,0.968838,0.0606014,2,7,0,19.1237,0.689227,0.930422,1.49532
-15.909,0.9707,0.100831,3,7,0,16.8923,0.742041,1.06701,1.60341
-16.693,0.137831,0.167206,2,3,0,17.1844,0.71547,1.07437,1.75773
-16.2225,0.995451,0.028634,3,7,0,17.1917,0.725679,1.14428,1.69654
-15.4067,0.990461,0.0508584,2,7,0,17.2665,0.836178,1.03228,1.6893
-17.5206,0.580073,0.0883031,3,7,0,18.8995,0.841713,0.859809,1.15467
-16.1739,0.841877,0.0512059,3,7,0,20.0686,1.06183,0.959633,1.51753
-17.908,0.963296,0.0596135,3,15,0,19.4041,1.43375,1.17748,2.69481
-17.2921,0.809014,0.0950256,2,3,0,19.1045,1.3488,1.0232,2.5106
-21.0604,0.867346,0.100855,3,7,0,21.6791,0.673144,1.71263,2.67723
-22.442,0.677117,0.124215,1,1,0,22.653,0.655768,1.93231,2.42996
-17.1032,1,0.0938924,2,3,0,22.5327,0.945978,1.54414,2.38413
-17.1032,0.0824708,0.161289,2,7,0,17.9632,0.945978,1.54414,2.38413
-16.5652,0.993601,0.0274432,5,47,0,19.9588,0.766786,0.885932,1.22222
-16.3919,0.98214,0.0464323,3,15,0,18.0102,0.670403,0.962375,1.37925
-16.8765,0.875714,0.0757687,3,15,0,17.4096,0.674784,0.871428,1.40733
-16.3975,0.996913,0.0945107,3,7,0,17.3214,0.801059,0.866295,1.22323
-16.3975,0.162864,0.157921,2,7,0,20.4406,0.801059,0.866295,1.22323
-16.8389,0.991169,0.0347382,4,15,0,17.294,0.764554,0.911131,1.22643
-17.2728,0.999128,0.0572194,3,7,0,17.8994,0.63895,1.03924,1.34413
-15.4774,0.958237,0.0953871,2,7,0,19.2855,0.983573,0.811763,1.51635
-15.4774,2.0977e-015,0.143291,1,1,0,19.9953,0.983573,0.811763,1.51635
-15.3684,0.999837,0.0223681,3,11,0,15.5319,1.00127,0.886749,1.49067
-16.2066,0.975128,0.0371833,4,31,0,16.8619,0.967629,1.30223,1.9922
-16.6208,0.997941,0.0579608,3,7,0,16.8858,0.801261,1.23419,2.10121
-15.3124,0.302354,0.0946785,2,7,0,24.3002,0.935213,0.848352,1.49794
-18.2649,0.925967,0.031107,3,7,0,18.9686,1.05431,0.989527,1.38967
-18.0373,0.997565,0.0430045,4,19,0,19.6709,1.13443,0.894323,2.30464
-16.0453,0.95831,0.0696381,3,7,0,19.7204,0.798301,0.832089,1.44277
-18.0876,0.794902,0.102589,3,15,0,20.0229,1.42775,1.09888,2.83693
