# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:31:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\qrtq_ryu.json
# init = 0
# random
#   seed = 4154317557
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation2\exponential_priors-20240422153159.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-14.5485,0.589082,0.125,2,7,0,24.3035,1.85323,0.549491,3.49789
-14.5485,0,6.81481,0,1,1,17.5879,1.85323,0.549491,3.49789
-14.5485,0,0.922959,0,1,1,15.4277,1.85323,0.549491,3.49789
-6.84435,0.914299,0.0802222,3,15,0,15.4207,0.611498,2.54253,4.45179
-0.63628,0.987941,0.0784812,4,15,0,8.62296,1.10733,0.92035,1.68743
1.64472,0.92695,0.111312,2,3,0,1.05551,0.99153,1.08234,2.26336
2.96762,0.201217,0.145428,3,7,0,-0.94401,1.15258,1.2121,2.65692
0.680257,0.994771,0.0210249,4,31,0,-0.181416,1.32722,1.015,2.67508
-0.621445,0.992487,0.0365362,3,7,0,0.847013,1.49025,0.995806,2.54912
-0.128942,0.999326,0.0653016,2,3,0,1.08835,1.43051,0.995441,2.71412
3.0301,0.924381,0.121797,2,3,0,1.08263,1.28006,1.3329,3.17489
3.59757,1,0.181315,1,1,0,-3.03448,1.23502,1.44974,2.89306
3.59757,2.5816e-043,0.344517,1,1,0,-3.07512,1.23502,1.44974,2.89306
2.35716,0.997661,0.0284692,4,15,0,-2.01801,1.23929,1.17421,2.83596
4.2651,0.992567,0.0544522,3,7,0,-1.46331,1.11047,1.84669,3.31063
3.93231,0.929901,0.102191,2,7,0,-3.33407,1.22348,1.71936,3.24459
4.4118,0.167757,0.157321,3,7,0,-4.09936,1.0702,1.66427,3.15745
4.14267,0.990479,0.0235246,2,7,0,-3.67284,1.02979,1.61183,3.21868
4.19675,0.990324,0.0439144,3,15,0,-3.5814,1.09846,1.6127,2.95235
4.45777,0.884312,0.0812837,3,11,0,-3.60202,1.12363,1.84477,3.70085
4.44561,0.928963,0.108731,3,9,0,-4.25768,1.15948,1.77635,3.46218
4.44561,0.107056,0.165332,2,3,0,-4.22287,1.15948,1.77635,3.46218
3.64602,0.997794,0.0224493,4,31,0,-1.61916,1.17489,1.35584,2.77826
3.77516,0.982159,0.0420164,4,15,0,-3.12393,0.966911,1.5711,3.06485
3.7629,0.995102,0.074419,3,15,0,-2.21979,1.29386,2.10554,4.46885
3.5388,0.725119,0.135503,3,7,0,-3.20304,1.11786,2.39798,4.2681
4.2261,0.890536,0.113697,3,7,0,-3.23312,1.16879,1.55311,3.22871
