# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:33:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\9lcve59j.json
# init = 0
# random
#   seed = 796872812
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation3\exponential_priors-20240422153300.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-69.4992,1,0.125,2,3,0,77.9234,1.71295,1.04653,1.85324
-69.4992,0,14.3855,0,1,1,70.2236,1.71295,1.04653,1.85324
-69.4992,0,2.43117,0,1,1,69.6097,1.71295,1.04653,1.85324
-69.4992,1.44725e-040,0.239791,1,3,1,70.1451,1.71295,1.04653,1.85324
-55.4109,0.998891,0.0186273,3,7,0,71.027,1.41707,0.735897,2.15852
-55.6708,0.999858,0.0256408,3,15,0,56.0012,1.23609,0.706706,1.97029
-59.3425,0.942681,0.0402519,3,7,0,60.6912,1.1906,0.83551,1.51098
-57.2847,0.942115,0.057271,3,15,0,62.1459,1.11146,0.622292,1.38948
-56.8994,0.559298,0.0851644,2,3,0,61.1849,1.15125,0.565496,1.55166
-56.4817,0.99882,0.0389167,4,15,0,57.9065,1.16141,0.665178,1.63731
-56.2085,0.991744,0.0724173,3,7,0,56.8402,1.30738,0.583914,1.619
-56.8959,0.893182,0.133446,2,3,0,57.0957,1.26591,0.589668,1.43788
-56.8959,0.0191371,0.181297,2,6,1,58.4652,1.26591,0.589668,1.43788
-58.3624,0.999964,0.0159531,6,63,0,59.0318,1.09446,0.431762,1.04994
-59.1247,0.990213,0.0308308,4,15,0,59.2824,1.22738,0.436442,0.930192
-57.6628,0.999783,0.0576462,3,15,0,59.7586,1.30617,0.373446,1.18996
-57.6628,0.517587,0.110472,1,3,0,59.985,1.30617,0.373446,1.18996
-57.2882,0.989708,0.0482102,3,15,0,58.4901,1.28169,0.41614,1.38039
-57.074,0.943762,0.0892874,4,15,0,58.9182,1.11923,0.57951,1.48493
-56.5917,0.986034,0.142864,3,15,0,58.4547,1.62726,1.21858,8.35479
-56.5917,2.95998e-005,0.257615,1,3,0,56.8674,1.62726,1.21858,8.35479
-55.8732,0.999634,0.0249517,6,63,0,58.1281,1.29143,0.640303,1.77737
-56.2174,0.971519,0.0471263,4,23,0,57.7971,1.51578,0.574554,3.62832
-56.0128,0.960151,0.081203,4,15,0,57.4565,1.71424,1.14111,4.32541
-55.753,0.605473,0.13423,3,9,0,56.8863,1.63802,0.650287,2.50274
-55.7501,0.814796,0.0798845,2,3,0,58.0611,1.35259,0.579764,2.28287
-55.4185,0.97939,0.086805,2,3,0,56.0027,1.45808,0.56598,2.30253
-56.4287,0.622344,0.149581,2,3,0,56.4415,1.67165,0.53191,2.16927
-56.1993,0.978866,0.0944971,4,15,0,57.6452,1.30132,1.4183,4.97805
-54.8126,0.502006,0.161041,3,7,0,56.1388,1.42638,0.865166,2.69248
-55.3058,0.953797,0.0736977,3,15,0,55.693,1.45346,1.08966,3.06283
-55.2397,0.943431,0.116543,3,11,0,56.0014,1.47224,1.17249,5.16033
-55.6797,0.0679185,0.177876,2,7,0,58.0163,1.4082,0.880411,4.31211
-57.9827,0.994075,0.0259904,4,31,0,59.5941,1.99247,0.895773,6.30367
-58.8997,0.952152,0.0456003,4,27,0,60.6579,1.39557,0.697182,5.30512
-57.2133,0.993522,0.0710099,3,7,0,59.1034,1.89579,0.932626,4.64979
-59.8066,0.566257,0.12231,2,7,0,62.3722,1.3417,0.681045,5.05425
-58.7733,1,0.0691157,3,15,0,60.569,1.00151,1.17416,3.3301
-55.9525,0.909578,0.120029,3,11,0,59.5286,1.70496,1.33154,6.00987
-56.2579,0.407237,0.164132,4,15,0,56.3723,1.47345,1.39227,6.63446
-59.1783,0.964478,0.0626734,6,79,0,60.834,2.20245,1.22598,142.034
-59.3818,0.900088,0.0983592,4,27,0,60.2819,1.71074,2.32197,218.711
-57.8885,0.212928,0.130587,3,11,0,60.0205,1.99827,1.51291,190.844
-58.3874,0.997176,0.0315259,6,79,0,59.7701,2.04345,3.57863,372.497
-57.7389,0.935007,0.0533315,5,39,0,59.5672,1.90862,5.12221,326.201
-58.1205,0.945301,0.0769343,4,23,0,58.6708,1.84732,3.86362,315.295
-58.7547,0.959796,0.113182,3,15,0,60.5387,1.79589,6.18661,124.871
-58.1668,0.333337,0.171471,2,3,0,58.6016,1.89961,6.42764,133.982
-59.6077,0.937629,0.0578211,5,63,0,63.7383,1.80956,0.537724,75.2736
-57.4677,0.881675,0.0829946,4,31,0,61.8282,2.0179,4.21965,273.818
-57.9803,0.583424,0.103888,3,7,0,59.1546,1.94861,3.5564,336.249
-58.3284,0.999173,0.0644815,5,47,0,58.4744,1.95095,2.19366,49.8569
-58.3883,0.881644,0.105914,4,31,0,58.8873,1.89467,1.34144,34.2811
-59.8881,0.39219,0.131719,3,15,0,62.9858,1.67228,1.84853,34.3388
-58.4606,0.873512,0.0530804,1,3,0,61.7631,1.92197,1.85122,34.0336
-58.485,0.910964,0.0648845,5,63,0,60.3111,1.72459,1.20259,17.4641
-58.1648,0.997344,0.0861137,2,3,0,58.447,1.94195,1.26058,16.9495
-58.1648,0.0072331,0.138345,1,1,0,59.971,1.94195,1.26058,16.9495
-58.5657,0.999292,0.0240496,7,159,0,60.0054,1.85067,1.07272,58.3432
-57.8931,0.991657,0.0388695,5,63,0,59.2134,2.08757,1.8813,115.063
-58.1883,0.902844,0.061405,4,27,0,60.5422,2.13079,7.02801,290.494
-57.5283,0.799541,0.0793458,3,11,0,59.594,1.85542,6.60112,227.669
-57.7778,0.942643,0.0815366,5,31,0,58.3315,1.82713,2.79656,199.69
-58.0051,0.968712,0.114322,5,31,0,58.8829,1.80246,2.24609,121.476
-58.0051,0.0341387,0.168909,1,3,0,58.2124,1.80246,2.24609,121.476
-58.1407,0.991388,0.0333109,3,7,0,58.6367,2.13113,2.29668,111.527
-58.1039,0.921874,0.0517785,4,19,0,60.2307,1.80748,2.5244,89.5998
-59.4775,0.9972,0.0690779,4,23,0,60.0999,1.83958,1.05108,288.724
-57.5832,0.995483,0.107712,3,15,0,59.8408,2.06934,2.60308,192.803
-57.6805,0.301848,0.166523,1,3,0,58.8379,2.08308,2.9875,223.774
-57.8675,0.957399,0.0600491,4,23,0,58.8268,1.80809,2.58247,123.588
-57.8802,0.976664,0.0856124,3,15,0,58.4376,1.80623,2.77317,182.706
-57.9622,0.32606,0.126533,4,27,0,59.4132,1.88308,3.87426,320.277
-58.6587,0.978432,0.0487902,5,63,0,60.3498,2.09953,2.70819,70.4606
-58.4765,0.999824,0.0722733,4,27,0,59.3611,1.80995,1.32022,120.67
-59.8131,0.997642,0.111367,4,25,0,60.7958,2.11354,0.537541,27.7583
-59.3386,0.334423,0.170083,1,3,0,59.9244,1.82316,0.626501,26.4419
-58.7632,0.999702,0.0678657,5,47,0,60.4382,1.82609,2.41987,43.7178
-58.7375,1,0.103872,2,3,0,58.8212,1.97081,2.44127,42.9975
-60.0391,0.0758771,0.158395,2,7,1,61.0685,1.72443,3.15194,42.1696
-58.6746,0.984633,0.0383215,5,35,0,60.895,1.83594,0.937024,102.937
-57.7682,0.994817,0.0567172,5,39,0,59.5517,1.97778,1.39763,111.275
-57.7645,0.992845,0.0853127,4,15,0,57.8167,1.97333,1.40865,107.833
-57.7645,0.316405,0.127323,1,1,0,58.3187,1.97333,1.40865,107.833
-57.1298,0.999388,0.0506122,6,63,0,58.0646,1.94711,3.41067,152.471
-58.5093,0.992206,0.0763859,5,47,0,61.2375,1.88732,0.606386,12.7665
-55.1918,0.983411,0.113253,4,15,0,59.2224,1.57862,0.639525,3.29697
-55.1918,0.00429432,0.164489,1,1,0,57.3779,1.57862,0.639525,3.29697
-55.218,0.998224,0.0365292,4,31,0,55.357,1.53963,0.652639,3.37287
-55.9028,0.951381,0.0546589,3,7,0,56.6274,1.76807,0.640325,3.72512
-55.9871,0.979042,0.0745551,1,1,0,56.0736,1.77991,0.641587,3.70478
-56.2496,0.941363,0.106845,3,7,0,56.9581,1.57052,0.563149,3.88487
-56.2496,0.00112021,0.142183,2,3,0,60.7228,1.57052,0.563149,3.88487
-55.1987,0.986536,0.0324479,3,11,0,57.7424,1.47291,0.694792,3.36721
-55.7828,0.893903,0.0470918,3,15,0,58.8893,1.18719,0.832815,2.58659
-55.0634,0.999888,0.0573578,4,27,0,56.5617,1.454,1.16014,3.43436
-56.1639,0.967626,0.0848334,3,11,0,56.5561,1.80052,0.647418,4.43203
-55.6906,0.587476,0.117837,3,7,0,57.5363,1.45022,0.840986,2.32375
-55.781,0.986654,0.081304,2,7,0,56.2566,1.21962,0.719145,2.30596
-55.8579,0.662242,0.116611,3,15,0,57.8047,1.2148,0.991452,2.31704
-54.7136,0.999976,0.0924458,4,19,0,56.2348,1.41603,1.10952,4.00602
-54.7136,0,1.32982,0,1,1,55.0253,1.41603,1.10952,4.00602
-54.5861,0.999472,0.224739,4,15,0,54.8387,1.5179,0.97071,3.8569
-54.8777,0.433328,0.317939,2,7,0,55.8788,1.47038,0.82623,2.67909
-55.4478,1,0.103249,3,15,0,56.4191,1.68395,1.11524,5.61771
-55.488,0.916082,0.170387,2,3,0,56.6459,1.70326,1.05645,5.56424
-55.5606,0.984653,0.232264,3,15,0,57.1606,1.39157,0.576589,2.29915
-55.6299,0.0682671,0.403317,2,5,1,58.07,1.45143,0.76203,4.01276
-54.8439,0.994898,0.040129,4,31,0,57.2206,1.43267,0.811818,2.59052
-56.1175,0.928502,0.0731415,3,7,0,56.8059,1.41588,0.701997,3.77997
-56.2452,0.975738,0.109425,3,15,0,58.1257,1.60947,0.619281,2.14119
-59.7803,0.679788,0.191093,4,23,0,61.0665,1.76364,2.6216,372.887
-57.2862,1,0.13149,3,7,0,59.8865,1.92992,2.51607,163.806
-57.2887,0.990278,0.248292,3,7,0,57.5815,2.02377,2.88108,148.747
-57.2359,0.93825,0.452651,2,3,0,57.5668,1.95612,3.0721,128.77
-57.3962,0.764643,0.697829,2,3,0,57.9327,1.93646,2.16803,161.24
-58.5447,0.319233,0.627117,2,3,0,60.8598,1.84469,2.64393,318.772
-58.2243,1,0.144846,3,11,0,58.5531,2.03149,2.91253,73.9728
-57.1756,1,0.269385,2,3,0,58.2009,1.992,3.06518,157.305
-59.1844,0.748343,0.496341,2,5,0,60.8501,1.7099,8.26511,231.016
-59.1844,0.767381,0.427676,1,1,0,60.2724,1.7099,8.26511,231.016
-57.2624,0.946223,0.390868,2,7,0,61.2984,2.03114,3.27017,185.279
-57.2624,0.0482436,0.60444,1,3,0,59.8306,2.03114,3.27017,185.279
-57.4767,0.998131,0.0682304,4,31,0,57.7823,1.97664,3.37919,263.093
-61.1887,0.971929,0.123483,4,23,0,63.577,2.32117,8.70953,200.284
-58.4329,0.996333,0.20531,3,7,0,62.4924,2.07156,7.18937,399.98
-58.9762,0.966356,0.362679,2,3,0,59.3414,2.13409,8.39634,181.61
-58.9762,1.82854e-013,0.583307,1,2,1,66.6794,2.13409,8.39634,181.61
-58.1688,0.999255,0.0630926,5,31,0,59.7114,1.78736,3.36937,238.366
-59.036,0.972785,0.111878,5,47,0,60.589,2.0605,1.37571,22.0073
-56.3601,0.540919,0.182763,4,31,0,62.3346,1.42582,0.453583,1.98166
-55.9406,0.99369,0.0916456,3,15,0,57.9805,1.44279,0.492393,1.97267
-57.2263,0.935703,0.157371,4,15,0,57.414,1.52369,0.400878,1.42494
-55.7829,0.747697,0.22942,2,7,0,59.6015,1.65226,0.591223,3.89189
-58.2397,0.795912,0.20197,2,3,0,59.3458,1.72933,0.595884,1.96919
-57.589,0.463755,0.202241,3,15,0,61.5869,1.7068,0.741934,2.353
-57.2692,1,0.0851359,3,7,0,57.8182,1.70851,0.60716,6.57035
-56.146,0.973532,0.145544,5,31,0,57.7333,1.81886,0.752895,4.33155
-57.922,0.947703,0.230537,3,7,0,58.4967,1.95904,0.864114,10.2276
-57.5071,0.607222,0.339496,2,5,0,59.0031,1.92035,1.11793,6.11648
-56.4356,0.885816,0.210039,2,3,0,58.1155,1.83252,1.06501,5.81226
-57.4014,0.592223,0.263431,1,1,0,57.5479,1.84028,1.14928,4.59443
-57.7345,0.971441,0.158397,4,31,0,59.5985,1.28678,1.28408,5.7595
-55.1902,0.467469,0.245216,3,15,0,58.449,1.55589,0.799746,4.35364
-56.0386,0.989944,0.109367,4,19,0,56.7019,1.56325,1.50911,6.77411
-55.0529,0.551118,0.176474,4,15,0,57.4409,1.42765,1.2795,3.91477
-54.6885,0.993707,0.0977015,4,15,0,55.4676,1.52671,1.07721,4.09961
-55.2888,0.931007,0.158133,3,15,0,56.5294,1.60054,0.644235,2.65824
-55.2019,0.985918,0.218874,4,15,0,55.8005,1.55573,1.30262,4.79619
-55.6901,0.218295,0.343572,2,3,0,55.9968,1.49689,1.34812,6.02251
-54.9922,0.995662,0.0877875,3,11,0,55.9722,1.53062,1.19841,4.09325
-54.8879,0.979612,0.140978,4,31,0,56.7813,1.579,1.10221,4.6498
-56.0154,0.376658,0.216739,2,7,0,56.7912,1.44198,0.862373,4.73709
-56.2906,0.983182,0.0822409,2,7,0,56.6494,1.42323,0.87197,4.8338
-57.4368,0.988241,0.127199,3,15,0,59.4728,1.39127,0.542955,1.38708
-58.4152,0.523124,0.197911,3,11,0,59.403,1.26276,0.528495,2.66401
-59.1117,0.95365,0.106652,5,31,0,61.3459,1.42929,1.83152,3.98795
-54.6419,0.961916,0.152806,4,15,0,59.3385,1.37004,1.02745,3.43059
-54.6419,0.0277765,0.222034,2,6,1,56.8124,1.37004,1.02745,3.43059
-54.7947,0.994863,0.0401308,4,15,0,55.2033,1.34627,0.987837,2.88619
-54.6666,0.997346,0.0629363,5,55,0,55.0491,1.38801,0.83122,2.956
-55.7115,0.808261,0.0987072,2,3,0,57.138,1.37457,0.833428,3.8949
-54.6181,0.916524,0.101828,3,15,0,58.722,1.46982,0.995224,3.34208
-55.1725,0.937147,0.132877,3,15,0,56.0576,1.55867,1.28032,5.15553
-55.5251,0.964806,0.180737,4,15,0,55.7796,1.61404,1.27117,6.11198
-55.5251,0.355415,0.259977,2,5,0,57.2468,1.61404,1.27117,6.11198
-55.6775,0.986958,0.101212,5,31,0,56.9479,1.40879,1.42534,5.32982
-55.4631,0.974549,0.152467,2,3,0,56.4281,1.43467,1.39113,5.22546
-54.8,0.986605,0.222715,3,15,0,55.7075,1.3306,1.09907,3.37559
-54.8,3.3987e-023,0.332299,1,1,0,58.1083,1.3306,1.09907,3.37559
-54.9906,0.964446,0.0626904,4,31,0,56.2203,1.4787,1.11441,4.78934
-54.6838,0.984745,0.0895368,3,7,0,55.4396,1.44751,1.09376,3.55657
-54.8429,0.908219,0.132858,2,3,0,55.2668,1.46124,1.13027,3.54672
-56.1645,0.827162,0.167702,3,15,0,57.7702,1.53609,1.40905,7.03153
-55.6462,0.921005,0.178865,4,15,0,56.824,1.50301,1.32059,5.99668
-55.3596,0.992688,0.23081,4,15,0,56.1317,1.70149,0.751189,3.58481
-55.056,0.0988531,0.343529,3,14,1,56.2511,1.53765,0.638352,2.73341
-55.7627,0.979194,0.0839194,3,7,0,55.8642,1.52493,0.651848,2.12292
-55.9303,0.814042,0.121687,3,7,0,57.8754,1.55602,0.731241,4.76988
-54.823,0.999918,0.126402,2,7,0,56.0084,1.59922,0.845016,3.48391
-57.3776,0.525509,0.189905,3,15,0,60.389,1.04408,0.923915,2.60851
-57.0968,0.994164,0.111187,4,23,0,60.4048,1.24046,0.495929,1.80052
-56.5131,0.966263,0.164608,2,3,0,57.1,1.25473,0.527197,1.53867
-57.7771,0.729801,0.229865,3,7,0,59.238,1.08342,1.25919,2.42233
-56.3454,0.146403,0.201772,3,15,0,59.2014,1.18793,1.45128,3.66975
-54.5838,0.999659,0.0571466,5,31,0,57.1789,1.5062,0.996709,3.89763
-55.4611,0.952114,0.0851319,2,3,0,55.4733,1.49383,0.990715,5.12675
-55.2795,0.990625,0.115313,3,11,0,56.5325,1.31078,0.8482,3.22185
-57.1492,0.530552,0.167674,2,7,0,59.3017,1.26794,0.696541,3.21272
-57.6928,0.990317,0.101106,3,7,0,57.7985,1.22347,0.685969,3.05405
-57.451,0.923618,0.146514,2,7,0,58.622,1.24437,0.722463,3.29485
-55.4765,0.4479,0.186563,3,7,0,56.7867,1.26837,0.730834,2.0429
-57.2636,0.834098,0.0968899,3,7,0,57.829,1.22908,0.714606,3.07352
-56.1923,1,0.104294,2,3,0,57.3025,1.23381,0.712187,2.63233
-57.1749,0.91332,0.152858,4,15,0,57.9526,1.14064,1.02442,2.0559
-55.5134,0.988258,0.190105,4,15,0,56.6677,1.69605,0.931209,5.54338
-54.8404,0.304811,0.271049,3,7,0,56.6939,1.56387,0.735093,3.36809
-55.1025,0.989359,0.109492,5,31,0,55.4042,1.57305,1.20549,4.35323
-55.5929,0.998747,0.156316,4,15,0,55.931,1.37878,0.578976,2.27625
-56.0837,0.855235,0.226348,4,15,0,56.3657,1.31516,0.566039,2.19846
-56.0837,0.00493473,0.251707,3,15,0,57.4057,1.31516,0.566039,2.19846
-56.0837,1.22763e-159,0.59305,1,2,1,57.9505,1.31516,0.566039,2.19846
-55.8317,0.999702,0.0586301,4,15,0,56.1797,1.30984,0.649426,1.80125
-55.329,1,0.0611076,5,47,0,56.9602,1.71208,0.870769,4.30368
-55.5575,0.998881,0.0827255,4,15,0,55.6139,1.73324,0.925766,5.2397
-58.6133,0.961703,0.129013,4,15,0,60.1419,1.93404,0.897787,31.8424
