# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:33:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\4oe1kb5x.json
# init = 0
# random
#   seed = 2419664284
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation4\exponential_priors-20240422153357.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-64.8825,1,0.125,2,7,0,75.3463,0.79478,0.728732,1.9114
-64.8825,0,14.3855,0,1,1,67.2312,0.79478,0.728732,1.9114
-64.8825,0,2.43117,0,1,1,65.2833,0.79478,0.728732,1.9114
-64.8825,1.88455e-015,0.239791,1,3,1,64.9972,0.79478,0.728732,1.9114
-65.3331,0.995023,0.0186273,1,3,0,65.5494,0.786731,0.723103,1.93289
-61.749,1,0.0253468,3,7,0,65.5747,0.855092,0.77961,1.52057
-63.9234,0.888947,0.0397953,2,7,0,65.6734,0.740198,0.685523,1.59823
-63.5619,0.989864,0.0478916,3,7,0,65.6092,0.668417,1.03982,1.4477
-63.985,0.988547,0.0826044,3,15,0,68.7102,0.539595,0.949225,1.28494
-63.985,0.246659,0.146391,2,7,0,65.9987,0.539595,0.949225,1.28494
-62.3525,0.999699,0.0252948,5,31,0,64.4457,0.668824,0.71273,1.15461
-62.0666,0.999921,0.0478546,4,15,0,62.4784,0.902994,0.64874,1.28517
-63.1952,0.81148,0.0912711,3,15,0,64.5461,0.77921,0.496555,1.02187
-63.1071,0.998493,0.0966008,3,15,0,64.5015,0.825484,1.18939,2.20431
-62.595,0.351485,0.184007,2,7,0,64.0786,0.783191,1.06503,1.72418
-64.0079,0.979116,0.0470162,3,15,0,66.0926,1.16401,0.88354,2.33753
-63.6536,0.981558,0.0846688,2,3,0,64.2724,1.1311,0.900679,2.26308
-64.4483,0.311159,0.152714,3,7,0,66.139,1.15817,1.08223,2.57373
-63.3625,1,0.0358591,5,31,0,65.4225,0.628115,1.10199,1.65275
-63.9504,0.990651,0.0684437,3,7,0,64.2023,0.603007,1.12696,1.83831
-62.8911,1,0.125889,2,3,0,64.2076,0.660803,1.04971,1.60834
-62.8911,0.000468996,0.235868,1,3,1,65.3426,0.660803,1.04971,1.60834
-64.2779,0.984412,0.023362,5,63,0,65.461,0.730681,1.20001,1.6748
-64.7739,0.990921,0.0420424,5,31,0,65.9571,1.15157,0.993257,1.93215
-64.7234,0.884764,0.0763688,4,15,0,68.8476,0.550842,0.512426,0.825028
-65.5522,0.993536,0.101432,1,3,0,66.0341,0.500764,0.505789,0.75186
-65.4459,0.675552,0.182503,1,1,0,66.1106,0.507832,0.560937,0.763868
-64.539,0.980846,0.133116,3,7,0,67.1241,0.629828,0.463112,0.806657
-64.539,0.103397,0.228462,2,3,0,65.4032,0.629828,0.463112,0.806657
-64.4613,0.943493,0.0344441,5,31,0,69.8149,1.23404,0.631358,1.76226
-62.3559,0.954897,0.0534936,3,15,0,68.9275,0.654317,0.777029,1.22943
-62.0968,0.981673,0.0850709,4,15,0,64.255,0.925018,0.904004,1.80887
-64.459,0.811163,0.144301,3,7,0,64.7798,1.1817,0.63124,1.98616
-65.0574,0.536452,0.153871,3,7,0,66.4605,0.915162,0.747105,1.107
-62.8277,0.814764,0.0791319,2,7,0,68.6637,0.783722,0.582031,0.987483
-63.1171,0.739512,0.0854897,2,3,0,65.057,0.863319,0.498367,1.13759
-64.2905,0.99962,0.0757956,3,7,0,64.6609,0.940371,0.405371,0.867864
-65.9913,0.907167,0.131987,1,3,0,67.3028,1.08787,0.320321,0.856502
-65.9913,0.0163279,0.179692,2,3,0,67.3532,1.08787,0.320321,0.856502
-64.4431,0.999999,0.0251343,5,31,0,66.1403,0.859895,0.397841,0.807109
-64.7186,0.984205,0.0436055,3,7,0,64.8655,0.833905,0.381525,0.842207
-66.8909,0.81993,0.0721037,2,3,0,67.1403,0.76872,0.347654,0.887772
-63.5869,0.98506,0.0785704,3,11,0,68.1644,0.916516,0.585557,1.57675
-64.993,0.959317,0.12865,4,15,0,69.2579,1.1896,0.618178,1.29808
-64.1894,0.667407,0.196315,2,3,0,64.4099,0.939499,0.538034,1.54817
-62.3684,0.918699,0.146077,2,3,0,63.3745,0.977543,0.621151,1.35695
-62.3684,1.53233e-013,0.200589,1,1,0,67.3997,0.977543,0.621151,1.35695
-62.622,0.977483,0.0300819,4,23,0,64.7972,0.677251,0.694194,1.31829
-63.2921,0.995122,0.0478304,3,15,0,64.007,1.07459,0.777594,1.53897
