# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:34:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\rpmgfoeg.json
# init = 0
# random
#   seed = 1279310219
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation5\exponential_priors-20240422153419.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-64.986,1,0.125,2,3,0,72.841,0.678139,0.563416,1.42917
-64.986,0,14.3855,0,1,1,66.3563,0.678139,0.563416,1.42917
-64.986,0,2.43117,0,1,1,65.7536,0.678139,0.563416,1.42917
-64.986,5.55978e-011,0.239791,1,3,1,67.2991,0.678139,0.563416,1.42917
-60.5381,0.998574,0.0186273,4,31,0,66.8498,0.639234,0.720902,1.29824
-57.27,0.999696,0.0256166,5,63,0,62.8228,1.17835,0.994495,2.52801
-57.5406,0.983146,0.040193,3,7,0,57.9969,1.20007,1.01293,2.43685
-57.4077,0.999711,0.0648617,4,31,0,57.9293,1.22602,0.979791,3.00095
-58.6383,0.977996,0.115729,3,7,0,58.9723,0.748467,0.981242,1.75455
-58.5557,0.222335,0.198697,2,3,0,62.0083,1.08655,0.655725,1.84432
-58.62,0.969183,0.0318044,4,15,0,61.4116,1.01568,0.628211,1.53505
-58.2902,0.963577,0.0546269,3,7,0,59.4361,1.14107,0.696816,1.7058
-57.939,0.916011,0.0928831,4,15,0,59.1515,0.902542,1.17907,2.72394
-57.6333,0.936798,0.136422,2,3,0,57.9241,0.902522,1.26928,2.61714
-57.6333,0.00713429,0.213978,1,1,0,58.8753,0.902522,1.26928,2.61714
-57.1056,0.999983,0.0187935,5,31,0,57.9513,1.05388,1.03,2.47356
-57.2352,0.997749,0.0363183,5,47,0,57.6649,1.27662,1.21677,3.56003
-57.4019,0.917246,0.0692589,3,15,0,59.0416,0.971612,0.965029,2.21062
