# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:34:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\jqczds3y.json
# init = 0
# random
#   seed = 3359125489
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation6\exponential_priors-20240422153450.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
13.7978,0.341407,0.125,2,3,0,-2.06719,1.15886,0.760535,1.80048
13.7978,0,4.34393,0,1,1,-11.9994,1.15886,0.760535,1.80048
13.7978,0,0.514816,0,1,1,-12.366,1.15886,0.760535,1.80048
14.8084,0.997115,0.0414639,3,7,0,-12.9572,1.28591,0.80879,1.85758
15.9086,0.989549,0.0490007,3,7,0,-14.3324,1.24187,0.881591,1.93315
18.7537,1,0.0684164,3,11,0,-15.5726,0.925045,1.37448,2.1127
18.4528,0.942637,0.110332,3,9,0,-17.0824,1.33094,1.59278,3.1381
18.4528,0.0017025,0.159608,2,3,0,-15.3475,1.33094,1.59278,3.1381
19.5643,0.999587,0.0124781,5,47,0,-17.3104,1.11804,1.63709,2.94089
16.3782,0.941922,0.0226897,4,23,0,-12.4241,0.799967,1.36315,2.56761
16.9211,0.945793,0.0352427,2,3,0,-14.7475,0.795329,1.36899,2.49035
16.3182,0.998633,0.0562148,3,15,0,-15.6588,1.29448,1.55284,3.87443
16.2948,0.913659,0.106731,3,7,0,-15.4355,0.867562,2.20178,2.91134
17.5739,0.307453,0.155513,1,3,0,-15.7476,0.984354,1.70192,3.43945
18.7312,0.988947,0.0342541,3,7,0,-16.0949,1.19674,1.79261,2.97087
18.004,0.997215,0.0637538,3,15,0,-17.6929,0.972569,1.29068,1.93502
18.9067,0.999504,0.12113,3,7,0,-17.4011,1.25129,1.54591,3.09962
18.9067,1.37456e-021,0.230175,1,1,0,-18.2388,1.25129,1.54591,3.09962
19.5519,0.999001,0.0209835,4,31,0,-17.9715,0.988441,1.6168,2.66769
19.5106,0.971979,0.0401029,3,7,0,-18.8569,0.974624,1.64862,2.78515
19.3999,0.925851,0.0700747,4,15,0,-18.7744,1.0075,1.45966,2.63885
19.3999,0.404829,0.105965,1,1,0,-18.4896,1.0075,1.45966,2.63885
19.4244,0.999841,0.034574,4,31,0,-19.0419,1.09011,1.72382,2.85881
19.4048,0.920548,0.0648564,4,15,0,-17.3562,1.17011,1.64158,2.9492
18.5416,0.345029,0.0958298,2,5,0,-15.5182,1.1012,1.88121,3.67964
17.3128,0.975073,0.0271763,4,15,0,-15.6431,1.31709,2.22993,4.03609
16.8008,0.952123,0.0469298,3,7,0,-15.8869,1.30758,2.26318,3.76374
15.797,0.997531,0.0752985,3,7,0,-15.6797,1.27312,2.01271,4.74627
16.0982,0.191704,0.136032,3,7,0,-14.861,1.23472,2.42904,4.96226
16.4385,0.996763,0.0262871,4,15,0,-14.9779,1.1025,2.64727,4.16338
17.7877,0.960273,0.047344,4,15,0,-14.1026,0.757297,1.37598,2.05703
17.946,0.99654,0.0764756,3,7,0,-17.1776,1.24423,1.12846,2.20899
17.946,0.262008,0.13514,2,7,0,-15.2487,1.24423,1.12846,2.20899
19.244,0.992849,0.0332404,4,31,0,-15.7106,1.01914,1.45106,2.33551
18.7993,0.991509,0.0580164,3,15,0,-18.2555,1.05313,1.19527,2.18318
19.3137,0.944842,0.100003,3,7,0,-17.9854,1.02766,1.69272,2.67986
19.3137,0.0342858,0.151299,1,3,0,-17.7965,1.02766,1.69272,2.67986
18.7262,0.996446,0.021539,4,31,0,-18.5264,0.940774,1.73369,3.13068
18.1673,0.995034,0.0373993,4,31,0,-16.7275,1.27995,2.01255,3.57291
17.8779,0.851995,0.0641535,2,3,0,-16.6163,1.21299,2.14416,3.49668
17.6635,0.967143,0.0760023,3,7,0,-16.2589,1.39591,1.65681,3.56741
19.5364,0.983294,0.119907,2,3,0,-17.6737,1.03534,1.70353,2.99593
19.5364,1.51632e-005,0.1956,1,1,0,-18.6947,1.03534,1.70353,2.99593
18.6672,0.992683,0.0278004,5,31,0,-18.1703,1.10316,2.06932,3.73269
19.3409,0.998346,0.046555,4,15,0,-17.9169,0.924838,1.63373,2.65009
17.8359,0.47657,0.078455,2,7,0,-15.82,1.02647,1.40578,2.95045
18.0134,0.985157,0.0370789,2,7,0,-16.5975,0.964724,1.37957,2.74878
19.5306,1,0.0601708,2,3,0,-18.1583,0.98219,1.5123,2.55543
16.9441,0.4713,0.100482,3,7,0,-16.5349,1.29332,1.9215,3.04651
19.0684,0.848289,0.0475184,3,7,0,-13.3092,1.24174,1.54522,2.91241
18.8982,0.991196,0.0551847,3,11,0,-18.2822,0.982233,1.37581,2.15811
19.3041,0.845828,0.0893635,2,7,0,-17.1149,1.15841,1.48384,2.86509
19.4949,0.765084,0.102527,2,5,0,-18.8549,1.09149,1.68169,2.82179
18.3216,0.543675,0.0974162,2,5,0,-17.0628,0.810284,1.77036,2.76766
18.9288,0.959492,0.055697,3,15,0,-16.0035,1.09053,1.23326,2.21045
17.2569,0.942402,0.0828159,3,15,0,-16.1581,0.922995,2.38349,3.68078
17.3143,0.888385,0.117854,1,1,0,-16.9148,0.934057,2.37478,3.57449
13.8959,0.00252066,0.147826,3,7,0,-8.79861,1.1491,1.50502,3.98521
14.2546,0.992785,0.0254177,4,31,0,-11.8757,1.13008,1.4088,3.67661
18.4809,0.993935,0.0404762,2,7,0,-14.3283,1.32105,1.66975,3.17057
18.442,0.996629,0.064251,4,15,0,-18.1642,1.27231,1.53526,3.27685
18.6045,0.893623,0.102022,2,3,0,-17.7873,1.30249,1.726,3.31643
18.5035,0.660405,0.128603,3,7,0,-18.141,0.850222,1.49934,2.5806
18.8552,0.993321,0.0973507,3,7,0,-18.5235,1.22526,1.41181,2.87742
18.7242,0.176413,0.151833,1,3,0,-17.6968,1.08785,1.51719,2.37181
18.1382,0.948189,0.0406822,3,15,0,-16.8406,0.870728,1.38032,2.50979
19.079,0.93519,0.0575933,3,15,0,-16.4254,0.923532,1.76639,2.71472
17.1858,0.839566,0.0789952,4,15,0,-16.2479,1.22788,1.01344,2.15655
18.1102,1,0.0881974,3,7,0,-16.443,0.989708,1.08758,1.91888
18.1102,2.53449e-005,0.137804,1,1,0,-16.6544,0.989708,1.08758,1.91888
19.2289,0.995506,0.0264583,5,39,0,-17.6077,1.03877,1.82854,2.90773
19.426,0.980774,0.0410125,3,7,0,-18.6669,0.967268,1.72821,2.88418
19.3144,0.930687,0.0613706,3,11,0,-17.4456,1.09856,1.73252,2.84013
19.4763,0.999853,0.0824779,3,7,0,-19.082,1.05321,1.74954,3.10606
19.4763,0.482006,0.127309,2,5,0,-19.1514,1.05321,1.74954,3.10606
19.4763,0.641535,0.0680975,2,7,0,-14.8748,1.05321,1.74954,3.10606
19.6426,0.998868,0.0506489,3,11,0,-19.4153,1.04177,1.58095,2.72599
18.8909,0.763668,0.0776781,2,7,0,-17.841,0.955416,1.83633,2.76647
19.3638,1,0.0739777,3,15,0,-18.7019,0.949222,1.58037,2.7236
19.0839,0.79541,0.112997,3,7,0,-18.6504,1.06269,1.79662,2.82372
18.3002,0.543092,0.114444,3,7,0,-17.4362,1.00928,2.20898,3.48729
19.0368,0.590101,0.0703505,2,3,0,-15.3936,1.05443,1.90209,3.44498
19.0506,0.995859,0.0476555,4,15,0,-18.1512,1.20822,1.54342,3.08615
18.8664,0.996782,0.0717414,3,15,0,-18.1196,1.02059,2.02919,3.22178
18.7991,0.966286,0.107768,2,7,0,-17.9957,0.861703,1.77269,2.80467
18.3505,0.3875,0.151991,2,3,0,-17.0909,0.88388,1.45804,2.64834
18.9932,1,0.0698384,2,3,0,-18.4621,0.91222,1.47617,2.58946
19.4139,0.958849,0.104953,3,7,0,-18.3511,1.1638,1.6842,3.05575
18.2909,0.10079,0.145223,2,7,0,-17.8777,1.04588,1.64531,3.3382
16.0125,0.944746,0.0390442,4,15,0,-12.0251,1.5136,1.62807,3.91579
15.4454,0.939585,0.0526691,4,15,0,-13.0563,0.735477,2.15378,2.77969
14.3071,0.477747,0.0701664,3,7,0,-10.6297,0.706357,1.70712,3.08127
16.8529,0.995297,0.0391154,3,15,0,-12.8623,1.10504,1.82535,2.57347
19.606,1,0.0577594,2,3,0,-17.0203,1.10161,1.59161,2.83191
18.9816,0.984282,0.0857446,2,7,0,-18.3286,0.995492,1.2568,2.14793
16.6313,0.301383,0.123201,2,5,0,-15.3166,1.13451,1.00048,2.23043
15.1826,0.895869,0.0499315,2,3,0,-14.4432,1.1331,0.99291,2.43379
16.4645,1,0.0609098,1,1,0,-15.3269,1.16077,1.01821,2.34494
16.1885,0.981762,0.0897735,3,15,0,-14.5306,0.922564,2.47479,4.19768
14.4802,0.951993,0.127562,2,3,0,-14.4389,0.898118,2.87858,4.2104
14.4802,0.0169464,1.3696,1,3,1,-12.3444,0.898118,2.87858,4.2104
14.4802,3.62951e-041,3.29817,1,3,1,-12.3205,0.898118,2.87858,4.2104
15.5892,0.809968,0.32818,2,3,0,-12.1522,1.0162,2.42141,4.67452
16.949,0.990227,0.207072,4,31,0,-14.0303,1.27401,1.16185,2.7643
17.8196,1,0.263442,3,7,0,-16.6143,1.36573,1.45709,2.73345
17.997,0.985456,0.402725,3,15,0,-16.5602,1.20934,1.1252,2.33546
18.227,0.780476,0.646097,2,3,0,-16.9016,1.10675,1.11673,2.20683
