# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:35:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\rlsums9u.json
# init = 0
# random
#   seed = 1582331695
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation7\exponential_priors-20240422153537.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-82.7678,0.933068,0.125,2,7,0,92.315,1.77525,0.292942,3.11304
-82.7678,0,12.7372,0,1,1,85.2561,1.77525,0.292942,3.11304
-82.7678,0,2.07635,0,1,1,84.7341,1.77525,0.292942,3.11304
-82.7678,2.72838e-013,0.200621,1,3,1,85.125,1.77525,0.292942,3.11304
-79.4955,0.995893,0.015385,4,15,0,84.7494,1.44552,0.294495,2.91843
-78.0476,0.999995,0.0208155,6,63,0,80.4084,1.33636,0.352831,2.15176
-77.2874,0.989798,0.0325073,4,15,0,78.8636,1.33255,0.440154,1.93908
-76.5034,0.990473,0.0533682,3,15,0,79.0822,1.08143,0.61304,1.64382
-76.0209,0.965025,0.0923231,4,23,0,77.336,1.09219,0.832721,2.85751
-77.9434,0.624335,0.151983,1,3,0,78.6902,0.888024,0.912199,2.78992
-78.171,0.980377,0.0867004,3,7,0,80.0983,0.809677,1.08335,2.24819
-79.1121,0.899704,0.1541,1,1,0,79.181,0.764466,1.14498,2.15317
-76.5505,0.909393,0.213609,2,3,0,78.7174,1.00588,1.07798,2.63584
-76.5505,2.37031e-009,0.306165,1,1,0,77.3251,1.00588,1.07798,2.63584
-76.5976,0.999456,0.0257601,3,7,0,76.6645,1.01193,1.08965,2.63491
-76.2362,0.978327,0.0496207,2,7,0,77.5909,1.05288,0.890016,2.96589
-76.3654,0.993895,0.0891091,3,7,0,76.4667,1.05147,0.906596,3.09555
-77.5307,0.732437,0.166831,3,9,0,78.1545,1.00572,0.942289,1.92625
