# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\ja6_m1fj.json
# init = 0
# random
#   seed = 1117257761
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation8\exponential_priors-20240422153606.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-27.703,0.547746,0.125,2,7,0,37.6346,0.942104,0.887357,2.43433
-27.703,0,6.32141,0,1,1,28.7618,0.942104,0.887357,2.43433
-27.703,0,0.837277,0,1,1,28.3501,0.942104,0.887357,2.43433
-25.6396,1,0.0718551,2,3,0,27.9498,0.984428,0.875274,2.25677
-24.833,0.999755,0.0890872,3,7,0,26.0172,1.03578,0.98454,2.59472
-23.2394,0.812986,0.131608,2,5,0,26.1157,1.46041,1.23453,2.86379
-21.9621,1,0.121845,2,3,0,23.0682,1.14302,1.26436,2.91772
-21.9621,0.000104793,0.211067,2,3,0,24.7566,1.14302,1.26436,2.91772
-21.4154,0.999563,0.0164628,6,63,0,22.7662,1.12733,1.24734,2.5111
-21.8354,0.988184,0.0299732,3,15,0,22.1962,1.12893,1.4151,2.5171
-21.4278,0.967044,0.0539108,3,7,0,22.544,1.05523,1.31869,2.43754
-22.6209,0.981009,0.0919179,3,7,0,22.8066,0.96314,0.985658,1.76596
-22.6209,0.213941,0.164851,2,7,0,23.1909,0.96314,0.985658,1.76596
-21.6637,0.999703,0.0267288,4,23,0,22.9675,1.16915,1.12928,2.39739
-21.4183,0.995678,0.0514676,3,7,0,21.7623,1.09663,1.23258,2.4372
-22.2749,0.863035,0.0975596,3,7,0,22.7147,1.17951,1.73899,3.19942
-21.6577,0.815759,0.122302,3,7,0,23.1032,1.17568,1.15057,2.49895
-22.9215,0.529951,0.132583,2,3,0,23.238,1.25023,1.05878,2.82626
-22.3744,1,0.060484,2,3,0,23.0076,1.23212,1.09819,2.74542
-21.9861,0.940944,0.114962,3,7,0,23.3136,1.24094,1.27101,3.02815
-21.9861,1.91664e-006,0.181549,2,3,0,28.1906,1.24094,1.27101,3.02815
-23.3356,0.99861,0.0176343,5,31,0,23.875,0.794778,1.06483,1.83124
-22.5189,0.999784,0.0333036,5,31,0,24.0059,1.26844,0.963115,2.16643
-22.9952,0.980503,0.062483,3,7,0,23.5643,1.18761,0.867671,2.07323
-22.6415,0.86182,0.10977,2,3,0,23.6075,1.1383,1.15158,2.00571
-21.9338,0.90623,0.136121,2,5,0,22.7022,1.10106,1.50584,2.60624
-21.9338,1.52703e-013,0.190776,1,1,0,24.323,1.10106,1.50584,2.60624
-24.1742,0.998977,0.020858,5,31,0,25.1254,1.38639,1.99587,4.70186
-23.8899,0.990457,0.0382459,3,7,0,24.6213,1.34776,2.03666,4.33472
-21.9139,0.998765,0.0678117,4,15,0,24.2518,1.24684,1.53585,3.3142
-23.2006,0.606075,0.121837,3,7,0,23.7144,0.916589,1.06005,2.23154
-21.8659,0.999348,0.0746199,3,15,0,23.9801,0.93993,1.52669,2.6871
