# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-22 14:36:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpxqsyj__7\m2qgxskt.json
# init = 0
# random
#   seed = 1370886170
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors\realisation9\exponential_priors-20240422153642.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-39.4598,1,0.0625,2,3,0,51.9052,0.857479,0.975004,1.16678
-39.4598,0,14.3855,0,1,1,41.1753,0.857479,0.975004,1.16678
-39.4598,0,2.43117,0,1,1,41.0735,0.857479,0.975004,1.16678
-39.4598,7.30893e-024,0.239791,1,2,1,43.1386,0.857479,0.975004,1.16678
-37.2997,0.999867,0.0186273,4,15,0,40.9128,0.797653,0.608783,1.43127
-37.0817,0.999187,0.0257156,4,15,0,38.8877,1.2906,0.748077,1.39782
-34.9933,1,0.0402896,2,3,0,37.103,1.18447,0.737868,1.42529
-30.9366,0.892166,0.0685222,4,15,0,37.0206,0.826529,1.62971,3.16717
-30.2875,0.822274,0.0872434,2,7,0,32.7488,0.975272,1.6863,3.58937
-35.0313,0.981363,0.0914791,4,15,0,35.7795,0.874168,0.614277,1.20353
-35.0313,0.000114403,0.161276,1,1,0,36.1411,0.874168,0.614277,1.20353
-30.2273,0.9999,0.0129514,6,63,0,36.4824,0.864795,1.51714,2.50645
-29.8747,0.999591,0.0247974,4,31,0,30.9706,1.04867,1.36743,2.83042
-31.0506,0.951813,0.0476094,4,19,0,32.2486,1.05094,2.09345,4.648
-32.5321,0.935019,0.0787083,2,3,0,33.0632,0.951536,2.58528,4.41703
-32.3526,0.26656,0.123302,2,3,0,35.1547,1.0524,1.95312,5.09662
-32.8338,0.991552,0.0246243,3,7,0,33.4143,1.00091,1.96546,5.05019
-32.6516,0.988483,0.046211,2,3,0,33.5109,0.977972,2.05909,5.0071
-32.0753,0.976974,0.0852957,2,7,0,34.027,1.3062,1.8795,3.75189
-29.9994,0.728773,0.150862,2,7,0,31.2675,1.04613,1.58926,2.9382
-30.7755,0.910214,0.126278,3,7,0,31.2978,1.05872,1.25509,2.243
-30.7755,0.000562035,0.181432,2,3,0,31.9096,1.05872,1.25509,2.243
-29.9931,0.99866,0.0180151,4,31,0,31.7003,1.01839,1.25816,2.51398
-30.1666,0.990587,0.0338656,3,15,0,30.6326,0.904379,1.22821,2.38283
-30.3566,0.991119,0.0615703,4,23,0,31.2857,0.990425,1.80353,3.81014
-30.8485,0.964736,0.111019,3,15,0,32.1895,0.956172,1.18067,1.99419
-30.8485,0.0676703,0.183962,2,5,1,32.9321,0.956172,1.18067,1.99419
-30.9595,0.998866,0.0243308,3,15,0,31.0346,0.962766,1.20052,2.00097
-30.5407,0.995525,0.0445421,3,15,0,31.9289,0.811312,1.45994,2.71034
-30.2143,1,0.0799857,2,3,0,30.5545,0.832927,1.53728,2.66133
-31.1326,0.869255,0.143998,2,7,0,32.3063,0.855049,1.09191,1.78818
-31.5138,0.246544,0.179996,1,3,0,32.5309,0.730781,1.28667,1.90065
-31.9443,0.995265,0.0418868,3,7,0,32.1207,0.697603,1.29946,1.85801
-31.5929,1,0.0737818,2,3,0,31.9791,0.681861,1.22356,1.99896
-33.3691,0.339191,0.130402,3,7,0,35.347,0.624412,0.987098,1.68961
-32.6155,1,0.0401842,4,15,0,33.4634,0.635851,1.0513,1.69719
-32.0097,1,0.0707102,2,3,0,32.6783,0.722649,1.09147,1.63155
-32.0097,0.00646939,0.123319,2,3,0,34.4018,0.722649,1.09147,1.63155
-32.4676,0.993531,0.0166164,5,31,0,33.1895,0.720236,1.19737,1.67192
-30.9928,0.999958,0.0285698,5,31,0,32.9936,1.07064,1.05014,2.4449
-32.348,0.993008,0.049513,4,23,0,34.5707,0.995601,2.52183,5.20219
-30.7788,0.98663,0.0836228,2,7,0,33.2712,1.24488,1.77883,4.00015
-31.0271,0.977912,0.137915,3,7,0,32.2825,1.28335,1.51879,3.73819
-30.8242,0.460479,0.220956,1,3,0,31.6325,1.24126,1.36403,3.29175
-30.9554,0.989693,0.098611,2,7,0,31.4205,1.1936,1.24952,3.17979
-31.9184,0.865803,0.161846,1,1,0,32.0207,1.28161,1.20382,3.42622
-31.9184,0.000457075,0.195376,1,1,0,32.6499,1.28161,1.20382,3.42622
-32.6859,0.998849,0.0293376,4,31,0,33.0946,1.3073,1.07525,3.23431
-31.3459,0.990943,0.0490983,3,15,0,33.5422,1.13304,1.0736,2.72993
-30.2208,1,0.0800666,3,15,0,31.9906,1.12838,1.54321,3.02093
-29.9758,1,0.132493,2,3,0,30.1752,1.04817,1.6579,3.10198
-29.9758,0.379862,0.217757,1,1,0,30.5809,1.04817,1.6579,3.10198
-31.691,0.877291,0.0840207,4,15,0,32.9885,0.775164,1.09496,1.67558
-31.4383,0.979722,0.103601,3,11,0,33.9384,0.774796,1.80804,2.7295
-31.709,0.805173,0.161164,2,3,0,31.8763,0.729475,1.78238,2.99887
-32.3217,0.254513,0.167381,1,3,0,35.876,1.28805,1.79378,3.39745
-33.2052,0.993319,0.0498392,4,15,0,35.0729,0.63791,1.55684,2.72078
-33.5807,0.919934,0.0796138,2,3,0,34.1516,0.704682,1.79187,2.32973
-31.3076,1,0.107267,2,3,0,33.2312,0.79486,1.39248,2.77381
-31.4829,0.316103,0.17208,1,3,0,31.9874,0.841583,1.45574,2.13177
-30.4788,1,0.0604173,3,7,0,31.7407,0.882847,1.21393,2.04989
-29.8222,0.998145,0.0966838,2,7,0,32.0105,0.958976,1.44726,2.87419
-34.1191,0.615744,0.153227,2,5,0,35.179,1.35966,2.92196,7.08903
-36.0735,0.53913,0.105148,3,7,0,37.7634,1.21335,2.17287,7.79314
-34.498,1,0.061397,3,7,0,37.0907,1.23606,3.25117,7.06985
-31.7647,0.99143,0.0971395,3,7,0,35.1114,1.0577,2.42847,5.14995
-30.2535,0.909623,0.150106,2,3,0,32.7221,1.14428,1.80666,3.85137
-30.2535,0.00218339,0.193961,2,5,1,32.331,1.14428,1.80666,3.85137
-29.9661,0.998715,0.0366845,3,15,0,30.6163,1.0611,1.74978,3.43927
-29.952,0.987154,0.0574356,3,7,0,30.1937,1.08397,1.62088,3.48454
-32.4369,0.923919,0.087342,3,7,0,33.6234,1.36348,2.21112,5.07011
-30.7809,0.990704,0.115914,3,11,0,33.4089,0.814377,1.77961,3.10829
-30.7809,0.0966325,0.176088,1,1,0,31.0851,0.814377,1.77961,3.10829
-29.8127,0.979816,0.0422644,3,7,0,31.464,0.981176,1.64184,3.15066
-31.0266,0.934475,0.0628308,4,15,0,32.6727,0.972759,2.13857,3.66937
-30.0675,0.64969,0.0848065,3,15,0,33.995,1.05329,1.40531,3.13352
-31.2456,0.95301,0.0640571,3,15,0,33.7086,1.06085,0.994004,1.96181
-31.7027,0.873118,0.0894558,3,7,0,32.7601,0.678074,1.42101,2.0994
-30.8363,0.740665,0.106051,2,7,0,34.8746,0.834882,1.14662,2.2361
-32.6301,0.854617,0.0963291,3,7,0,33.0782,0.816648,0.898761,1.8761
-33.5527,0.536402,0.109831,2,3,0,36.3722,1.28037,0.831049,1.94933
-31.9126,0.995004,0.066641,3,7,0,34.0707,1.16105,0.934496,2.30981
-31.2497,0.996202,0.100199,3,7,0,32.4086,0.742742,1.11846,1.89177
-31.2497,0.0257621,0.150413,2,7,0,34.3937,0.742742,1.11846,1.89177
-30.844,0.951029,0.0338962,4,31,0,35.3251,0.835389,1.34223,2.70499
-29.9857,0.998968,0.0466611,3,15,0,31.5706,0.979204,1.24959,2.42682
-30.5372,0.878143,0.0702512,1,3,0,30.8614,0.927731,1.20667,2.57051
-30.0938,0.933505,0.0835151,2,7,0,31.5099,0.944019,1.64624,2.82632
-29.8177,1,0.110201,2,7,0,30.1241,0.948077,1.45742,2.65291
-29.8177,0.484024,0.164634,1,1,0,30.0557,0.948077,1.45742,2.65291
-30.6102,0.533253,0.0920649,2,7,0,34.453,0.943231,1.22675,2.07436
-31.1197,0.94246,0.0567872,2,3,0,31.4297,0.949159,1.23968,2.00192
-31.2562,0.980936,0.075935,3,15,0,32.2709,1.06958,1.22885,3.16451
-31.2562,0.604623,0.10884,1,3,0,34.2434,1.06958,1.22885,3.16451
-31.5301,0.97051,0.0770966,2,7,0,31.9218,1.27099,1.33691,2.79832
-30.2631,0.593841,0.108028,2,7,0,33.3803,0.997436,1.50533,3.34557
-30.5528,0.979705,0.0752215,2,7,0,31.039,0.939925,1.57463,3.41323
-31.435,0.976226,0.106889,3,7,0,32.191,0.796374,1.09443,1.71985
-31.9718,0.198708,0.15047,2,3,0,32.6529,0.750078,1.19695,1.73022
-31.8668,1,0.0510776,4,15,0,33.2993,1.00609,0.891675,2.02935
-31.8668,0,2.4027,0,1,1,33.5994,1.00609,0.891675,2.02935
-31.8668,0,5.61046,0,1,1,32.4078,1.00609,0.891675,2.02935
-32.3298,0.742798,0.553187,3,15,0,36.9636,0.831591,2.30062,3.69323
-30.9421,0.997765,0.290324,3,7,0,32.6077,0.850778,1.91737,3.4921
-32.1137,0.966269,0.371338,3,7,0,33.1467,0.712061,1.86627,3.03634
-30.0785,0.74449,0.508492,2,5,0,34.5172,0.967054,1.51946,3.20247
-29.9132,0.998755,0.386629,2,7,0,30.3221,0.940737,1.57513,2.78276
-31.4219,0.590558,0.670233,3,7,0,32.3215,0.697628,1.25695,2.1074
-32.4264,0.988337,0.335244,4,15,0,33.3948,1.04907,0.812675,1.69234
-33.5829,0.628735,0.59523,2,3,0,33.9805,0.974572,0.781707,1.94934
-32.103,0.987628,0.344546,4,19,0,34.5549,0.824512,1.8114,2.5695
-32.107,0.925438,0.626221,2,3,0,32.7282,0.785665,1.46921,3.05436
-32.107,3.36093e-006,0.939839,1,1,0,32.7177,0.785665,1.46921,3.05436
-31.4714,0.999996,0.0776209,5,55,0,33.2948,0.838389,1.50552,3.1863
-31.1751,0.980251,0.149444,4,15,0,34.7475,0.769247,1.74186,2.69519
-30.4617,0.999983,0.269736,3,7,0,31.2694,0.827223,1.69484,2.91101
-30.5103,0.75964,0.514851,3,7,0,31.7878,0.944781,1.57479,3.41419
-29.9952,0.976223,0.468272,3,7,0,31.0469,1.02874,1.76221,3.59938
-29.9952,0.157632,0.823562,2,5,0,31.9949,1.02874,1.76221,3.59938
-30.6129,0.981647,0.122691,3,15,0,32.0744,1.0046,1.65748,3.78633
-31.3678,0.996583,0.220218,4,21,0,31.8676,0.866814,1.85376,2.79943
-31.3951,1,0.409542,3,15,0,32.8563,1.20555,2.159,4.25312
-31.41,0.932058,0.761858,3,7,0,32.1367,0.998185,2.19801,4.67957
-31.41,0.000622966,1.15166,1,3,0,33.1819,0.998185,2.19801,4.67957
-31.7728,0.996201,0.118071,5,31,0,32.134,0.99497,2.12926,4.82066
-31.1154,0.990116,0.216428,3,15,0,32.5129,1.04719,2.20254,3.92845
-30.9145,1,0.386048,2,3,0,31.1069,1.04292,2.1853,4.02565
-31.9962,0.738859,0.701198,3,7,0,33.8724,1.30194,2.12949,4.43482
