# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:26:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\p4b1u0on.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation0\exponential_priors_delta_only-20240422172659.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-31.8411,1,0.125,2,3,0,47.6623,1.79739
-31.8411,0,14.3855,0,1,1,32.24,1.79739
-31.8411,0,2.43117,0,1,1,32.107,1.79739
-31.1594,1,0.239791,1,1,0,32.3056,1.89538
-31.1594,0.000275916,0.324332,1,1,0,31.3679,1.89538
-30.6344,0.999597,0.0257469,2,5,0,31.243,2.01601
-30.3449,0.976492,0.0403907,2,7,0,32.3535,2.18417
-30.3579,0.999738,0.0638499,3,7,0,30.3582,2.16294
-30.3512,0.992431,0.113916,2,7,0,30.4144,2.27187
-32.0853,0.397846,0.204691,1,1,0,32.0967,2.87335
-32.0549,1,0.0570758,2,3,0,32.1355,2.86646
-32.7983,0.921249,0.107984,1,1,0,32.839,3.02709
-32.5255,1,0.160364,1,1,0,33.2908,2.96987
-32.5255,0.000549145,0.30575,1,1,0,32.5353,2.96987
-33.6955,0.991797,0.0257694,2,5,0,34.2696,3.20602
-32.248,0.996855,0.0484745,3,7,0,34.344,2.90973
-30.9601,0.99141,0.0921727,2,5,0,32.0949,1.9334
-30.3723,1,0.171219,1,1,0,30.6864,2.14651
-30.3723,0.302902,0.32395,1,1,0,30.4238,2.14651
-30.3833,0.976368,0.0747216,2,5,0,30.7942,2.31198
-30.3458,0.965244,0.131611,2,3,0,30.6261,2.18214
-30.8261,0.672606,0.222426,1,1,0,30.9204,1.96328
-30.8261,0.370207,0.158113,1,1,0,32.0601,1.96328
-30.7585,1,0.0469638,1,1,0,30.8235,1.98022
-31.4578,0.948362,0.0874871,3,7,0,31.7699,1.84787
-30.3376,1,0.139192,1,3,0,31.1858,2.20624
-30.3376,0.0174493,0.254384,1,1,0,31.0876,2.20624
-30.3366,0.999995,0.0291382,2,7,0,30.3384,2.2129
-30.3367,0.999997,0.0534294,1,1,0,30.3367,2.21226
-30.831,0.960075,0.096989,3,7,0,30.8492,1.96212
-30.3622,0.906456,0.156273,2,3,0,31.1679,2.28827
-30.6309,0.823013,0.215962,1,1,0,30.6351,2.01715
-30.3449,1,0.237105,1,1,0,30.4498,2.18413
-30.3992,0.86099,0.417061,1,1,0,30.5348,2.12327
-30.3992,0.000782352,0.502903,1,2,1,30.3995,2.12327
-30.6463,0.976324,0.0629739,1,3,0,30.8577,2.01227
-30.6279,1,0.103808,3,7,0,30.6414,2.45736
-30.3424,0.989913,0.180502,2,3,0,30.499,2.18986
-31.0702,0.410533,0.303204,1,1,0,31.3345,2.61384
-30.4021,0.984277,0.115381,1,3,0,31.073,2.32911
-30.3371,0.998684,0.190179,1,3,0,30.3674,2.2087
-30.3371,5.86509e-008,0.322564,1,1,0,31.3281,2.2087
-30.3948,0.989149,0.0450351,2,7,0,30.9559,2.32274
-30.4378,0.961753,0.074791,1,3,0,31.1899,2.09791
-30.4076,0.971509,0.11526,1,3,0,30.6957,2.33368
-30.427,0.991219,0.180765,1,1,0,30.4596,2.34864
-30.3892,0.65763,0.295446,1,3,0,30.3905,2.13118
-30.3892,0.598107,0.214948,1,3,0,30.8522,2.13118
-30.557,0.981365,0.136229,2,3,0,30.5588,2.42462
-30.6239,0.989021,0.215669,1,3,0,30.6404,2.01941
-30.6239,0.0131222,0.345473,1,1,0,30.666,2.01941
-30.6282,0.99977,0.055964,1,1,0,30.6413,2.01803
-30.7587,0.980725,0.0921362,1,1,0,30.7689,1.98017
-34.7388,0.189076,0.144201,1,1,0,34.7942,1.56497
-34.4019,1,0.0364279,1,1,0,34.7392,1.58488
-33.5469,1,0.0595696,2,3,0,34.3492,1.6414
-32.933,1,0.0967996,1,1,0,33.7441,1.68897
-31.7307,1,0.156333,2,3,0,32.5976,2.79039
-30.5115,1,0.250973,1,1,0,31.1764,2.40115
-30.5115,6.25073e-054,0.400559,1,1,0,31.295,2.40115
-31.3052,0.922648,0.0695157,1,3,0,32.0822,2.68126
-31.2958,1,0.0937579,1,1,0,31.4052,2.6787
-30.4329,1,0.149221,1,3,0,31.0563,2.35285
-30.4329,0.00190576,0.236189,1,1,0,31.6163,2.35285
-30.3368,0.998927,0.0429669,4,15,0,30.576,2.21105
-30.385,0.992526,0.0679607,1,3,0,30.4788,2.13466
-30.3694,0.982354,0.105474,1,3,0,30.5443,2.29709
-30.3694,0.204491,0.159392,1,3,0,33.7977,2.29709
-30.4878,0.993948,0.0462888,2,7,0,30.7627,2.38783
-30.5584,0.994837,0.0716592,2,5,0,30.6594,2.04239
-30.8512,0.939357,0.110606,1,1,0,30.8544,1.95734
-30.4001,0.506073,0.151389,2,3,0,32.9877,2.32744
-31.017,0.919418,0.0842343,1,3,0,31.4696,2.59753
-31.0488,0.995482,0.110427,1,1,0,31.1442,2.60733
-30.4154,0.767881,0.168676,2,3,0,32.1049,2.3399
-30.6728,0.914012,0.161321,1,1,0,30.6819,2.47639
-30.4882,1,0.207561,1,1,0,30.6701,2.38809
-30.8907,0.321162,0.316808,1,3,0,31.1651,1.94834
-30.3563,1,0.123261,1,3,0,30.8107,2.16516
-30.3409,0.99961,0.187802,2,3,0,30.351,2.19374
-30.449,0.869566,0.28472,1,1,0,30.5189,2.0916
-30.4712,0.960061,0.332382,1,1,0,30.7002,2.07995
-30.7188,0.401418,0.462966,1,1,0,31.9462,1.99093
-31.4364,0.721023,0.215143,2,3,0,31.4671,2.71637
-30.616,0.920894,0.187789,2,3,0,31.1941,2.45212
-30.616,6.27842e-005,0.241887,1,1,0,32.0332,2.45212
-30.5811,1,0.0524656,1,1,0,30.6149,2.43618
-30.4812,0.980064,0.0789484,3,7,0,31.2408,2.07507
-30.3681,1,0.113916,2,7,0,30.4635,2.29559
