# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:27:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\u_irb67m.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation1\exponential_priors_delta_only-20240422172710.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-15.277,1,0.125,2,3,0,24.7887,1.65386
-15.277,0,14.3855,0,1,1,15.7892,1.65386
-15.277,0,2.43117,0,1,1,15.4555,1.65386
-15.1146,1,0.239791,1,1,0,15.1536,1.75209
-15.1146,0.0310831,0.324332,1,1,0,15.3497,1.75209
-15.1811,0.997532,0.0282238,2,7,0,15.3383,1.69032
-15.2454,0.996624,0.0441063,1,3,0,15.276,1.66413
-15.1873,0.9972,0.074341,3,7,0,15.3381,1.83523
-15.1151,0.99248,0.131773,2,3,0,15.222,1.74993
-15.3333,0.787123,0.236981,1,1,0,15.3949,1.89431
-15.2926,1,0.226347,1,1,0,15.4885,1.88037
-15.2926,4.77023e-005,0.427564,1,1,0,16.8822,1.88037
-15.5887,0.995414,0.0347575,3,9,0,15.7393,1.58543
-15.1146,1,0.0657656,3,7,0,15.5867,1.76517
-15.1611,0.981421,0.126127,2,3,0,15.2043,1.70114
-15.1611,0.0250477,0.227461,1,1,0,16.1793,1.70114
-15.1146,0.998614,0.0215144,3,11,0,15.4963,1.76553
-15.5883,0.986936,0.0412962,2,5,0,15.6838,1.58549
-15.5536,1,0.0759337,1,1,0,15.6307,1.59147
-16.2335,0.789264,0.144064,2,3,0,16.4618,1.50321
-16.2335,0.00809485,0.144475,2,3,0,21.7089,1.50321
-16.1439,0.999832,0.0144004,1,3,0,16.2843,1.51249
-16.5089,0.990531,0.0273406,1,3,0,16.7091,1.47727
-15.6431,1,0.0500181,2,3,0,16.4655,1.57655
-15.7061,0.98645,0.0931268,1,1,0,15.7972,1.5669
-15.3879,1,0.16511,2,3,0,15.5347,1.6246
-15.3879,0.00137582,0.301313,1,1,0,16.7005,1.6246
-15.3257,0.999399,0.0329428,3,9,0,15.5024,1.89182
-15.1755,0.997872,0.060243,1,3,0,15.3922,1.82861
-15.1985,0.998257,0.108608,2,3,0,15.2077,1.84107
-16.0068,0.585528,0.194101,1,1,0,16.146,2.04996
-16.0068,0.919321,0.111994,1,1,0,16.4531,2.04996
-15.1142,0.797681,0.160237,2,3,0,16.2944,1.75556
-15.4466,0.819655,0.164677,1,1,0,15.4543,1.61182
-15.4466,0.0246601,0.1793,1,1,0,17.2234,1.61182
-15.144,0.994187,0.0241036,3,13,0,16.436,1.80714
-15.1294,0.999354,0.0419438,2,7,0,15.1873,1.72547
-15.1504,0.98541,0.0733256,1,3,0,15.3182,1.81209
-17.4571,0.627277,0.122601,1,3,0,17.7786,2.27113
-16.1837,0.992612,0.0816246,2,3,0,17.7175,2.08141
-15.7173,1,0.137764,1,1,0,16.1756,1.99278
-15.1412,1,0.234998,1,1,0,15.2157,1.71474
-15.1412,5.51668e-012,0.397675,1,1,0,16.9055,1.71474
-15.4924,0.972511,0.0562289,2,5,0,15.8075,1.94021
-15.2774,0.915817,0.0891573,1,3,0,16.4809,1.65373
-15.1141,0.976916,0.122287,2,3,0,15.398,1.76122
-15.1141,0.000380968,0.193593,1,1,0,17.0279,1.76122
-15.4355,0.993743,0.0290665,3,15,0,15.7248,1.61414
-15.2414,0.995942,0.0480577,2,7,0,15.6656,1.86063
-15.3023,0.992869,0.0793163,1,1,0,15.3039,1.88381
-15.8053,0.862795,0.129072,1,1,0,15.8142,2.01111
-15.1261,0.966149,0.153874,2,3,0,15.5057,1.78919
-15.1261,0.0111367,0.232731,1,1,0,16.9247,1.78919
-15.824,0.982248,0.0385124,2,5,0,16.1223,1.55038
-16.623,0.94617,0.0606411,2,5,0,17.1717,2.15247
-17.3951,0.97408,0.0874208,2,3,0,17.4082,2.26281
-15.5051,1,0.133628,2,3,0,16.927,1.60029
-15.5726,0.926508,0.215382,1,1,0,16.0333,1.58817
-15.7652,0.265611,0.292714,1,3,0,15.9571,2.00288
-16.142,0.951255,0.0909881,1,1,0,16.1541,2.07418
-15.8038,1,0.13078,2,3,0,16.1955,2.01079
-15.8038,0.277005,0.208332,1,1,0,17.3016,2.01079
-15.1382,0.998841,0.0678859,2,5,0,15.7694,1.80207
-15.7517,0.926006,0.107669,2,3,0,15.8365,1.56031
-15.1152,1,0.145097,1,1,0,15.4522,1.74938
-15.1152,0.101082,0.228453,1,1,0,15.7942,1.74938
-15.1144,0.999986,0.0523659,2,7,0,15.1158,1.75363
-15.2085,0.988515,0.0824774,3,7,0,15.2527,1.84598
-15.3465,0.959765,0.126143,1,1,0,15.3581,1.89858
-15.3465,0.392987,0.18075,1,1,0,15.7546,1.89858
-15.1259,0.969256,0.0788335,1,3,0,15.7617,1.72943
-15.1159,1,0.115034,1,3,0,15.1232,1.74699
-15.6694,0.71164,0.178153,1,1,0,15.6734,1.98237
-15.1292,1,0.151671,1,1,0,15.4344,1.79299
-15.2336,0.895029,0.233449,1,1,0,15.2961,1.85735
-15.1715,0.337869,0.28882,2,3,0,15.1813,1.69526
-15.1316,0.993847,0.115217,1,3,0,15.2124,1.79564
-15.1316,0.141076,0.174204,1,1,0,16.0243,1.79564
-15.1621,0.997964,0.0473577,1,3,0,15.1867,1.82028
-15.1787,0.999435,0.0722012,2,3,0,15.1795,1.83047
-16.2908,0.747839,0.109934,1,3,0,16.7768,1.49751
-15.6484,1,0.10134,1,1,0,16.1585,1.57571
-15.217,1,0.153569,2,3,0,15.4782,1.67456
-15.1382,1,0.23178,1,1,0,15.1973,1.71721
-15.1382,1.45874e-007,0.348442,1,1,0,16.3548,1.71721
-15.8589,0.820214,0.0749132,1,3,0,17.4707,2.02181
-16.1628,0.969934,0.0796751,1,1,0,16.1718,2.0778
-15.6919,1,0.112941,2,3,0,16.1058,1.9873
-15.5985,1,0.169029,2,3,0,15.7233,1.96627
-15.5985,3.20518e-007,0.252036,1,1,0,16.0881,1.96627
-16.6367,0.922098,0.0561527,2,5,0,18.6773,1.46631
-15.9965,1,0.0723561,1,1,0,16.5491,1.52891
-15.4494,1,0.107697,2,3,0,15.8628,1.61124
-15.2944,1,0.159733,1,1,0,15.4727,1.64866
-15.2284,1,0.236089,1,1,0,15.2284,1.85506
-15.2284,2.9789e-040,0.347759,1,1,0,15.8674,1.85506
-15.1211,0.999879,0.0803823,3,7,0,15.2319,1.73614
