# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:27:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\drgy7ga5.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation2\exponential_priors_delta_only-20240422172722.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-0.763562,1,0.125,1,1,0,13.6111,1.63531
-0.763562,0,14.3855,0,1,1,1.22054,1.63531
-0.763562,0,2.43117,0,1,1,0.786006,1.63531
-0.763562,7.93042e-006,0.239791,1,1,0,2.32175,1.63531
-0.927994,0.998944,0.0186277,2,3,0,0.93472,1.62091
1.018,0.999815,0.0256455,3,15,0,1.07101,1.96965
1.03422,0.999554,0.0402541,2,5,0,-0.991142,2.01481
0.793534,0.905963,0.0683659,3,7,0,1.23779,2.17833
1.00517,0.96645,0.0908996,1,3,0,-0.416412,1.95625
0.675197,0.857144,0.150303,1,1,0,-0.665948,1.82923
0.675197,0.0016603,0.179027,2,3,0,3.76365,1.82923
0.822326,0.999876,0.0144456,2,7,0,-0.618205,1.86909
0.902958,0.998169,0.0276471,3,11,0,-0.52292,2.1326
0.902134,0.999959,0.0528193,1,1,0,-0.895742,2.133
0.86112,0.992495,0.101407,1,1,0,-0.84672,2.15159
1.03192,1,0.189525,1,1,0,-0.961889,2.02663
1.03192,8.33779e-020,0.360459,1,1,0,-0.187406,2.02663
1.02035,0.999807,0.0320933,2,5,0,-1.01888,2.04927
0.702412,0.98345,0.0614793,3,7,0,-0.490197,2.20957
0.867955,0.946957,0.111168,1,3,0,-0.21621,1.88449
0.99071,0.976891,0.178782,2,3,0,-0.906239,1.94448
0.99071,0.00652979,0.311933,1,1,0,-0.739854,1.94448
0.890314,0.987835,0.0313757,3,11,0,0.127006,2.13859
0.854592,0.997941,0.0568854,1,1,0,-0.854452,2.15436
