# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:27:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\n0_1hs6k.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation3\exponential_priors_delta_only-20240422172735.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-83.983,0.00582705,0.25,2,3,0,84.9205,13.857
-83.983,0,2.35994,0,1,1,84.0138,13.857
-82.8416,0.542816,0.23342,2,3,0,84.7033,12.6768
-82.6526,0.990117,0.0720269,2,3,0,82.8835,12.4985
-82.5413,0.99789,0.0868289,1,1,0,82.7732,12.3955
-58.4008,0.909615,0.127418,3,7,0,80.875,2.84618
-57.7829,1,0.158442,1,1,0,58.2937,2.6287
-57.2923,1,0.27566,1,1,0,57.3963,2.14822
-57.2923,0.00011992,0.499216,1,1,0,57.5299,2.14822
-57.4956,0.995006,0.0393544,2,5,0,57.6619,2.02583
-57.3764,0.996518,0.072355,2,5,0,57.6365,2.41863
-57.6396,0.957406,0.135357,2,3,0,57.8259,2.56664
-57.2501,0.898639,0.225105,2,3,0,57.642,2.24243
-57.2501,0.0465846,0.311873,1,1,0,58.3457,2.24243
-57.2562,0.999192,0.0303395,3,15,0,57.3934,2.27913
-57.2504,0.999825,0.0583339,2,7,0,57.2665,2.23291
-58.3668,0.891057,0.111795,3,7,0,58.6766,2.83545
-57.3217,1,0.152631,1,3,0,58.2408,2.37307
-57.3217,0.0221061,0.289038,1,1,0,57.8503,2.37307
-57.3132,1,0.0286899,2,3,0,57.3217,2.36465
-57.2897,0.999872,0.0546502,1,3,0,57.3223,2.33839
-57.5506,0.979248,0.103071,2,3,0,57.5565,2.52344
-57.5506,0.948351,0.181193,1,1,0,57.7434,2.52344
-57.5506,3.70838e-008,0.288554,1,1,0,59.1774,2.52344
