# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:27:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\yv36fnuu.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation4\exponential_priors_delta_only-20240422172746.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-64.0347,1,0.125,2,3,0,76.0007,1.66699
-64.0347,0,14.3855,0,1,1,65.2155,1.66699
-64.0347,0,2.43117,0,1,1,64.1447,1.66699
-64.0558,0.351649,0.239791,2,3,0,65.2561,1.66427
-63.1177,0.967375,0.0508733,3,7,0,65.9502,1.83418
-63.0593,0.998242,0.0665956,2,3,0,63.1879,1.85151
-62.7712,0.963118,0.106742,1,3,0,63.4796,2.11847
-62.7528,0.997104,0.164488,2,3,0,62.7863,2.06749
-62.7528,0.415371,0.29372,1,1,0,63.0306,2.06749
-62.7577,0.999276,0.0857083,1,3,0,62.7628,2.09093
-63.0013,0.943058,0.159894,1,3,0,63.0179,2.2849
-63.0013,0.0773956,0.252416,1,1,0,63.5534,2.2849
-63.0008,1,0.0262205,1,1,0,63.0029,2.28468
-64.3894,0.904989,0.0503938,2,7,0,69.7141,2.72933
-63.2231,0.977352,0.0719718,1,3,0,65.4894,2.37968
-62.7633,0.975391,0.128624,1,3,0,63.4962,2.0189
-63.5924,0.55168,0.227401,2,3,0,63.836,2.50585
-63.2651,0.996463,0.109542,3,7,0,63.5581,2.39549
-63.0478,0.992156,0.205759,2,3,0,63.2891,2.30693
-63.0478,1.25884e-030,0.378237,1,1,0,63.8093,2.30693
-63.3825,0.996402,0.0357769,2,5,0,63.5227,2.43728
-63.5038,0.988854,0.0670243,2,3,0,63.7898,2.47769
-66.4514,0.840039,0.121631,2,7,0,66.4867,1.45777
-64.0324,1,0.141867,2,3,0,65.7585,2.63412
-64.0324,0.0278789,0.261796,1,1,0,64.7305,2.63412
-63.9258,0.997881,0.0297436,3,7,0,64.5697,2.60443
-64.4282,0.9873,0.054749,1,3,0,64.6276,2.73934
-64.6604,0.986426,0.09684,1,1,0,64.7118,2.79833
-63.4034,1,0.16926,2,3,0,64.2026,1.76705
-62.9587,1,0.304296,1,1,0,62.9721,2.26321
-62.9587,0,0.541759,0,1,1,66.809,2.26321
-62.8985,0.999975,0.0631888,3,7,0,62.9674,2.22899
-62.7985,0.969239,0.112875,1,3,0,63.2453,1.97551
-62.8502,0.987006,0.183983,2,3,0,62.8753,2.19676
-62.8502,2.94519e-008,0.311867,1,1,0,63.8022,2.19676
