# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:27:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\d9f34vn2.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation5\exponential_priors_delta_only-20240422172753.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-62.036,1,0.125,1,1,0,73.2438,1.47547
-62.036,0,14.3855,0,1,1,63.035,1.47547
-62.036,0,2.43117,0,1,1,63.1988,1.47547
-57.3778,0.879793,0.239791,2,3,0,59.951,2.0635
-59.628,0.13011,0.230055,2,3,0,59.9097,3.29853
-58.925,0.999098,0.0264966,2,7,0,60.0972,3.08538
-57.6711,0.993802,0.0415355,3,11,0,60.1247,2.62788
-57.7214,0.998153,0.0693265,1,1,0,57.7243,2.6511
-57.2266,0.957243,0.12317,1,3,0,58.2972,2.19725
-57.2266,0.571922,0.198118,1,1,0,57.8256,2.19725
-57.225,0.994332,0.0957915,1,3,0,57.3182,2.29944
-57.329,0.579377,0.177911,2,3,0,60.0297,2.42668
-57.253,1,0.0898938,3,7,0,57.3242,2.15635
-57.2233,0.942803,0.171831,2,3,0,57.5199,2.29479
-57.2478,0.980987,0.274264,1,1,0,57.2479,2.16281
-57.2478,4.72621e-033,0.491536,1,1,0,58.6556,2.16281
-57.358,0.988878,0.0428141,2,7,0,58.2866,2.44946
-57.3609,0.99984,0.0793674,1,1,0,57.368,2.45161
-57.2171,1,0.15099,2,3,0,57.3362,2.22739
-57.2171,0.574455,0.284887,1,1,0,57.4582,2.22739
-57.432,0.96118,0.14974,2,3,0,57.524,2.03704
-57.2619,1,0.249773,1,1,0,57.3691,2.1464
-57.2619,0.00273267,0.463146,1,1,0,57.5837,2.1464
-57.2672,0.998889,0.0468465,3,9,0,57.3659,2.36692
