# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:28:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\zjn709zn.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation6\exponential_priors_delta_only-20240422172804.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
16.891,1,0.125,1,1,0,-6.47262,1.62039
16.891,0,14.3855,0,1,1,-15.7485,1.62039
16.891,0,2.43117,0,1,1,-16.77,1.62039
16.1068,0.126051,0.239791,2,3,0,-15.9036,2.14846
17.4652,0.996577,0.0267029,4,15,0,-15.1298,1.83757
17.1095,0.981378,0.0370808,4,15,0,-16.2965,1.97237
17.3686,0.987395,0.0555588,2,7,0,-16.6932,1.72034
17.4665,0.846711,0.0913414,2,3,0,-16.0746,1.83617
15.8236,0.776191,0.101096,2,3,0,-15.2865,1.51114
16.8279,1,0.0917135,1,1,0,-16.0518,1.61157
16.8279,0.0144946,0.171505,1,1,0,-14.5547,1.61157
17.3609,1,0.0144119,4,23,0,-16.821,1.89725
17.4135,0.996061,0.0275936,3,11,0,-16.9042,1.73862
16.9814,0.963085,0.0523701,2,5,0,-16.4801,2.00128
17.4669,0.945528,0.0896289,2,3,0,-16.3776,1.77345
17.4319,0.981697,0.144938,1,1,0,-17.4237,1.74802
17.4319,0.016727,0.261049,1,1,0,-17.1741,1.74802
17.2348,0.992243,0.0245191,3,11,0,-16.4325,1.93948
16.1655,0.929185,0.0460012,2,7,0,-14.5486,2.14006
17.48,0.919057,0.0708246,2,5,0,-14.435,1.79451
17.4812,0.999897,0.1052,1,3,0,-17.4794,1.80786
17.4812,0.228165,0.197341,1,1,0,-17.1471,1.80786
16.6936,0.985162,0.0381594,4,15,0,-16.6523,1.59432
16.6703,0.996868,0.0685348,1,1,0,-16.5779,1.59151
16.3116,0.959529,0.126116,2,3,0,-16.3005,2.11851
17.4053,1,0.20651,1,1,0,-17.247,1.7349
17.4053,0.0697542,0.376146,1,3,1,-17.3488,1.7349
17.1104,0.978439,0.0497381,2,7,0,-16.8557,1.65619
16.7926,0.937636,0.0855015,1,1,0,-16.7785,1.60684
17.4532,0.907839,0.130139,2,3,0,-16.5708,1.7615
17.4532,0.509368,0.181292,1,1,0,-17.2076,1.7615
