# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:28:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\rb1u5q8m.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation7\exponential_priors_delta_only-20240422172821.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-81.1316,1,0.125,1,1,0,95.1376,1.62633
-81.1316,0,14.3855,0,1,1,81.5164,1.62633
-81.1316,0,2.43117,0,1,1,81.1372,1.62633
-76.5448,1,0.239791,1,1,0,78.9215,3.04079
-76.5448,0.243445,0.324332,1,1,0,76.8666,3.04079
-76.3584,0.996197,0.0531599,2,7,0,77.1282,2.48873
-76.3263,0.999306,0.0841616,2,3,0,76.3804,2.53386
-76.2962,0.983188,0.144584,2,3,0,76.48,2.61068
-77.8615,0.406845,0.246823,1,1,0,77.9057,1.97722
-77.9138,0.998962,0.0700512,2,3,0,77.9741,1.96837
-76.3792,1,0.130518,3,7,0,77.8589,2.46589
-76.5068,0.949928,0.2467,2,3,0,76.5552,2.36728
-76.5068,0.149528,0.400001,1,1,0,77.1922,2.36728
-76.6972,0.991995,0.0527886,1,3,0,76.8982,2.27209
-76.7057,0.999726,0.0988633,2,3,0,76.7384,2.26855
-76.3097,0.619633,0.188987,2,3,0,78.5304,2.56686
-76.7098,0.946813,0.111519,1,3,0,77.0351,2.26686
-76.4279,0.603887,0.180523,2,3,0,78.9811,2.42208
-76.3998,1,0.10279,1,1,0,76.4271,2.446
-76.3234,0.989843,0.194544,1,3,0,76.4653,2.78311
-76.3234,0.52091,0.353911,1,1,0,76.4193,2.78311
-76.7327,0.96866,0.159469,2,3,0,76.7346,2.25762
-76.7327,0.0901401,0.270767,1,1,0,78.1339,2.25762
-76.3314,0.999898,0.035471,3,15,0,76.8367,2.52547
-76.2933,0.992432,0.0662167,2,7,0,76.7122,2.68516
-76.2946,0.998836,0.119772,1,3,0,76.3111,2.6192
-76.2963,0.699741,0.218452,2,3,0,77.3316,2.60995
-76.3801,0.984825,0.170279,2,3,0,76.4202,2.46495
-76.3801,0.194399,0.294884,1,1,0,77.09,2.46495
-76.7596,0.993676,0.0570382,3,7,0,76.7863,2.24712
-76.3253,1,0.101208,2,7,0,76.7243,2.53556
