# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\n88plw77.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation8\exponential_priors_delta_only-20240422172830.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-22.3448,1,0.125,1,3,0,37.2393,2.03807
-22.3448,0,14.3855,0,1,1,22.9824,2.03807
-22.3448,0,2.43117,0,1,1,22.3453,2.03807
-22.3448,0.000240361,0.239791,1,1,0,23.1429,2.03807
-22.3577,0.999885,0.0186401,1,3,0,22.3672,2.04475
-22.2699,1,0.0257353,4,15,0,22.3567,1.98537
-22.4932,0.984759,0.0404219,3,9,0,23.1059,1.78991
-22.7144,0.993479,0.0655657,3,7,0,22.7879,1.73898
-22.3255,0.956764,0.114729,1,3,0,22.9756,2.02722
-22.3255,0.37148,0.184197,1,1,0,23.225,2.02722
-22.3097,0.999392,0.0472459,2,3,0,22.3515,2.01739
-22.294,0.97667,0.0892337,1,3,0,22.5593,1.86972
-25.1855,0.371427,0.157879,2,3,0,25.2957,1.49324
-25.219,0.999467,0.0419501,2,3,0,25.3309,1.49117
-23.8559,1,0.0805181,1,1,0,25.0025,1.59295
-23.3846,1,0.154248,1,1,0,24.2261,1.64128
-22.3333,1,0.293785,1,1,0,22.3533,2.03174
-22.3333,9.8058e-027,0.555453,1,3,1,22.3542,2.03174
-22.4537,0.99261,0.0502919,1,3,0,22.5302,2.08646
-22.3549,1,0.093628,1,1,0,22.439,2.04335
-22.2807,1,0.176622,1,1,0,22.3369,1.99566
-22.2807,0.0366705,0.329988,1,1,0,22.7965,1.99566
-22.2466,0.999999,0.0362407,3,11,0,22.2804,1.92849
-22.2896,0.989994,0.0679871,1,3,0,22.4003,2.00298
-23.1319,0.831134,0.122663,1,3,0,23.1908,2.26636
-22.6339,1,0.139209,2,3,0,23.0431,2.14588
-22.6339,0.000143697,0.254416,1,1,0,23.027,2.14588
-22.6838,0.999173,0.0277592,2,3,0,22.7154,2.16007
-22.6704,0.992515,0.0508053,3,7,0,23.1849,2.15632
-22.768,0.987095,0.0903778,1,1,0,22.799,2.18256
-23.6161,0.84815,0.156898,2,3,0,23.7607,2.35954
-24.8881,0.542487,0.185064,2,3,0,25.0571,1.51243
-23.7432,1,0.0955549,1,1,0,24.7299,1.6036
-24.4361,0.547021,0.169322,2,3,0,24.9235,1.54456
-23.8903,1,0.0894833,2,3,0,24.4987,1.58979
-22.28,1,0.157183,1,3,0,23.0828,1.99502
-22.8518,0.480892,0.273636,1,1,0,23.2379,2.20351
-22.3653,0.940165,0.123199,1,3,0,23.1144,1.8328
-22.2569,0.993381,0.182659,2,3,0,22.3107,1.90416
-22.2569,0.00236574,0.308271,1,1,0,22.8201,1.90416
-22.3585,0.971756,0.0420666,2,7,0,23.6592,2.04516
-24.8637,0.686805,0.0674362,1,3,0,28.5999,2.55885
-24.4747,1,0.0527592,2,3,0,24.8504,2.50063
-23.9959,1,0.0898999,1,1,0,24.4998,2.42465
-23.9959,0.69944,0.151994,1,1,0,25.2725,2.42465
-23.9705,1,0.122512,1,1,0,24.3834,2.42046
-22.5158,1,0.2051,1,1,0,22.8364,1.78374
-22.5158,0.015623,0.34087,1,3,1,22.5365,1.78374
-22.2591,0.993754,0.0535552,2,7,0,22.7363,1.97243
-22.492,0.945339,0.0878676,1,3,0,22.83,1.79024
-22.553,0.978704,0.127746,1,1,0,22.6281,1.7742
-24.0615,0.122705,0.199791,2,3,0,24.8326,1.57468
-24.235,0.992064,0.0424076,1,1,0,24.2538,1.56027
-23.7708,1,0.0684757,1,1,0,24.2213,1.60094
-23.0022,1,0.111895,1,1,0,23.6418,1.69067
-23.3103,0.786936,0.181689,1,1,0,23.937,1.64998
-22.777,0.90261,0.180851,2,3,0,23.218,2.18485
-22.777,0.118664,0.233615,1,1,0,24.4823,2.18485
-22.7967,0.999715,0.0519586,2,3,0,22.8131,2.18986
-24.8458,0.854096,0.083666,2,3,0,24.9668,2.55622
-25.1626,0.964506,0.0970376,1,1,0,25.4107,2.60197
-23.3608,1,0.14322,1,1,0,24.7804,2.31222
-23.3608,0.00190499,0.227379,1,1,0,23.9098,2.31222
-23.3911,0.999263,0.0409744,4,15,0,23.5695,1.64054
-23.4413,0.998291,0.0650531,2,3,0,23.5314,1.63487
-23.3519,1,0.102513,1,1,0,23.6582,1.64506
-22.6502,1,0.16129,1,1,0,23.2097,1.752
-22.6502,0.00686245,0.252464,1,1,0,23.1561,1.752
-22.3664,0.996816,0.0481544,3,7,0,22.8743,1.83235
-22.3337,0.997891,0.0749823,2,3,0,22.4116,1.84709
-22.3337,0.89159,0.116448,1,3,0,22.8922,1.84709
-22.246,1,0.144268,1,3,0,22.299,1.9345
-22.8058,0.557302,0.223162,1,1,0,22.9706,1.72212
-22.2465,1,0.13811,1,3,0,22.6123,1.94306
-22.2465,0.0815609,0.212678,1,1,0,22.8583,1.94306
-23.3778,0.963238,0.0501734,2,7,0,23.4719,2.31548
-22.3004,0.948852,0.0717529,1,3,0,24.4362,2.01101
-24.9307,0.801438,0.0993097,2,3,0,25.0558,1.5096
-23.474,1,0.101904,1,1,0,24.629,1.63127
-22.2724,1,0.155408,1,1,0,22.8711,1.88661
-23.3731,0.345962,0.236008,1,1,0,23.5294,2.31459
-23.3728,0.992688,0.0978906,2,7,0,23.4405,1.64263
-22.274,0.956728,0.146247,2,3,0,23.2327,1.98947
-22.333,0.954293,0.202833,1,1,0,22.3332,1.84739
-22.584,0.4549,0.279099,1,3,0,22.6854,2.1309
-22.5137,1,0.145241,1,1,0,22.6499,2.10809
-22.6839,0.857384,0.217962,1,1,0,22.6866,1.74503
-22.6839,0.315135,0.247688,1,1,0,22.7023,1.74503
-23.3251,0.86471,0.0995517,1,1,0,23.3321,1.64821
-22.5404,1,0.114975,2,3,0,23.1257,2.11705
-22.3473,0.980724,0.171413,2,3,0,22.4977,2.03937
-22.2908,1,0.24553,1,1,0,22.3663,2.00391
-22.2503,0.621261,0.363504,1,3,0,22.2507,1.91591
-22.2503,0.190438,0.263877,1,1,0,22.4956,1.91591
-22.2503,0.764737,0.0860223,1,3,0,24.5742,1.91591
-22.7943,0.873636,0.0822236,1,3,0,23.5954,2.18925
-24.7038,0.861491,0.0961489,2,7,0,24.8118,1.52505
-24.053,1,0.109794,2,3,0,24.9031,1.57541
-22.2812,1,0.161425,1,1,0,23.1036,1.87906
-22.3168,0.96041,0.236566,1,1,0,22.3767,1.85587
-22.3168,0.00072608,2.57259,1,1,0,23.0437,1.85587
-22.3168,4.51044e-027,6.0151,1,1,0,22.3171,1.85587
-22.2944,1,0.593317,1,1,0,22.3147,1.86938
-22.8111,0.936474,0.61808,1,3,0,23.1629,1.7212
-23.1184,0.949987,0.697327,2,3,0,23.5557,1.67432
-23.9468,0.80076,0.932142,1,1,0,24.0319,1.58469
-22.2711,1,0.854315,2,3,0,23.6731,1.98661
-24.0119,0.348166,1.50471,1,1,0,24.0298,1.57896
-24.0567,0.998188,0.353884,1,1,0,24.1035,1.57509
-22.5691,0.942428,0.648133,3,7,0,25.6825,2.12627
-22.6029,0.992663,1.0117,1,1,0,22.6682,2.13667
-22.3786,1,1.86612,1,1,0,22.5887,2.05491
-22.3786,7.00083e-272,3.53105,1,1,0,24.5096,2.05491
-22.3026,0.99651,0.290011,3,11,0,22.7609,1.86413
-22.2495,0.996726,0.548548,1,3,0,22.366,1.91801
-22.2534,0.998956,1.03388,1,1,0,22.2537,1.90974
-22.4551,0.834313,1.94985,1,1,0,22.4751,2.08699
-22.4218,0.538432,2.20702,1,3,0,22.427,1.81176
-22.5967,0.882873,1.01819,2,3,0,23.2283,2.13482
-28.8836,0.28007,1.34054,1,3,0,28.9219,1.32442
-28.7633,1,0.291483,1,1,0,29.0193,1.32864
-27.6479,1,0.54661,1,1,0,28.8473,1.37085
-26.3694,1,1.01495,2,3,0,28.4026,1.4279
-23.5512,1,1.86574,1,1,0,24.0516,2.34782
-23.5512,1.30198e-146,3.39535,1,1,0,23.6869,2.34782
-24.4141,0.978055,0.351336,4,15,0,26.5974,2.49132
-22.5477,0.995119,0.603493,2,7,0,24.2909,2.1194
-22.259,1,1.07776,1,3,0,22.4878,1.97225
-22.2974,0.966704,1.93225,1,1,0,22.321,2.00886
-22.2974,0.459109,3.12925,1,1,0,22.5315,2.00886
-22.9696,0.854308,1.25204,1,3,0,22.9707,2.23109
-22.3896,0.909053,1.48774,2,3,0,22.9925,1.82319
-22.3896,0.0989072,2.04288,1,1,0,23.1539,1.82319
-22.4939,0.995827,0.320352,1,3,0,22.5722,1.78973
-23.8883,0.957067,0.557613,3,7,0,23.8903,1.58997
-23.2784,1,0.868792,1,1,0,23.8481,1.65383
-22.2504,1,1.5034,1,1,0,22.6755,1.95702
-22.5976,0.593309,2.57923,1,1,0,22.8597,2.13508
-22.2783,1,1.54387,1,1,0,22.4496,1.99349
-22.2514,1,2.62603,1,1,0,22.2699,1.95927
-22.2514,1.6279e-005,4.43084,1,1,0,22.2755,1.95927
-22.332,0.996349,0.602223,3,7,0,22.3494,2.03097
-22.5185,0.958112,1.00991,1,1,0,22.5187,2.10972
-22.2712,0.982429,1.52898,2,3,0,22.4043,1.98664
-22.3227,0.930634,2.44252,1,1,0,22.4004,2.02556
-22.3227,0.00823165,3.41569,1,1,0,23.0352,2.02556
-22.4215,0.94052,0.50898,2,5,0,24.0156,1.81183
-22.3663,0.994626,0.733321,2,3,0,22.5109,1.83239
-22.3663,0.926409,1.19618,1,1,0,22.5166,1.83239
-22.3663,0.313913,1.64845,1,1,0,23.0358,1.83239
-22.255,0.998057,0.533916,2,5,0,22.4374,1.96619
-22.2941,0.987582,0.870944,1,3,0,22.3647,1.86963
-22.4368,0.931034,1.37751,1,1,0,22.4602,1.8068
-22.2481,1,1.9003,1,1,0,22.292,1.95043
-22.2481,0.592428,3.05848,1,1,0,22.2575,1.95043
-22.3383,0.92365,1.93033,1,1,0,22.3599,2.03449
-22.3383,0.204364,2.59672,1,1,0,22.8498,2.03449
-22.2965,0.99407,0.687991,3,7,0,22.48,2.00823
-22.4211,0.966858,1.08634,1,1,0,22.4222,2.07351
-22.3316,1,1.60545,2,3,0,22.3709,1.84812
