# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:28:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\yfh3wzr2.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=100\realisation9\exponential_priors_delta_only-20240422172845.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-32.0644,1,0.125,1,1,0,44.7187,1.69442
-32.0644,0,14.3855,0,1,1,32.1593,1.69442
-32.0644,0,2.43117,0,1,1,32.4111,1.69442
-31.0067,1,0.239791,1,1,0,31.1986,2.16941
-31.0067,0.241742,0.324332,1,1,0,31.5395,2.16941
-30.9287,0.997793,0.0528907,2,5,0,31.1178,2.10512
-31.0578,0.990625,0.084134,2,3,0,31.0604,2.19881
-31.0235,0.964643,0.140683,2,3,0,31.3779,2.17966
-31.0235,0.0302846,0.226506,1,1,0,34.4055,2.17966
-31.0018,0.999768,0.0195656,4,23,0,31.1348,1.93109
-30.9944,0.999964,0.0364828,2,3,0,31.0069,1.93519
-31.1323,0.980748,0.0690501,2,7,0,31.4747,2.23478
-31.0857,0.946969,0.123843,1,3,0,31.6245,1.89301
-30.9721,1,0.20018,1,3,0,31.0311,2.14552
-30.9765,0.991315,0.381573,1,1,0,31.1276,2.14875
-30.9765,2.35696e-021,0.704623,1,3,1,31.0777,2.14875
-31.1388,0.98769,0.0612216,1,3,0,31.2673,2.2377
-32.3127,0.899743,0.112781,2,7,0,32.3228,1.66402
-31.5693,1,0.157986,2,3,0,32.7099,2.38636
-31.5693,0.0948387,0.297979,1,3,0,31.5693,2.38636
-30.9952,0.999687,0.0374693,3,11,0,31.5999,1.93473
-30.9439,0.995302,0.0708525,2,7,0,31.1207,2.12142
-30.9099,0.996306,0.13097,1,3,0,30.9684,2.01212
-30.9099,0.494202,0.240432,1,1,0,31.1638,2.01212
-32.0248,0.744965,0.102825,1,3,0,33.3006,2.50554
-32.2159,0.983392,0.091366,1,1,0,32.2658,2.55032
-31.1878,1,0.159877,1,1,0,31.9132,2.25837
-30.9147,1,0.290405,1,1,0,31.0151,2.08517
-31.0291,0.646596,0.522267,1,1,0,31.4305,2.18293
