# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:32:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\n5eoymg4.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation0\exponential_priors_delta_only-20240422173226.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-77.828,1,0.125,2,3,0,103.013,3.16707
-77.828,0,14.3855,0,1,1,78.2269,3.16707
-77.828,0,2.43117,0,1,1,78.0939,3.16707
-77.828,3.25912e-137,0.239791,1,1,0,79.0624,3.16707
-77.9861,0.999171,0.0186273,1,1,0,77.9886,3.18176
-77.9717,1,0.0256623,1,1,0,78.0756,3.18043
-72.173,0.994829,0.040304,2,5,0,78.7882,2.55865
-71.8548,1,0.0674527,1,1,0,72.1937,2.51146
-70.5767,0.93288,0.120507,2,3,0,71.4822,2.18871
-70.5864,0.990721,0.179462,1,1,0,70.5866,2.11156
-70.5622,1,0.326195,1,1,0,70.5656,2.15178
-70.5622,9.15378e-046,0.615919,1,1,0,71.0791,2.15178
-71.3045,0.959885,0.0500068,2,5,0,71.442,1.93207
-70.5645,1,0.0845093,2,3,0,71.2303,2.16814
-70.5645,0.543459,0.161852,1,1,0,70.8741,2.16814
-71.1219,0.893155,0.0750247,1,3,0,71.4675,2.38005
-70.5991,0.951256,0.103373,2,3,0,71.4549,2.20935
-70.9565,0.754047,0.169718,1,1,0,71.0557,2.34151
-70.9565,0.0131713,0.152399,1,1,0,72.5419,2.34151
-70.5941,0.999985,0.014802,3,9,0,70.9688,2.20543
-70.5679,0.999514,0.0283483,3,9,0,70.6449,2.13336
-71.0258,0.966745,0.0537029,2,5,0,71.1589,2.35837
-71.127,0.978442,0.0915115,1,1,0,71.2067,2.38117
-71.7412,0.708195,0.159982,1,3,0,71.7425,1.87972
-70.6645,1,0.127205,1,1,0,71.2359,2.06772
-70.6645,0.00607924,0.233809,1,1,0,70.9627,2.06772
-71.019,0.991724,0.0254702,3,9,0,71.5065,2.35677
-70.9699,1,0.0459124,2,3,0,71.0233,2.34488
-70.7161,1,0.0838659,2,3,0,70.9217,2.26866
-70.5814,1,0.151666,1,3,0,70.6249,2.11622
-70.5814,6.37794e-005,0.271592,1,1,0,71.1228,2.11622
-70.9456,0.979017,0.0318643,2,7,0,71.8708,2.33876
-70.9865,0.975725,0.0540977,2,3,0,71.4444,2.34896
-70.963,1,0.0902557,2,3,0,71.0641,2.34315
-71.6346,0.611669,0.15926,1,1,0,71.6346,1.89126
-70.8728,1,0.100308,1,1,0,71.409,2.00658
-70.8728,0.00309472,0.175242,1,1,0,72.7299,2.00658
-70.8793,0.999887,0.0229864,1,1,0,70.8819,2.00512
-70.8915,0.961412,0.0402468,2,7,0,72.2683,2.32448
-70.8862,1,0.0633324,3,7,0,70.9247,2.32303
-70.6044,1,0.109115,2,3,0,70.793,2.21325
-70.6044,0.000755108,0.186452,1,1,0,71.5954,2.21325
-70.9146,0.99251,0.0261858,2,7,0,71.2268,2.33069
-71.2883,0.981448,0.0440236,2,7,0,71.7304,1.93432
-70.9554,1,0.0714795,2,3,0,71.2363,1.98913
-70.8108,0.838116,0.120578,2,3,0,71.4882,2.3011
-70.8108,0.366103,0.136397,1,1,0,72.0848,2.3011
-70.5736,0.962721,0.0494799,2,5,0,71.8043,2.12491
-70.5637,0.994585,0.075689,2,3,0,70.6218,2.14355
-70.6283,0.977925,0.124136,2,3,0,70.6356,2.08433
-70.7317,0.883977,0.194433,1,1,0,70.8729,2.04373
-70.7317,3.92557e-012,0.242923,1,1,0,73.1016,2.04373
