# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:33:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\mzv6m443.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation1\exponential_priors_delta_only-20240422173316.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-100.014,0.683579,0.125,1,3,0,100.345,1
-100.014,0,8.09228,0,1,1,100.42,1
-100.014,0,1.15322,0,1,1,101.068,1
-60.4641,1,0.103193,1,1,0,81.7663,2.14549
-62.2824,0.775014,0.131329,1,3,0,62.3341,1.55603
-60.0393,1,0.100963,1,1,0,61.4944,1.71182
-60.0393,0.181301,0.164537,1,1,0,60.1889,1.71182
-60.3021,0.995541,0.0224036,2,3,0,60.3027,1.68465
-60.5009,0.986925,0.0390502,1,1,0,60.5071,1.66686
-59.34,1,0.0686019,2,3,0,60.3857,1.86497
-59.4592,0.946744,0.128235,2,3,0,59.4598,1.96656
-59.471,0.387258,0.204859,1,3,0,59.5015,1.80495
-59.4464,1,0.0564991,1,1,0,59.4744,1.81213
-59.4464,0.617965,0.108219,1,1,0,60.0193,1.81213
-59.3451,0.981775,0.0628917,1,3,0,59.6496,1.91062
-60.3986,0.747643,0.114044,1,3,0,60.402,1.67577
-62.7916,0.330545,0.100131,1,1,0,63.176,1.53279
-59.9124,0.999694,0.024699,4,15,0,62.9137,2.06606
-59.4207,0.983939,0.0473944,1,3,0,60.2765,1.95273
-59.6124,0.983263,0.0860046,2,3,0,59.6126,1.77294
-59.6124,0.350092,0.154452,1,1,0,59.8311,1.77294
-60.802,0.941915,0.0422919,2,5,0,61.1631,2.18626
-61.0412,0.970491,0.0671429,1,1,0,61.1676,2.21298
-60.4909,1,0.115001,2,3,0,61.2547,2.14888
-60.4909,1.69584e-006,0.2126,1,1,0,60.5103,2.14888
-60.4822,1,0.0223447,2,3,0,60.5048,2.14778
-60.6632,0.899373,0.0414785,2,7,0,64.3479,1.65362
-60.3687,1,0.0574475,1,1,0,60.6802,1.67847
-60.4262,0.990975,0.104738,2,3,0,60.8911,1.67332
-60.4262,0.0055264,0.184405,1,1,0,60.6135,1.67332
-61.4964,0.986457,0.0216423,3,7,0,61.7145,1.59758
-62.3284,0.877925,0.0377794,2,3,0,64.26,1.55383
-59.8586,1,0.0487819,2,3,0,62.1453,1.73407
-59.3405,0.993908,0.0869136,1,3,0,59.858,1.90572
-59.393,0.958933,0.150952,1,1,0,59.4114,1.94091
-59.393,0.32914,0.237029,1,1,0,59.701,1.94091
-59.7968,0.812219,0.0714698,2,3,0,61.4813,1.74265
-60.3697,0.868351,0.076656,1,1,0,60.3932,1.67839
-59.5192,0.947989,0.0948544,1,3,0,60.5377,1.98465
-59.5192,0.000867147,0.143305,1,1,0,61.4874,1.98465
-59.5177,1,0.0195939,3,7,0,59.521,1.98422
-59.3319,0.999645,0.0339111,3,7,0,59.5539,1.8872
-59.3448,0.985957,0.058156,3,7,0,59.5288,1.85992
-59.4398,0.971002,0.0956437,1,3,0,59.4806,1.95989
-60.1086,0.565662,0.150518,1,1,0,60.1431,1.70415
-59.4394,0.958747,0.0875487,1,3,0,60.3598,1.95972
-59.4116,1,0.132941,1,1,0,59.4745,1.94905
-59.4222,0.982278,0.221609,1,1,0,59.5714,1.95331
-59.4222,6.43499e-005,0.351583,2,3,0,59.4864,1.95331
-60.7284,0.843868,0.0538893,2,5,0,61.8798,2.17772
-60.291,1,0.0618826,1,1,0,60.6927,2.12274
-61.6128,0.678166,0.102219,1,1,0,61.7482,2.27182
-61.7301,0.986032,0.0793323,2,7,0,61.7366,1.58436
-59.4004,1,0.125815,2,3,0,60.4128,1.8282
-59.4004,3.33915e-020,0.204797,1,1,0,62.6443,1.8282
-59.4649,0.996648,0.0338191,1,3,0,59.4944,1.80666
-59.5845,0.99245,0.0547322,2,5,0,59.6108,2.00148
-59.3385,0.99048,0.0872083,1,3,0,59.6104,1.86684
-59.3385,0.168823,0.137537,1,1,0,60.1319,1.86684
-59.5152,0.989456,0.0346219,3,15,0,59.7581,1.98351
-59.5227,0.999254,0.0544666,1,1,0,59.5385,1.9856
-59.6547,0.967659,0.0870715,1,1,0,59.6795,2.01752
-59.5244,0.954396,0.129171,2,3,0,59.6988,1.98606
-59.5244,0.08453,0.185306,1,1,0,60.6235,1.98606
-59.3318,0.998423,0.0403599,2,5,0,59.5997,1.88492
-59.3373,0.998923,0.0637906,1,3,0,59.3419,1.90138
-59.6111,0.890278,0.100401,2,3,0,59.8147,1.77319
-59.3345,1,0.124784,1,1,0,59.4514,1.89632
-59.3345,0.112519,0.195097,1,1,0,59.5368,1.89632
-59.3328,0.997793,0.0469517,3,7,0,59.3964,1.89166
-59.8337,0.894087,0.0730849,1,3,0,60.0757,2.05247
-60.4738,0.95011,0.0912424,2,3,0,60.5131,2.14672
-59.7853,1,0.1276,1,1,0,60.3743,2.04366
-59.7853,0.015875,0.197037,1,1,0,59.8331,2.04366
-59.517,0.99709,0.0403516,2,7,0,59.9021,1.98402
-59.5858,0.991282,0.0620171,1,1,0,59.5923,2.00181
-60.0328,0.956037,0.0937787,2,3,0,60.0637,1.71256
-59.382,1,0.131513,1,1,0,59.6897,1.83624
-59.382,3.30166e-005,0.200748,1,1,0,61.0189,1.83624
-59.3584,0.987708,0.0414074,3,7,0,59.835,1.84931
-59.4048,0.972236,0.0617618,1,3,0,59.6409,1.94619
-59.5789,0.954486,0.0889902,1,1,0,59.5805,2.00011
-60.872,0.715429,0.123374,1,3,0,60.8952,1.63793
-59.6685,1,0.106736,1,1,0,60.4307,1.76278
-59.4846,1,0.161045,1,1,0,59.5012,1.97461
-59.3762,0.333333,0.242037,2,3,0,59.3869,1.83907
-59.6837,0.922008,0.0999483,2,3,0,59.8111,2.02368
-59.4641,0.993412,0.12907,2,3,0,59.5932,1.8069
-59.4641,0.00575771,0.190632,1,1,0,60.5113,1.8069
-60.1164,0.970647,0.0427096,2,7,0,60.2704,2.09805
-60.5665,0.952281,0.0604915,1,1,0,60.5685,2.1583
-60.0958,1,0.082493,1,1,0,60.5376,2.095
-59.3546,1,0.122715,1,1,0,59.735,1.91876
-59.3362,1,0.181903,1,1,0,59.3485,1.89961
-59.3362,9.90025e-015,0.268708,1,1,0,63.1888,1.89961
-59.4152,0.980145,0.061796,1,3,0,59.548,1.82255
