# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:34:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\ljwnnulj.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation2\exponential_priors_delta_only-20240422173415.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
55.1794,1,0.0625,1,1,0,-34.4005,1.27629
55.1794,0,14.3855,0,1,1,-55.1728,1.27629
55.1794,0,2.43117,0,1,1,-54.3315,1.27629
55.1794,6.01728e-063,0.239791,1,1,0,-55.1641,1.27629
55.8094,1,0.0186273,1,1,0,-55.1398,1.28636
56.6708,1,0.0257257,1,1,0,-55.6835,1.30078
58.7308,1,0.0404064,1,1,0,-56.5925,1.33896
64.6923,1,0.0687243,1,1,0,-60.4493,1.50702
65.629,1,0.122801,1,3,0,-65.3365,1.98983
65.629,1.79815e-041,0.226075,2,3,0,-65.6077,1.98983
65.6802,1,0.0179176,1,1,0,-65.6247,1.98563
65.8806,0.974433,0.0339435,2,3,0,-64.8292,1.96859
65.9661,1,0.0598076,2,3,0,-65.7092,1.96101
65.9661,0.0199873,0.114527,1,1,0,-61.5273,1.96101
67.0694,0.999741,0.0103113,3,9,0,-65.7786,1.82179
66.8749,0.9933,0.0199949,2,5,0,-66.4971,1.8581
65.7032,0.924655,0.0378374,3,7,0,-64.016,1.98372
66.1822,1,0.0577018,1,1,0,-65.7269,1.94082
67.1568,0.988499,0.110098,1,3,0,-66.7848,1.70829
67.1568,0.000193654,0.201183,1,1,0,-66.3123,1.70829
67.1991,0.999909,0.0191397,2,5,0,-67.1448,1.72503
66.9085,0.978129,0.0364199,2,5,0,-66.6712,1.85267
66.5583,0.828687,0.0643777,1,3,0,-65.3865,1.61982
65.2007,0.650279,0.0730455,1,1,0,-65.1395,1.53059
65.8921,1,0.0494824,1,1,0,-65.2701,1.56918
65.5931,0.963695,0.091687,2,3,0,-65.5259,1.99274
65.5931,1.50829e-011,0.151728,1,1,0,-64.4789,1.99274
66.2318,0.998656,0.0166211,4,15,0,-65.0532,1.93594
66.7005,1,0.0305083,2,3,0,-66.2444,1.88308
67.1756,1,0.0556424,2,3,0,-66.7216,1.79089
66.6444,0.767961,0.100476,1,1,0,-66.6205,1.89027
67.1979,1,0.0956714,1,1,0,-66.8911,1.7807
67.1979,0.630893,0.170331,1,1,0,-67.1891,1.7807
67.2046,0.985591,0.11205,2,3,0,-67.1882,1.7769
67.2046,1.31393e-005,0.189978,1,1,0,-65.7602,1.7769
66.7392,0.98239,0.0239255,2,5,0,-66.3495,1.8779
66.8115,1,0.0403745,3,7,0,-66.7345,1.86772
67.0337,1,0.0707211,2,3,0,-66.8528,1.82959
67.2187,1,0.122796,1,1,0,-67.1689,1.7389
67.2187,0.00861703,0.211403,1,1,0,-66.9415,1.7389
67.2054,0.993526,0.0293911,2,7,0,-66.9711,1.77641
66.9246,0.943083,0.0498963,3,7,0,-66.3984,1.66173
67.1051,1,0.0741072,2,3,0,-66.9659,1.69427
67.1051,0.580236,0.125965,1,1,0,-66.7546,1.69427
67.214,1,0.0757522,2,3,0,-67.1121,1.77024
66.2051,0.448742,0.127733,1,1,0,-66.0543,1.93859
67.0998,0.863459,0.0562411,3,7,0,-64.4622,1.81444
66.0517,0.732189,0.0679085,1,3,0,-65.2649,1.57968
66.7974,1,0.0597585,2,3,0,-66.205,1.64502
67.2237,1,0.0994354,1,1,0,-67.0228,1.75797
67.2237,0.00173337,0.164306,1,1,0,-66.1161,1.75797
67.1925,0.996917,0.0260435,2,5,0,-67.0645,1.78349
67.1129,0.962946,0.0428064,1,3,0,-66.588,1.69616
67.223,1,0.0646174,2,3,0,-67.1306,1.7597
67.1467,0.957325,0.10563,1,1,0,-67.1436,1.80115
67.1467,0.000477258,0.155657,1,1,0,-64.9302,1.80115
67.2216,0.999437,0.0260643,2,5,0,-67.1043,1.762
67.1865,0.995313,0.0423826,1,3,0,-67.1579,1.78631
67.2113,0.994771,0.0678676,1,3,0,-67.1429,1.73245
66.98,0.864462,0.107913,1,1,0,-66.9563,1.67021
66.98,0.117929,0.12787,1,1,0,-65.9344,1.67021
66.1046,0.981801,0.0292576,3,7,0,-66.0463,1.58334
65.7942,0.963,0.0450532,1,1,0,-65.7513,1.5631
66.0632,1,0.0662549,1,1,0,-65.6311,1.58046
67.2179,1,0.105069,1,1,0,-66.7237,1.73805
67.2225,1,0.16573,1,1,0,-67.2172,1.74392
66.789,0.199491,0.260053,1,1,0,-65.5471,1.64402
66.9167,1,0.0740229,1,1,0,-66.757,1.66059
66.9167,0.307948,0.116064,1,1,0,-66.0561,1.66059
67.1653,0.923718,0.0422482,2,5,0,-65.6589,1.79483
67.0069,0.980515,0.0563563,2,3,0,-66.942,1.83502
67.0069,0.461106,0.0843344,1,3,0,-64.1125,1.83502
67.2247,0.979901,0.0428864,1,3,0,-66.6684,1.75425
67.2183,0.99827,0.0639015,1,3,0,-67.2143,1.73839
67.0552,0.91879,0.0984458,1,1,0,-67.0506,1.68356
66.922,0.885466,0.128403,1,1,0,-66.7203,1.66136
66.922,4.49587e-007,0.156099,1,1,0,-64.7155,1.66136
67.0563,0.977122,0.0317393,2,7,0,-66.117,1.82475
66.9718,0.980584,0.0466017,2,5,0,-66.7355,1.66889
67.1587,0.969372,0.06863,1,3,0,-66.7532,1.79715
67.196,0.782198,0.0984596,2,3,0,-66.7667,1.72342
67.2107,1,0.0971968,1,1,0,-67.1963,1.73203
66.6334,0.535183,0.147321,1,1,0,-66.4979,1.89165
67.1408,1,0.0894572,1,1,0,-66.8223,1.80298
67.1408,0.0821083,0.135087,1,1,0,-66.0048,1.80298
67.1997,0.999464,0.0342112,2,5,0,-67.1134,1.72532
67.0369,0.943613,0.0516303,1,3,0,-66.6272,1.82894
65.4016,0.734843,0.0697123,1,3,0,-65.3076,2.00787
64.7955,0.967478,0.0629374,2,3,0,-64.6223,2.05205
67.0445,1,0.088597,2,3,0,-65.6222,1.82732
67.0445,0.606842,0.13224,1,1,0,-66.9761,1.82732
67.1572,0.943101,0.093583,2,3,0,-66.8917,1.7084
67.207,1,0.125015,1,1,0,-67.1706,1.72952
67.207,6.31228e-005,0.185298,1,1,0,-66.4253,1.72952
67.1999,0.994042,0.0424217,3,7,0,-67.0659,1.77962
67.1819,0.996438,0.0622543,1,1,0,-67.1805,1.78832
67.1218,0.922687,0.0914583,2,3,0,-66.9456,1.69837
67.1218,0.338083,0.116916,1,1,0,-66.4969,1.69837
66.5609,0.804216,0.0510691,1,3,0,-64.9568,1.90045
66.8256,0.9993,0.0525981,3,7,0,-66.5932,1.86563
66.6271,0.950326,2.47078,1,3,0,-66.6265,1.62648
66.6271,0,32.474,0,1,1,-66.42,1.62648
66.6271,1.13359e-022,5.34319,1,3,1,-66.595,1.62648
66.6037,0.999035,0.519018,1,1,0,-66.5893,1.62417
66.5408,0.995367,0.69341,1,1,0,-66.5188,1.61819
65.9585,0.96748,1.0628,2,3,0,-65.9473,1.57346
67.1265,1,1.6304,2,3,0,-66.419,1.69958
67.1265,0.000774544,2.90451,1,1,0,-65.6585,1.69958
67.0974,0.999605,0.230818,2,7,0,-67.0505,1.6925
67.1963,0.992546,0.423843,3,9,0,-66.5274,1.78158
67.2012,0.997801,0.774799,3,7,0,-67.1163,1.77888
67.2012,0.39436,1.45291,1,3,0,-63.6102,1.77888
67.1427,0.990029,0.40847,4,15,0,-66.1469,1.70402
67.2021,0.997128,0.754717,2,5,0,-67.0668,1.77836
67.1957,0.998239,1.42247,1,1,0,-67.1907,1.78186
67.1957,0.852045,2.67678,1,1,0,-67.1012,1.78186
67.2217,1,3.19041,1,1,0,-67.2209,1.74271
67.2217,4.90803e-034,5.96631,1,1,0,-65.8626,1.74271
