# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:35:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\0r2054gr.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation3\exponential_priors_delta_only-20240422173537.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-125.397,1,0.125,2,7,0,155.6,3.06832
-125.397,0,14.3855,0,1,1,125.847,3.06832
-125.397,0,2.43117,0,1,1,125.613,3.06832
-125.397,0.0944234,0.239791,1,1,0,125.416,3.06832
-124.206,0.999686,0.0243957,3,7,0,125.573,2.86528
-123.708,0.997537,0.0340582,1,3,0,124.467,2.76938
-123.602,1,0.0534954,1,1,0,123.727,2.74751
-123.116,1,0.0914109,1,1,0,123.55,2.63734
-122.835,1,0.163789,1,1,0,123.228,2.56163
-122.835,9.88278e-012,0.301954,1,1,0,122.948,2.56163
-122.438,0.999527,0.0239411,3,9,0,123.002,2.40882
-122.716,0.98629,0.0452718,4,15,0,123.133,2.52431
-122.727,0.923831,0.0827309,2,3,0,123.782,2.52799
-122.326,0.988995,0.12459,1,3,0,122.667,2.27364
-122.382,0.941887,0.230075,1,1,0,122.395,2.37209
-122.382,3.41553e-145,0.365699,1,1,0,124.154,2.37209
-122.891,0.985757,0.0319187,2,5,0,123.449,2.57786
-122.573,0.994935,0.058736,2,5,0,123.076,2.11861
-125.052,0.583014,0.110349,1,3,0,125.062,1.79832
-125.244,0.99311,0.0595925,2,3,0,125.437,1.78437
-122.622,1,0.110541,1,3,0,124.422,2.10391
-122.622,0.0496936,0.207337,1,1,0,123.481,2.10391
-122.421,0.993119,0.0237499,2,7,0,123.592,2.17925
-122.432,0.999546,0.0438297,1,1,0,122.432,2.17383
-123.012,0.94305,0.0815902,2,3,0,123.129,2.01835
-122.386,0.984327,0.127931,1,3,0,122.962,2.37509
-122.386,0.116438,0.223811,1,1,0,123.38,2.37509
-122.529,0.996635,0.0338902,4,15,0,122.797,2.45399
-122.334,0.972507,0.0614857,2,5,0,123.264,2.25128
-122.362,0.993206,0.103332,2,3,0,122.391,2.21868
-122.362,0.385428,0.182209,1,1,0,122.829,2.21868
-122.468,0.98879,0.061086,2,7,0,122.614,2.42523
-122.492,0.998287,0.10591,2,3,0,122.517,2.43737
-122.492,0.39886,0.186658,1,1,0,122.809,2.43737
-122.326,0.98326,0.0665566,2,5,0,122.833,2.27794
-122.435,0.982048,0.11214,2,3,0,122.456,2.40722
-122.435,0.0781104,0.186785,1,1,0,124.741,2.40722
-122.413,1,0.0297362,4,15,0,122.435,2.394
-123.555,0.957704,0.0519772,2,5,0,123.805,2.73757
-123.637,0.995818,0.0808645,3,7,0,123.693,1.92894
-124.271,0.714809,0.137602,1,1,0,124.91,1.86274
-122.915,1,0.114696,1,1,0,123.869,2.03625
-123.145,0.933086,0.195119,1,3,0,123.187,2.64462
-123.145,1.23688e-015,0.27908,1,1,0,123.489,2.64462
-122.712,0.993021,0.0401153,1,3,0,123.589,2.52318
-122.794,0.993663,0.066801,1,1,0,122.802,2.54921
-122.859,0.934058,0.110598,2,3,0,123.614,2.56849
-122.387,0.97619,0.157521,2,3,0,122.66,2.37556
-122.409,0.973717,0.246875,1,1,0,122.499,2.39142
-122.409,2.61727e-007,0.382267,1,1,0,122.421,2.39142
-122.858,0.965772,0.0592827,2,5,0,123.278,2.04747
-122.759,0.997614,0.0904088,3,7,0,122.903,2.53847
-122.743,0.99817,0.147637,2,3,0,122.77,2.07265
-122.959,0.735392,0.239839,1,1,0,123.708,2.02791
-122.959,0.312551,0.21175,1,1,0,123.074,2.02791
-122.326,1,0.0713372,2,5,0,122.92,2.29615
-122.336,0.997776,0.115791,1,3,0,122.336,2.32282
-123.831,0.296967,0.185865,1,1,0,123.989,1.90689
-124.123,0.989745,0.0617176,2,3,0,124.18,1.87675
-123.142,1,0.0970976,2,3,0,123.919,1.99657
-122.326,1,0.1554,1,1,0,122.703,2.29602
-122.513,0.777466,0.247298,1,1,0,122.606,2.13913
-122.513,0.404689,0.240545,1,1,0,122.546,2.13913
-122.737,0.851113,0.104042,2,7,0,123.47,2.53133
-122.608,0.934731,0.119272,2,3,0,123.41,2.48619
-122.608,0.466682,0.163386,1,1,0,123.684,2.48619
-122.392,0.99997,0.0819847,2,3,0,122.616,2.3796
-122.339,1,0.128803,2,3,0,122.386,2.24467
-122.329,1,0.201345,1,1,0,122.336,2.26341
-122.329,7.0675e-022,0.313185,1,1,0,123.804,2.26341
-122.325,0.999738,0.0598638,2,5,0,122.335,2.28249
-122.746,0.91851,0.0932088,1,3,0,122.942,2.07206
-122.746,0.61063,0.122085,1,1,0,123.6,2.07206
-122.399,0.926439,0.0845887,1,3,0,123.549,2.38471
-122.347,1,0.112325,1,1,0,122.386,2.33791
-123.29,0.532393,0.172755,1,1,0,123.311,1.97423
-122.74,1,0.102501,1,1,0,123.17,2.07331
-123.228,0.740781,0.157004,2,3,0,123.472,1.98321
-122.326,0.928001,0.142313,2,3,0,123.278,2.27585
-122.326,0.936793,0.187655,1,1,0,122.356,2.27585
-122.326,0.0109431,0.251104,1,1,0,123.38,2.27585
-122.381,0.996792,0.0536713,2,5,0,122.415,2.37118
-122.379,0.996454,0.0810671,2,5,0,122.432,2.20542
-122.452,0.991938,0.121875,2,3,0,122.461,2.16395
-122.888,0.586706,0.180906,2,3,0,123.073,2.04154
-124.792,0.467715,0.121834,1,1,0,124.893,1.81817
-125.226,0.981828,0.065432,2,3,0,125.376,1.78568
-123.474,1,0.0949824,2,3,0,124.817,1.94908
-123.474,0.735253,0.142264,1,1,0,124.324,1.94908
-122.54,0.951841,0.128174,1,3,0,123.584,2.45886
-122.385,1,0.17432,1,1,0,122.495,2.37409
-122.385,0.0196185,0.258934,1,1,0,122.575,2.37409
-122.768,0.893728,0.0606362,1,3,0,124.789,2.06685
-123.373,0.957642,0.0738892,2,5,0,123.432,2.69796
-122.495,0.981773,0.101252,1,3,0,123.286,2.43886
-122.389,1,0.144704,1,1,0,122.472,2.37723
-122.357,1,0.213227,1,1,0,122.4,2.34929
-122.357,0.119753,0.313156,1,1,0,122.724,2.34929
-125.516,0.783538,0.0912928,2,3,0,125.647,1.76572
-123.726,1,0.0903258,2,3,0,125.134,1.9186
-123.726,2.17898e-016,4.23902,1,3,0,124.073,1.9186
-123.726,1.22969e-218,9.89839,1,2,1,123.905,1.9186
-122.437,0.877382,0.975975,1,3,0,124.52,2.40844
-122.433,1,0.733159,1,1,0,122.447,2.40641
-122.335,0.979015,0.968516,2,3,0,122.626,2.25054
-122.384,0.978078,1.40123,1,1,0,122.387,2.20185
-122.384,0.0237061,2.20475,1,1,0,123.342,2.20185
-122.347,0.999952,0.187355,2,7,0,122.396,2.23338
-122.345,0.997187,0.333303,3,11,0,122.538,2.33601
-122.886,0.965173,0.606871,2,5,0,123.067,2.04175
-122.395,0.945254,1.01714,2,3,0,123.287,2.19406
-122.395,0.130011,1.61613,1,1,0,123.554,2.19406
-122.417,0.998812,0.197888,3,11,0,122.723,2.39669
-122.511,0.996517,0.377948,4,15,0,122.722,2.44608
-123.969,0.6982,0.715815,2,5,0,127.858,1.89219
-122.33,1,0.535789,3,7,0,123.882,2.26131
-122.723,0.931733,1.02188,2,3,0,122.884,2.07748
-122.661,1,1.57074,2,3,0,122.669,2.5058
-122.358,1,2.95414,1,1,0,122.514,2.35032
-122.358,0,5.50585,0,1,1,123.216,2.35032
-122.472,0.989087,0.515536,2,7,0,122.675,2.15533
-122.36,1,0.93552,2,7,0,122.456,2.3523
-122.494,0.959581,1.73652,1,3,0,122.494,2.14641
-122.494,0.110805,2.83744,1,1,0,123.146,2.14641
-122.331,0.978713,0.398478,4,15,0,123.641,2.25778
-122.325,0.999987,0.690984,2,5,0,122.331,2.28836
-124.413,0.558409,1.26108,1,3,0,124.448,1.8499
-123.571,1,0.659191,1,1,0,124.305,1.93689
-122.864,1,1.19176,1,1,0,123.432,2.04624
-122.571,1,2.13345,1,1,0,122.588,2.47193
-123.398,0.0139085,3.78244,1,3,0,125.931,1.95909
-123.179,1,0.456269,1,1,0,123.386,1.99067
-122.724,1,0.811546,2,3,0,123.1,2.07716
-122.656,1,1.42997,2,3,0,122.699,2.50394
-122.325,1,2.49666,1,1,0,122.383,2.28003
-122.325,1.00142e-009,4.32035,1,1,0,122.541,2.28003
-122.982,0.967388,0.545711,2,7,0,123.14,2.02365
-123.906,0.821527,0.870619,1,1,0,123.911,1.89875
-123.201,1,0.948017,1,1,0,123.81,1.98739
-122.436,1,1.62467,1,1,0,122.84,2.17171
-122.436,0.000209891,2.76152,1,1,0,123.466,2.17171
-122.869,0.988865,0.37824,2,5,0,122.957,2.04517
-122.415,1,0.626998,2,3,0,122.832,2.18252
-122.467,0.949099,1.06042,2,3,0,122.75,2.42465
-122.467,0.199318,1.57053,1,1,0,124.679,2.42465
-122.421,0.99983,0.371391,1,3,0,122.483,2.39896
-122.671,0.975878,0.622958,2,7,0,122.948,2.09059
-122.468,1,0.97923,2,3,0,122.627,2.157
-122.468,0.108002,1.62028,1,1,0,123.753,2.157
-124.761,0.922262,0.320665,3,9,0,128.117,2.96342
-123.162,0.996489,0.441958,2,7,0,124.825,2.64881
-122.671,0.96344,0.721571,2,3,0,123.858,2.50909
-122.872,0.956969,1.08379,1,1,0,122.911,2.57234
-123.355,0.806483,1.59505,1,1,0,123.604,2.69404
-123.158,0.896892,1.65323,2,3,0,123.386,1.99396
-122.377,1,2.10496,1,1,0,122.691,2.20628
-122.377,0.00019091,3.37556,1,1,0,122.598,2.20628
-122.325,0.994647,0.565331,1,3,0,122.488,2.28049
-122.407,0.983752,0.897619,1,3,0,122.444,2.18734
