# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:36:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\a06_q7y_.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation4\exponential_priors_delta_only-20240422173622.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-126.059,1,0.125,1,1,0,152.492,2.86521
-126.059,0,14.3855,0,1,1,126.124,2.86521
-126.059,0,2.43117,0,1,1,127.381,2.86521
-126.059,0.0546736,0.239791,1,1,0,126.061,2.86521
-126.074,0.999969,0.0217766,2,3,0,126.087,2.86751
-123.588,0.995466,0.0302776,3,11,0,126.643,2.08006
-123.563,0.996003,0.0471067,2,7,0,123.788,2.32885
-123.479,0.977657,0.0793312,3,7,0,123.895,2.27764
-124.734,0.750773,0.132325,1,3,0,124.755,2.63889
-125.457,0.874477,0.110929,1,1,0,125.575,2.76827
-124.635,1,0.139513,2,3,0,125.502,2.61966
-124.291,1,0.263682,1,1,0,125.576,2.54719
-124.291,0,0.500458,0,1,1,124.291,2.54719
-124.238,1,0.0412872,1,1,0,124.296,2.53524
-124.266,0.997826,0.0793846,3,7,0,124.293,1.93329
-124.266,0.203864,0.151069,1,1,0,125.8,1.93329
-123.432,0.999654,0.0248416,3,9,0,124.359,2.206
-123.653,0.989548,0.0477834,2,7,0,123.772,2.05758
-123.653,0.93189,0.0884602,1,1,0,123.931,2.05758
-123.432,1,0.136589,1,3,0,123.561,2.21011
-123.432,3.16193e-005,0.256866,1,1,0,124.133,2.21011
-123.442,0.999896,0.0248799,4,15,0,123.449,2.23857
-123.627,0.989511,0.0470279,2,5,0,123.837,2.06613
-123.872,0.955227,0.0853852,1,1,0,123.873,2.00181
-123.653,1,0.139095,1,1,0,123.867,2.05781
-123.701,0.923137,0.255468,1,1,0,124.106,2.04351
-123.961,0.181049,0.373597,1,3,1,124.675,2.46646
-123.481,1,0.0675338,3,7,0,123.912,2.13282
-123.435,0.998428,0.122959,1,3,0,123.477,2.22274
-123.435,0.96217,0.22069,1,1,0,123.439,2.22274
-123.435,1.92002e-010,0.35519,1,1,0,127.134,2.22274
-123.468,0.998897,0.0415728,2,5,0,123.486,2.14279
-123.486,0.997734,0.0743012,1,1,0,123.486,2.12994
-124.085,0.819214,0.131133,2,3,0,124.242,2.49865
-123.465,1,0.142871,1,1,0,123.832,2.26546
-123.44,1,0.25003,1,1,0,123.44,2.17383
-123.44,7.76587e-283,0.433687,1,1,0,126.109,2.17383
-123.733,0.931325,0.0560362,2,5,0,124.939,2.39766
-123.719,1,0.0817097,1,1,0,123.765,2.39261
-123.763,0.983155,0.141107,1,1,0,123.874,2.40776
-124.577,0.464598,0.231571,1,1,0,125.239,2.608
-124.653,0.987171,0.102581,1,1,0,124.849,2.62325
-123.493,0.881095,0.169156,1,3,0,123.952,2.12537
-123.493,0.245627,0.212958,1,1,0,123.787,2.12537
-123.797,0.991005,0.0560777,3,7,0,123.8,2.41862
-123.743,0.980177,0.0927033,2,3,0,124.117,2.40111
-123.443,0.727989,0.148209,2,3,0,124.316,2.16989
-123.455,0.907713,0.128324,2,3,0,123.715,2.15535
-124.327,0.704713,0.171005,1,3,0,124.327,2.55534
-124.327,0.766278,0.140204,1,1,0,125.119,2.55534
-123.724,1,0.133238,1,1,0,124.172,2.39434
-123.495,1,0.218973,1,1,0,123.509,2.12393
-123.495,0.00881352,0.3575,1,1,0,123.507,2.12393
-123.439,0.985987,0.0586797,1,3,0,123.775,2.23295
-123.561,0.929279,0.0929429,2,3,0,123.992,2.32772
-123.447,1,0.128574,1,1,0,123.521,2.24622
-123.447,0.238156,0.20793,1,1,0,124.076,2.24622
-124.157,0.860849,0.0600321,1,3,0,126.136,1.94983
-123.455,1,0.070979,2,3,0,124.073,2.15521
-123.435,0.953883,0.114151,2,3,0,123.69,2.22384
-125.248,0.386876,0.164807,1,1,0,125.249,2.73262
-125.196,1,0.0680407,1,1,0,125.364,2.72352
-123.502,0.991863,0.108493,2,3,0,125.218,2.29424
-123.434,1,0.169024,1,1,0,123.464,2.21898
-123.434,0.349303,0.266612,1,1,0,123.593,2.21898
-124.633,0.748782,0.103267,1,3,0,125.061,2.61929
-123.432,0.964834,0.0949558,1,3,0,125.07,2.20665
-123.432,0.756969,0.138331,1,3,0,123.938,2.20665
-123.432,0.455596,0.129299,1,3,0,125.044,2.20665
-123.434,0.999637,0.0641646,1,3,0,123.437,2.22014
-123.432,0.994371,0.100096,2,3,0,123.472,2.20528
-123.448,0.991358,0.1537,1,1,0,123.448,2.24736
-123.526,0.914411,0.23346,1,1,0,123.588,2.30926
-123.526,5.14876e-007,0.30131,1,1,0,123.701,2.30926
-123.433,0.988886,0.0596012,2,5,0,123.788,2.19458
-124.116,0.875678,0.0899042,1,3,0,124.392,1.95654
-123.592,1,0.107342,1,1,0,123.963,2.0785
-123.714,0.920117,0.164382,1,1,0,123.838,2.03982
-123.714,0.0653245,0.213511,1,1,0,124.201,2.03982
-123.503,0.987739,0.0501593,2,5,0,124.149,2.29528
-123.456,0.999567,0.0747504,3,7,0,123.518,2.15343
-123.864,0.883427,0.113583,1,3,0,124.061,2.43922
-124.474,0.818199,0.136754,1,1,0,124.561,2.58677
-123.92,1,0.14463,1,1,0,124.415,2.45518
-123.973,0.936482,0.217909,1,1,0,123.986,1.98165
-123.557,1,0.289105,1,1,0,123.958,2.09248
-123.557,3.70112e-024,0.43248,1,1,0,125.24,2.09248
-123.541,1,0.0941943,2,7,0,123.553,2.3178
-123.824,0.895043,0.141089,1,1,0,123.851,2.42714
-123.645,1,0.172375,1,1,0,123.864,2.36524
-123.645,7.65301e-007,0.256526,1,1,0,124.055,2.36524
-123.91,0.968554,0.0575248,2,5,0,124.578,1.99399
-123.434,1,0.0807858,2,3,0,123.844,2.18995
-123.452,0.994395,0.119969,1,3,0,123.459,2.25221
-123.452,0.00786625,0.17569,1,1,0,125.019,2.25221
-123.452,0.997861,0.0410731,2,7,0,123.567,2.1583
-124.117,0.848989,0.0606063,3,7,0,127.183,1.95634
-124.056,0.836373,0.0677636,2,3,0,126.41,1.9667
-124.475,0.938247,0.0739589,1,1,0,124.482,1.90474
-124.416,1,0.0971422,2,3,0,124.692,1.91236
-124.416,2.65343e-009,4.55756,1,2,1,124.531,1.91236
-124.416,8.17242e-034,10.6422,1,1,0,124.885,1.91236
-124.416,0.653026,1.04931,1,1,0,125.905,1.91236
-124.152,1,0.433537,2,3,0,124.434,1.95075
-123.432,0.992556,0.548508,2,7,0,124.595,2.21055
-123.434,0.999187,0.803544,1,3,0,123.444,2.18719
-123.436,0.949574,1.32606,2,3,0,123.719,2.22724
-123.943,0.724795,1.99195,1,1,0,123.952,1.98754
-123.943,0.256528,1.52585,1,1,0,125.672,1.98754
-124.505,0.990267,0.269792,3,11,0,125.745,2.59337
-123.439,0.996229,0.488926,2,5,0,124.863,2.17602
-123.799,0.907934,0.913407,1,3,0,124.434,2.4193
-123.456,0.991384,1.29836,2,3,0,123.865,2.2569
-123.456,0.00429943,2.40336,1,1,0,124.502,2.2569
-123.432,0.99962,0.204332,3,13,0,123.609,2.21339
-123.907,0.98114,0.392423,2,7,0,124.862,1.99468
-123.44,0.960352,0.708134,1,3,0,124.593,2.17402
-123.902,0.930305,1.19176,2,3,0,124.056,1.99557
-123.512,1,1.81955,1,1,0,123.741,2.11388
-123.512,5.66566e-005,3.40643,1,1,0,124.666,2.11388
-123.442,0.999926,0.320465,3,15,0,123.533,2.17111
-123.443,0.999706,0.603229,2,5,0,123.456,2.23913
-123.94,0.906765,1.1236,1,3,0,124.128,2.46075
-123.71,1,1.58149,1,1,0,123.93,2.38964
-123.432,1,2.89623,1,1,0,123.494,2.20898
-123.432,1.40386e-023,5.25076,1,1,0,123.8,2.20898
