# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:36:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\i3yir1ic.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation5\exponential_priors_delta_only-20240422173659.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-136.122,1,0.125,1,1,0,162.558,2.43592
-136.122,0,14.3855,0,1,1,137.121,2.43592
-136.122,3.06613e-031,2.43117,1,2,1,137.285,2.43592
-136.122,1.29588e-008,0.239791,1,1,0,138.765,2.43592
-136.16,0.999858,0.0186273,3,9,0,136.171,2.40411
-136.6,0.992622,0.0257149,3,15,0,137.382,2.23238
-136.122,0.999535,0.0394867,3,7,0,136.666,2.43685
-136.78,0.91764,0.0670372,1,3,0,137.557,2.19045
-136.092,0.998647,0.092447,3,7,0,136.84,2.47658
-136.084,1,0.169236,1,1,0,136.09,2.49821
-136.084,0.0339466,0.316742,1,1,0,136.375,2.49821
-136.224,0.998096,0.0282835,3,15,0,136.35,2.36456
-136.367,0.971415,0.0537198,2,5,0,137.272,2.78642
-136.302,1,0.094096,1,1,0,136.369,2.75326
-136.546,0.901418,0.180106,1,1,0,136.635,2.86514
-136.546,0.270615,0.252928,1,1,0,136.639,2.86514
-136.504,1,0.0508919,1,1,0,136.546,2.84816
-136.111,0.99707,0.0974766,3,7,0,136.531,2.44826
-136.115,0.993139,0.183599,2,3,0,136.133,2.44366
-136.115,0.378541,0.338809,1,1,0,136.13,2.44366
-136.713,0.820057,0.0991581,1,3,0,137.717,2.92833
-136.377,1,0.109353,1,1,0,136.662,2.79164
-136.316,1,0.204191,1,1,0,136.488,2.76081
-137.011,0.0495649,0.377466,2,3,0,138.271,2.14532
-136.624,0.997592,0.0446514,1,3,0,137.155,2.22645
-136.084,1,0.0822405,2,5,0,136.599,2.55539
-136.084,0.593722,0.150977,1,3,0,137.86,2.55539
-136.143,0.983896,0.0876507,1,3,0,136.271,2.41745
-136.143,0.448515,0.152251,2,3,0,138.249,2.41745
-136.186,0.989615,0.0597393,2,7,0,136.46,2.67971
-136.994,0.920415,0.104788,2,3,0,137.083,3.02133
-136.163,0.923924,0.150905,2,3,0,137.574,2.66154
-136.163,0.246614,0.218069,1,1,0,137.321,2.66154
-136.115,0.994822,0.0512777,2,7,0,136.429,2.44393
-136.127,0.999429,0.0896546,3,7,0,136.134,2.62697
-136.383,0.914065,0.157245,1,1,0,136.385,2.79426
-136.383,2.81223e-006,0.218768,1,1,0,138.736,2.79426
-136.526,0.999057,0.0284178,3,7,0,136.546,2.85696
-136.232,0.994,0.0495698,2,7,0,136.992,2.36038
-136.295,0.991857,0.0846251,1,1,0,136.298,2.33065
-136.295,0.845803,0.142516,1,1,0,136.607,2.33065
-136.222,0.999183,0.165017,2,3,0,136.386,2.70531
-136.222,0.0431663,0.279406,1,1,0,136.375,2.70531
-136.087,0.999919,0.0440726,3,7,0,136.236,2.56516
-136.297,0.953418,0.0748805,2,5,0,136.88,2.32966
-136.276,0.900172,0.112711,2,7,0,136.955,2.73827
-137.087,0.818882,0.148248,1,3,0,137.378,2.13196
-136.236,1,0.159726,2,3,0,136.737,2.35826
-136.399,0.811376,0.264957,1,1,0,136.705,2.29146
-136.399,0.00506932,0.278972,1,1,0,137.14,2.29146
