# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:37:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\8q2g2rll.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation6\exponential_priors_delta_only-20240422173736.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
2.56836,1,0.0625,1,1,0,19.6066,1.33129
2.56836,0,14.3855,0,1,1,-2.52563,1.33129
2.56836,0,2.43117,0,1,1,-2.49821,1.33129
2.56836,2.33081e-037,0.239791,1,2,1,-2.1735,1.33129
9.75393,0.995478,0.0186273,3,7,0,-1.7078,1.54923
10.0129,0.998109,0.0253813,2,3,0,-9.59348,1.56341
9.39692,0.949233,0.0396208,2,3,0,-8.80502,1.53133
7.25567,0.663818,0.0575194,1,1,0,-7.20242,1.44836
10.1057,1,0.0356714,2,3,0,-7.36513,1.56878
9.98591,0.990844,0.0652791,2,3,0,-9.63771,1.56188
8.92751,0.490579,0.118533,1,3,0,-8.43094,2.16478
8.96384,1,0.0448291,2,3,0,-8.72698,2.16212
11.4994,1,0.0855387,1,3,0,-9.67077,1.90968
11.4994,2.32261e-015,0.163542,1,1,0,-9.22624,1.90968
11.4898,0.999924,0.0138075,1,1,0,-11.4898,1.91137
11.2765,0.994654,0.0267406,3,7,0,-11.0688,1.94471
11.5288,0.99555,0.0507117,2,3,0,-11.1647,1.90438
11.8056,1,0.095823,1,1,0,-11.6348,1.83009
11.8056,2.70091e-006,0.182118,1,1,0,-11.0567,1.83009
11.3531,0.987766,0.0169777,2,7,0,-10.3186,1.93351
11.3512,0.999921,0.0313165,1,1,0,-11.332,1.93381
11.814,0.946918,0.0593478,2,3,0,-10.7129,1.82546
11.8352,0.996299,0.0953395,2,3,0,-11.7984,1.7802
11.8352,0.149132,0.175492,1,1,0,-11.6029,1.7802
11.8397,0.999747,0.0278398,2,7,0,-11.8202,1.80012
10.5856,0.786595,0.0518014,2,5,0,-9.04059,2.02562
11.7167,1,0.0521594,2,3,0,-10.6995,1.86254
10.0017,0.628045,0.0956493,2,3,0,-9.46834,2.07992
10.3495,1,0.0616255,1,1,0,-9.92846,2.04858
10.3348,0.993221,0.111734,1,1,0,-9.59465,2.04996
10.2211,0.203429,0.196906,2,3,0,-9.50603,1.57571
10.1215,0.826949,0.0402418,2,7,0,-5.94278,2.06941
11.1249,1,0.0452711,2,3,0,-10.0893,1.96505
11.6228,1,0.0807074,1,1,0,-11.2521,1.88562
11.6228,0.0490829,0.14254,1,1,0,-11.1259,1.88562
11.8397,0.999622,0.0204701,3,9,0,-11.55,1.78807
11.7916,0.990171,0.0361761,2,5,0,-11.5689,1.83676
11.2316,0.856144,0.061828,1,3,0,-10.5043,1.6553
10.6769,0.85432,0.0742673,1,1,0,-10.5976,1.60637
11.2387,1,0.0885355,2,3,0,-10.8397,1.94998
11.2387,0.562097,0.152154,1,1,0,-11.2214,1.94998
9.79475,0.661248,0.0863668,1,1,0,-9.76466,2.09748
10.6597,1,0.0632845,1,1,0,-9.90586,2.01805
11.258,0.571182,0.107692,2,3,0,-9.60962,1.65816
11.4216,1,0.0634101,1,1,0,-11.2483,1.67783
11.4571,1,0.107057,2,3,0,-11.4303,1.91698
11.4571,0.048878,0.179395,1,1,0,-10.0189,1.91698
11.1052,0.983031,0.0302836,1,3,0,-10.9109,1.96755
10.8737,0.978645,0.0487914,1,1,0,-10.8626,1.99503
9.44028,0.908844,0.077281,2,3,0,-9.41473,2.12605
11.2426,1,0.103182,1,1,0,-10.011,1.94945
10.6147,0.136516,0.169864,1,3,0,-10.3486,1.60181
11.5803,0.997614,0.0372719,2,7,0,-10.4044,1.89447
11.8401,0.984996,0.0610111,1,3,0,-11.416,1.78932
10.8887,0.758707,0.096392,1,3,0,-10.8859,1.62303
11.793,1,0.0903314,1,1,0,-11.2456,1.75362
11.3157,0.609473,0.146406,1,1,0,-11.0782,1.6647
11.3157,0.564574,0.0978126,1,1,0,-10.4948,1.6647
11.8192,1,0.0593792,3,7,0,-11.3988,1.7668
11.7819,0.972816,0.0955985,2,3,0,-11.7193,1.74926
11.4613,0.745596,0.14408,1,1,0,-11.4443,1.91628
10.0793,0.33437,0.131066,1,1,0,-10.0533,1.56724
10.3601,1,0.0485491,1,1,0,-10.0236,1.58445
11.4805,1,0.0773445,1,1,0,-10.6904,1.68593
11.7919,1,0.122546,1,1,0,-11.6241,1.75317
11.7919,0.000254356,0.193131,1,1,0,-11.1366,1.75317
10.9807,0.967042,0.0357187,3,7,0,-10.5181,1.63093
10.7396,0.965978,0.0525634,1,1,0,-10.6888,1.6111
10.1544,0.943942,0.0768404,2,3,0,-9.91846,1.57167
11.2415,1,0.106788,1,1,0,-10.3869,1.65636
10.9137,0.288308,0.16626,1,3,0,-10.855,1.9905
10.2531,0.917151,0.0586002,1,1,0,-10.2489,2.05753
10.7286,1,0.076726,1,1,0,-10.2009,2.01085
11.7001,1,0.118792,1,1,0,-11.1595,1.8671
11.7001,0.877583,0.183073,1,1,0,-11.4527,1.8671
11.6733,0.310157,0.218857,2,3,0,-11.5525,1.71932
11.7406,1,0.0826535,1,1,0,-11.6727,1.73588
11.7406,0.295604,0.12674,1,1,0,-11.0839,1.73588
10.0342,0.870754,0.0470586,3,7,0,-9.00045,1.56463
10.6393,1,0.0556493,1,1,0,-10.0845,1.6036
10.6393,0.227712,0.0849348,1,1,0,-8.21592,1.6036
9.92765,0.963391,0.0280195,2,3,0,-9.51213,1.55861
9.61622,0.973189,0.0397519,1,1,0,-9.55925,1.54212
9.89734,1,0.0572925,1,1,0,-9.41854,1.55694
11.0774,1,0.0866969,1,1,0,-10.1675,1.63978
11.8399,1,0.130674,1,1,0,-11.5942,1.78885
11.8399,0.358806,0.196196,1,1,0,-11.761,1.78885
11.8107,0.991424,0.0855069,2,3,0,-11.7942,1.82732
10.8144,0.518195,0.126046,1,1,0,-10.7224,2.0016
11.4469,1,0.0751299,1,1,0,-10.9498,1.91869
8.00542,0.197114,0.112222,1,1,0,-7.85584,2.22885
8.61183,1,0.0366516,2,3,0,-8.02722,2.1874
8.60452,0.999755,0.054716,2,3,0,-8.24641,2.18792
10.698,1,0.0813547,1,1,0,-9.07832,2.01407
11.8176,1,0.120594,1,1,0,-11.3192,1.82322
11.3061,0.461482,0.178145,1,1,0,-11.0108,1.66359
11.5505,0.884298,0.0969159,2,3,0,-10.8242,1.90031
11.7776,1,0.115411,1,1,0,-11.6321,1.84255
11.771,0.567119,0.169649,1,3,0,-11.7647,1.74533
11.771,0.783386,0.112777,1,3,0,-11.502,1.74533
11.8201,1,0.891613,1,1,0,-11.7855,1.76737
11.8201,0,12.8263,1,2,1,-11.8056,1.76737
11.8201,0.000972529,2.16766,1,1,0,-11.3116,1.76737
11.7059,0.996104,0.214356,3,9,0,-11.46,1.86554
11.632,0.998652,0.286774,3,7,0,-11.5954,1.88359
11.1718,0.96776,0.446508,3,7,0,-10.6241,1.95898
11.8368,0.987689,0.688375,1,3,0,-11.0969,1.80603
11.8368,0.757253,1.1833,1,1,0,-11.6405,1.80603
11.8405,0.976009,1.01457,2,3,0,-11.7948,1.79143
11.8405,0.691379,1.75028,1,1,0,-11.7946,1.79143
11.8405,0.00206081,1.23866,1,1,0,-9.50461,1.79143
11.7582,0.998651,0.099841,3,15,0,-11.2519,1.84964
11.8326,0.999823,0.189178,2,7,0,-11.7307,1.81134
11.7068,0.984573,0.36004,1,3,0,-11.47,1.86529
11.8011,0.978552,0.651543,1,3,0,-11.4913,1.75718
11.8382,1,1.15178,1,1,0,-11.8202,1.78472
11.8382,4.55866e-005,2.16165,1,1,0,-11.1528,1.78472
11.712,0.995582,0.189792,2,7,0,-11.4397,1.72828
11.1008,0.954076,0.353718,2,7,0,-10.4529,1.642
10.8288,0.954005,0.576844,1,1,0,-10.7748,1.61812
11.7559,0.698149,0.933774,2,3,0,-9.73899,1.7404
9.93425,0.693413,0.704139,1,3,0,-9.77497,1.55898
10.7772,0.996697,0.526353,3,7,0,-9.69104,2.00565
11.7288,0.915597,0.95505,2,3,0,-10.4072,1.73263
11.7288,0.0197036,1.35826,1,1,0,-10.339,1.73263
10.9021,0.992284,0.148503,3,11,0,-10.3335,1.99182
11.7286,0.996039,0.265128,2,5,0,-10.5302,1.85908
11.7241,0.999855,0.473754,2,3,0,-11.7147,1.8604
11.3077,0.881173,0.847322,1,1,0,-11.3049,1.94023
11.4769,0.617923,1.08139,2,3,0,-10.4904,1.68542
11.6839,0.969062,0.668438,2,3,0,-11.1735,1.72165
