# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:38:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\lg0kekup.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation7\exponential_priors_delta_only-20240422173851.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-121.361,1,0.125,2,7,0,155.992,3.29967
-121.361,0,14.3855,0,1,1,121.679,3.29967
-121.361,0,2.43117,0,1,1,123.456,3.29967
-121.361,1.75583e-006,0.239791,1,1,0,121.836,3.29967
-121.177,0.999805,0.0186274,3,7,0,121.548,3.26865
-121.192,0.999899,0.0257109,1,1,0,121.216,3.27125
-120.943,1,0.04037,1,1,0,121.19,3.22873
-120.879,1,0.0686613,1,1,0,121.117,3.21778
-119.038,1,0.122687,1,1,0,120.554,2.86772
-117.808,1,0.225865,1,1,0,118.403,2.4961
-117.808,1.12179e-016,0.422898,1,1,0,117.815,2.4961
-117.869,0.998173,0.0339119,1,3,0,117.913,2.52867
-118.066,0.97775,0.0643906,2,3,0,118.27,2.6096
-119.627,0.888206,0.114957,2,3,0,119.769,1.9245
-119.222,1,0.155106,2,3,0,119.381,2.90725
-119.222,0.000164848,0.295911,2,3,0,119.272,2.90725
-118.3,0.99956,0.0258785,2,5,0,119.352,2.68458
-118.787,0.978544,0.0497488,1,3,0,118.983,2.81085
-118.974,0.979304,0.0890502,1,1,0,119.054,2.85346
-117.956,1,0.158555,1,1,0,118.628,2.5674
-117.956,2.32951e-011,0.29781,1,1,0,118.248,2.5674
-118.136,0.995867,0.0288073,2,5,0,118.43,2.63348
-118.162,0.998739,0.0537455,1,1,0,118.175,2.64219
-118.063,0.975242,0.100121,2,3,0,118.557,2.60855
-119.626,0.499498,0.17255,1,1,0,119.765,2.98899
-121.893,0.901571,0.0756999,2,5,0,121.968,1.75996
