# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:39:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\mtu458ey.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation8\exponential_priors_delta_only-20240422173937.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-80.5674,1,0.0625,1,1,0,98.4527,1.21072
-80.5674,0,14.3855,0,1,1,80.6123,1.21072
-80.5674,0,2.43117,0,1,1,80.6656,1.21072
-80.5674,3.61665e-038,0.239791,1,3,0,80.9789,1.21072
-76.5358,1,0.0186273,2,3,0,80.5974,1.26782
-73.1976,0.99371,0.0257257,2,3,0,77.2072,1.32456
-71.6435,1,0.0396356,1,1,0,73.4033,1.35502
-66.7323,1,0.0673918,3,7,0,70.76,2.71834
-61.4184,1,0.120397,1,1,0,64.8569,2.1953
-61.4184,8.02718e-006,0.221628,1,1,0,61.4492,2.1953
-60.6556,0.997684,0.0175652,3,15,0,62.1829,1.90061
-60.7075,0.997527,0.0330341,1,3,0,60.7331,1.88064
-60.5967,0.986294,0.0626011,1,3,0,60.8692,1.97337
-60.6587,0.812848,0.114812,2,3,0,61.0595,2.02152
-60.6004,0.739266,0.122472,2,3,0,61.141,1.93875
-60.6108,0.998621,0.10432,2,3,0,60.6126,1.99105
-60.6108,0.663673,0.198385,1,1,0,60.737,1.99105
-60.642,0.976836,0.134674,2,3,0,60.6531,1.90722
-60.6707,0.390422,0.237977,1,3,0,60.7094,2.02715
-60.6003,0.978131,0.0715878,3,7,0,60.8721,1.93885
-60.5974,1,0.1268,1,1,0,60.6012,1.94344
-60.89,0.591033,0.237561,1,1,0,61.1413,2.09581
-60.8401,0.946726,0.13288,2,3,0,61.003,2.0832
-61.3236,0.222225,0.211174,1,3,0,61.6332,1.76984
-61.2291,1,0.0412897,2,3,0,61.3277,1.78162
-61.3436,0.991376,0.0766249,2,3,0,61.4539,1.76746
-60.8713,0.796394,0.137356,2,3,0,61.2782,1.83886
-60.8713,0.490237,0.141014,1,3,0,61.4859,1.83886
-61.9358,0.903656,0.0616932,2,3,0,62.1671,1.70915
-61.1405,0.780213,0.085725,1,3,0,63.4968,2.14831
-60.8006,1,0.0844881,1,1,0,61.0691,2.07239
-62.0723,0.432176,0.151298,1,1,0,62.3544,2.28518
-61.595,1,0.0581342,1,1,0,62.0297,2.22174
-60.7447,1,0.103429,1,1,0,61.3229,2.0553
-60.7447,3.4898e-006,0.182306,1,1,0,61.9,2.0553
-60.5937,0.999455,0.0229663,3,9,0,60.8625,1.96485
-60.6001,0.993242,0.040533,3,7,0,60.8324,1.9391
-60.6739,0.976408,0.0697655,1,3,0,60.7925,2.02861
-61.3276,0.770802,0.114026,1,1,0,61.3355,2.1808
-61.2504,0.942882,0.10951,2,3,0,62.3327,2.16786
-61.2504,0.374247,0.162619,1,1,0,61.3985,2.16786
-61.0743,1,0.0575657,1,1,0,61.2387,2.13569
-61.5702,0.948206,0.0984268,2,3,0,61.5797,1.74274
-60.7896,1,0.146875,1,1,0,61.0005,2.06921
-60.7896,2.19601e-012,0.247448,1,1,0,61.0725,2.06921
-60.6745,0.997881,0.0360873,1,3,0,60.8721,2.02887
-60.6525,1,0.0606219,1,1,0,60.6734,2.01843
-60.6515,1,0.101606,1,1,0,60.6717,2.01793
-60.6515,0.0902198,0.169068,1,1,0,61.0441,2.01793
-60.6417,0.999994,0.0322548,3,9,0,60.6516,1.90739
-60.613,0.99992,0.0536993,2,3,0,60.6449,1.92569
-61.5157,0.758617,0.0887685,2,3,0,62.3688,1.74835
-62.4279,0.924062,0.0831477,2,3,0,62.5346,1.67171
-60.6081,0.908669,0.114236,2,3,0,62.2165,1.93002
-61.4847,0.531289,0.15086,1,1,0,61.5082,2.20547
-61.7193,0.95525,0.0839011,1,1,0,61.8452,2.23923
-61.7061,1,0.122918,2,3,0,61.8993,1.7295
-61.7061,0.011688,0.198223,1,1,0,61.7484,1.7295
-61.5964,1,0.034728,2,3,0,61.7111,1.74011
-60.6069,0.943856,0.0560922,1,3,0,62.4351,1.93123
-60.5939,0.999869,0.0795432,1,3,0,60.6059,1.95226
-60.5939,0.406762,0.127047,1,3,0,62.0772,1.95226
-60.6695,0.982383,0.0551441,1,3,0,60.8235,2.02663
-60.6488,0.748429,0.084487,2,3,0,62.7354,2.01653
-61.3644,0.88369,0.0776628,1,3,0,61.4965,2.18676
-61.831,0.888244,0.0955621,1,1,0,61.9532,2.25431
-61.1399,1,0.118446,2,3,0,61.7374,2.14819
-61.0513,1,0.185719,1,1,0,61.5834,2.13114
-61.0513,5.33676e-023,0.289734,1,1,0,61.0582,2.13114
-61.6549,0.964757,0.0549169,2,3,0,61.7608,2.23028
-62.1442,0.919441,0.0797091,1,1,0,62.2238,2.294
-61.4375,1,0.104854,2,3,0,62.1017,2.19827
-61.4375,5.28887e-005,0.162467,1,1,0,62.8966,2.19827
-61.4424,0.999861,0.031977,1,1,0,61.466,2.19901
-61.6752,0.984137,0.049601,1,1,0,61.6789,2.23312
-61.6362,1,0.0741688,1,1,0,61.8258,2.22764
-64.7381,0.359949,0.11405,1,1,0,64.8482,2.55351
-61.3426,0.980706,0.0480085,2,5,0,65.0423,1.76759
-61.5314,0.623423,0.0708525,1,3,0,65.013,2.21246
-61.0134,0.979975,0.051022,2,3,0,62.0232,2.12341
-61.0931,0.986863,0.0748654,1,1,0,61.1429,2.13935
-60.6193,1,0.110934,1,1,0,60.9091,1.99814
-60.6193,0.257211,0.168036,1,1,0,60.8681,1.99814
-60.7445,0.94479,0.0591508,3,7,0,61.5506,1.86928
-60.742,0.949705,0.080361,1,3,0,61.1715,2.05441
-60.6704,1,0.109898,2,3,0,60.7383,2.02703
-60.6213,1,0.165134,1,1,0,60.6263,1.91948
-60.6213,5.40109e-005,0.247189,1,1,0,61.2078,1.91948
-61.2104,0.919652,0.0543509,1,3,0,61.6894,1.78406
-60.9789,1,0.0698903,1,1,0,61.1868,1.81869
-60.6512,1,0.104429,1,1,0,60.8571,1.90267
-60.7854,0.896556,0.155469,1,1,0,60.7855,2.06799
-60.7854,0.149271,0.189857,1,1,0,60.8676,2.06799
-61.6164,0.941723,0.0571086,2,3,0,61.6376,2.22482
-62.7106,0.844133,0.0760532,1,1,0,62.7123,2.35884
-61.1227,0.968593,0.0842843,1,3,0,62.4162,2.14498
-61.1227,0.782573,0.117459,1,1,0,61.6756,2.14498
-60.8476,1,0.115894,1,1,0,61.0988,2.08517
-61.0276,0.85429,0.170356,1,1,0,61.3235,2.12634
-61.0551,0.970585,0.191298,1,1,0,61.5639,2.1319
-61.0551,5.36002e-005,4.24202,1,3,1,61.5784,2.1319
-61.0551,0,9.90635,0,1,1,61.4469,2.1319
-61.0656,0.998136,0.976788,1,1,0,61.1484,2.13398
-60.7213,0.983099,1.0123,2,3,0,61.2515,2.04729
-60.6619,1,1.3042,1,1,0,60.7177,2.02306
-60.6446,1,2.03483,1,1,0,60.697,2.01424
-60.6446,0.00585333,3.45853,1,1,0,60.6589,2.01424
-60.7263,0.996645,0.280092,2,7,0,60.9749,2.04907
-60.9874,0.988296,0.495046,2,5,0,61.2069,1.81725
-61.3427,0.935955,0.878086,1,1,0,61.3505,1.76757
-60.6594,1,1.3425,1,1,0,61.065,1.89892
-60.6594,0.0143924,2.535,1,1,0,61.4022,1.89892
-60.6991,0.999878,0.21538,4,15,0,60.7011,1.88349
-60.7982,0.995003,0.412579,1,3,0,60.855,1.85516
-60.8722,0.984832,0.777353,2,3,0,61.0305,1.83868
-60.6049,1,1.41346,2,3,0,60.7547,1.93326
-60.6773,0.898079,2.67778,1,1,0,60.7132,2.03008
-60.6773,0.465391,3.68762,1,1,0,61.0153,2.03008
-60.6425,1,1.36331,1,1,0,60.6796,2.01308
-60.6425,0.412159,2.55673,1,1,0,60.671,2.01308
-60.6196,1,0.823248,1,1,0,60.6393,1.99835
-60.8605,0.924547,1.53688,2,3,0,60.8689,2.08849
