# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:40:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\a6gqsl2l.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=200\realisation9\exponential_priors_delta_only-20240422174041.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-118.075,1,0.0625,1,1,0,139.394,1.30139
-118.075,0,14.3855,0,1,1,118.875,1.30139
-118.075,0,2.43117,0,1,1,118.546,1.30139
-118.075,3.88638e-016,0.239791,1,3,0,118.301,1.30139
-101.476,0.998494,0.0186273,5,31,0,119.54,2.07057
-101.702,0.991692,0.0256105,3,13,0,102.393,2.0035
-101.537,0.998437,0.0392103,1,3,0,101.776,2.0487
-103.223,0.834594,0.0663332,2,5,0,104.007,2.69667
-104.013,0.986638,0.0704561,3,7,0,104.015,2.81748
-104.063,0.988744,0.124016,1,1,0,104.771,2.82474
-104.063,3.89586e-010,0.223895,1,1,0,104.76,2.82474
-103.87,0.999851,0.0179669,1,3,0,104.136,2.79656
-103.67,0.999712,0.0343612,3,7,0,103.992,2.76662
-101.508,0.991937,0.0659014,2,5,0,103.454,2.05875
-101.508,0.236945,0.123249,1,1,0,103.361,2.05875
-102.744,0.987151,0.0221395,3,15,0,103.377,1.85028
-101.686,1,0.0410815,3,15,0,102.701,2.38054
-101.76,0.990805,0.078811,1,1,0,101.783,2.40264
-102.325,0.876238,0.14589,2,3,0,102.464,2.53597
-102.325,0.598919,0.189798,1,1,0,102.473,2.53597
-101.369,0.950536,0.107667,1,3,0,102.483,2.13216
-101.344,1,0.17451,1,1,0,101.353,2.17945
-101.344,8.72891e-005,0.324571,1,1,0,102.013,2.17945
-101.44,0.997864,0.0326772,2,5,0,101.48,2.08678
-102.227,0.947709,0.060687,2,3,0,102.228,1.91176
-101.352,0.993853,0.0966743,1,3,0,102.189,2.15459
-101.409,0.960227,0.174171,1,1,0,101.409,2.26484
-101.409,0.00077627,0.282723,1,1,0,101.534,2.26484
-101.511,0.988156,0.0314612,2,7,0,102.517,2.05747
-102.339,0.916189,0.0555196,1,3,0,102.894,1.89688
-102.206,1,0.0796949,3,7,0,102.407,1.91468
-102.206,0.0307835,0.142784,1,1,0,104.951,1.91468
-101.726,0.999062,0.0186167,4,15,0,102.569,1.99795
-101.498,0.996394,0.0333455,3,11,0,102.035,2.31194
-101.357,0.994285,0.0587479,2,5,0,101.638,2.21822
-101.632,0.943934,0.101995,1,3,0,101.666,2.36305
-101.36,0.87,0.153924,2,3,0,101.723,2.14288
-101.36,0.312306,0.190587,1,1,0,101.798,2.14288
-101.348,1,0.0561436,3,7,0,101.359,2.19987
-101.348,0.672853,0.0972328,1,3,0,103.351,2.19987
-101.345,0.999475,0.0729861,1,3,0,101.354,2.17665
-101.477,0.963807,0.124924,1,3,0,101.487,2.30223
-101.758,0.803099,0.194064,1,1,0,101.933,2.40206
-102.068,0.78392,0.201233,1,1,0,102.503,2.48084
-101.38,1,0.198934,1,1,0,101.516,2.12266
-101.38,0.00388524,0.333154,1,1,0,101.471,2.12266
-101.439,0.995799,0.0496022,1,3,0,101.467,2.08695
-101.377,0.930829,0.0824144,2,3,0,102.091,2.12511
-101.39,0.995768,0.116413,1,1,0,101.399,2.11533
-101.849,0.686526,0.190907,1,1,0,101.861,2.42713
-101.423,0.979836,0.150022,2,3,0,101.666,2.27339
-101.423,0.000547055,0.235004,1,1,0,101.884,2.27339
-101.86,0.971696,0.0375037,2,7,0,103.144,2.43
-102.547,0.969599,0.0578187,2,5,0,102.815,1.87175
-103.127,0.956823,0.0882051,2,3,0,103.27,1.81334
-101.583,1,0.129979,1,1,0,102.478,2.0343
-101.347,1,0.210187,1,1,0,101.39,2.19812
-101.347,0.000439385,0.337836,1,1,0,101.885,2.19812
-101.349,0.999585,0.0575277,2,5,0,101.356,2.15981
