# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:43:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\pbgmd245.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation0\exponential_priors_delta_only-20240422174346.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-132.091,1,0.0625,1,1,0,167.454,1.38093
-132.091,0,14.3855,0,1,1,133.696,1.38093
-132.091,0,2.43117,0,1,1,132.604,1.38093
-132.091,1.45774e-063,0.239791,1,1,0,132.204,1.38093
-112.343,1,0.0186273,3,13,0,133.713,1.99365
-112.382,0.999588,0.0257257,2,3,0,112.383,1.98708
-112.326,0.997013,0.0403555,2,3,0,112.485,1.99681
-112.938,0.705366,0.068001,2,7,0,114.74,2.36391
-112.779,0.937232,0.0481315,2,5,0,114.228,1.93434
-112.276,1,0.0723486,2,3,0,112.659,2.00608
-112.8,0.626214,0.135248,1,1,0,113.218,1.93201
-112.282,1,0.0784967,1,1,0,112.669,2.00483
-113.253,0.404052,0.149528,1,1,0,113.284,2.40469
-112.017,0.921849,0.0440208,1,3,0,115.112,2.1617
-113.48,0.840243,0.0663128,2,3,0,113.574,2.43163
-111.992,1,0.0775326,2,3,0,113.313,2.10968
-112.023,0.970828,0.148376,1,1,0,112.026,2.16598
-112.023,4.40026e-007,0.257919,1,1,0,113.224,2.16598
-112.301,0.991661,0.0234919,3,9,0,112.695,2.00119
-112.34,0.998815,0.0438774,2,3,0,112.355,1.9942
-112.34,0.248459,0.0829951,1,1,0,114.87,1.9942
-112.584,0.997923,0.0169151,3,7,0,112.611,1.95776
-111.991,0.994567,0.0318923,2,7,0,112.882,2.11107
-111.994,0.999868,0.0589565,2,3,0,111.994,2.10642
-112.714,0.67039,0.109573,1,1,0,112.728,1.94169
-112.078,1,0.0786358,2,3,0,112.608,2.19256
-112.078,0.381775,0.144415,1,1,0,112.247,2.19256
-112.369,0.991087,0.0462469,3,7,0,112.375,2.27083
-114.869,0.630687,0.0824007,1,3,0,114.923,2.57094
-112.153,1,0.0537475,2,3,0,114.567,2.2184
-112.153,0.656422,0.0970827,1,1,0,112.897,2.2184
-112.245,0.982876,0.0682997,1,1,0,112.256,2.2432
-112.075,0.97648,0.116438,2,3,0,112.208,2.19165
-113.176,0.14037,0.19345,1,1,0,114.065,1.89528
-113.44,0.983548,0.0347575,1,1,0,113.443,1.87341
-115.489,0.679865,0.05891,1,1,0,115.489,1.75403
-115.915,0.95135,0.0448347,1,1,0,116.146,1.7353
-113.142,1,0.0691852,2,3,0,115.206,1.89825
-112.122,1,0.120149,1,1,0,112.492,2.20874
-112.122,5.63714e-017,0.206881,1,1,0,112.964,2.20874
-112.15,0.999696,0.0281468,4,15,0,112.169,2.03449
-112.023,0.958322,0.0485456,1,3,0,112.753,2.16609
-112.073,0.983437,0.0749075,2,3,0,112.165,2.19067
-114.651,0.163684,0.122203,1,1,0,114.73,1.79555
-113.472,1,0.0264167,2,3,0,114.609,1.87092
-113.822,0.976954,0.0448776,3,7,0,114.537,1.84562
-112.008,0.944534,0.0715529,1,3,0,114.155,2.15463
-112.008,0.105122,0.104827,1,1,0,114.038,2.15463
-112.185,0.98794,0.0205612,2,7,0,113.144,2.02554
-112,0.988692,0.0334884,2,5,0,112.603,2.09911
-112.061,0.977828,0.0542736,1,3,0,112.247,2.18556
-112.23,0.939269,0.0851891,2,3,0,112.432,2.01534
-112.23,0.13846,0.121505,2,3,0,113.355,2.01534
-112.025,0.99772,0.0270994,2,7,0,112.44,2.16695
-112.669,0.911376,0.0443129,1,3,0,113.459,2.32428
-112.334,0.882534,0.0591229,2,3,0,114.213,2.26357
-111.996,0.997221,0.0736104,1,3,0,112.319,2.14306
-111.996,0.345548,0.11834,1,1,0,112.885,2.14306
-112.04,0.995115,0.0439339,1,3,0,112.07,2.17526
-111.995,0.933557,0.0700942,2,3,0,112.551,2.14118
-111.995,0.413277,0.0970299,1,3,0,115.238,2.14118
-112.232,0.984295,0.0425875,2,5,0,112.318,2.01492
