# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:47:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\zyiw6sve.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation1\exponential_priors_delta_only-20240422174728.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-58.4913,1,0.0625,1,1,0,93.3638,1.53871
-58.4913,0,14.3855,0,1,1,60.0143,1.53871
-58.4913,0,2.43117,0,1,1,58.5238,1.53871
-58.4913,1.70234e-047,0.239791,1,1,0,58.5641,1.53871
-59.8464,0.972837,0.0186273,2,3,0,59.8908,1.49821
-59.6692,1,0.0237245,1,1,0,59.9717,1.50309
-54.8097,1,0.0371818,2,7,0,59.3724,1.77341
-55.9929,0.784605,0.0631526,1,3,0,56.0473,1.64868
-54.7235,1,0.0572989,2,3,0,55.8283,1.83238
-54.8352,0.930096,0.105098,1,1,0,54.8454,1.87986
-54.8352,0.4273,0.157586,1,1,0,55.2288,1.87986
-54.8683,0.941326,0.0487858,1,3,0,55.5198,1.75988
-54.8683,0.761158,0.0773641,1,1,0,55.312,1.75988
-54.7198,0.988886,0.0699819,2,3,0,54.9296,1.82121
-54.7198,0.0715616,0.129598,1,1,0,55.2597,1.82121
-54.8281,0.998897,0.0139413,3,11,0,54.9114,1.87801
-54.8125,0.990332,0.0269073,2,5,0,55.2987,1.77267
-54.8033,1,0.0502745,1,1,0,54.8213,1.77513
-54.8033,0.625566,0.0960292,1,1,0,55.2065,1.77513
-54.9836,0.96092,0.0590016,1,1,0,54.9836,1.73989
-54.7316,1,0.0994378,1,1,0,54.8311,1.84036
-54.7316,0.432265,0.186676,1,1,0,54.7403,1.84036
-55.2556,0.88699,0.065694,1,3,0,55.3247,1.95005
-55.455,0.920165,0.0882886,1,1,0,55.6744,1.97335
-55.455,0.00871035,0.129966,1,1,0,55.874,1.97335
-55.2611,0.998717,0.0140628,2,5,0,55.6928,1.95073
-55.6219,0.991053,0.026113,4,15,0,55.881,1.99078
-55.5728,1,0.0469724,1,1,0,55.702,1.9858
-54.9761,1,0.0857856,1,1,0,55.4031,1.90917
-54.7344,1,0.155108,1,1,0,54.829,1.84241
-54.7344,5.05258e-018,0.277704,1,1,0,56.0008,1.84241
-54.7839,0.995416,0.0325698,1,3,0,54.824,1.8649
-55.0394,0.749209,0.0577825,2,3,0,57.4922,1.73192
-54.7581,0.998601,0.0526034,2,3,0,55.0593,1.79007
-55.7709,0.183844,0.0928794,2,3,0,57.9043,2.00519
-54.8883,0.999667,0.0190751,3,11,0,55.8051,1.75594
-54.8743,0.985186,0.0337335,2,7,0,55.319,1.88917
-55.3372,0.952813,0.0569452,2,7,0,55.3622,1.69859
-54.7248,1,0.0877361,1,1,0,55.0411,1.81038
-54.7198,1,0.151432,1,1,0,54.7206,1.82232
-54.7251,0.978225,0.259197,1,1,0,54.742,1.81001
-54.7251,1.70053e-018,0.416653,1,1,0,54.9724,1.81001
-54.8511,0.982311,0.0580621,2,3,0,54.8835,1.76351
-55.0871,0.925047,0.094633,2,3,0,55.1139,1.72569
-55.0871,0.229386,0.133038,1,1,0,55.1902,1.72569
-54.8142,0.995145,0.0341011,1,3,0,55.2167,1.77223
-54.807,1,0.0569294,2,3,0,54.8283,1.77413
-54.8937,0.973534,0.0954583,2,3,0,54.9094,1.75492
-54.8881,1,0.149171,1,1,0,55.1258,1.75598
-54.8881,3.43282e-007,0.246683,1,3,1,54.8965,1.75598
-54.9451,0.994621,0.0383682,1,1,0,54.9466,1.74592
-54.9535,0.997872,0.0627825,1,1,0,55.0076,1.74456
-55.2116,0.854291,0.102829,1,3,0,55.2535,1.9444
-55.2116,0.328197,0.120072,1,1,0,56.2805,1.9444
-54.8866,0.999944,0.0417988,2,5,0,55.198,1.75626
-54.743,0.970016,0.0682845,2,3,0,55.0788,1.7971
-54.743,0.000651164,0.103579,1,1,0,57.9869,1.7971
-54.7206,0.999142,0.017585,3,11,0,54.8338,1.827
-54.8879,0.981818,0.0285543,3,7,0,55.414,1.89213
-56.167,0.935795,0.0443431,3,7,0,56.2672,1.6381
-55.1521,1,0.0618568,1,1,0,55.9079,1.71787
-55.608,0.817992,0.0989736,2,3,0,55.7421,1.98938
-54.8265,1,0.105758,1,1,0,55.2501,1.87759
-54.8265,0.0042565,0.167729,1,1,0,54.9418,1.87759
-54.7634,0.967357,0.0307284,2,5,0,55.9186,1.78799
-55.2893,0.916277,0.0454998,3,7,0,55.9917,1.70323
-55.5161,0.946089,0.0601277,1,1,0,55.6018,1.68281
-54.7326,1,0.0843846,1,1,0,55.1616,1.80349
-54.7326,0.482434,0.132216,1,1,0,54.9349,1.80349
-54.8207,0.980246,0.0694136,1,3,0,54.8209,1.77057
-54.7329,1,0.103937,1,1,0,54.7803,1.80324
-54.7329,0.0023758,0.161445,1,1,0,55.3774,1.80324
-54.72,0.998192,0.0316626,2,5,0,54.787,1.82455
-54.8547,0.971574,0.0490659,2,5,0,54.9802,1.76272
-54.7281,1,0.0716657,1,3,0,54.8159,1.8071
-54.9511,0.851365,0.110475,1,1,0,54.9555,1.90467
-54.9511,0.0934621,0.125427,1,1,0,55.2875,1.90467
-54.7962,0.996874,0.0308279,1,3,0,55.0465,1.86889
-54.9868,0.922445,0.047101,1,3,0,55.7686,1.7394
-55.065,0.896152,0.0617571,1,3,0,55.8385,1.92374
-55.2994,0.972264,0.076639,2,3,0,55.3046,1.70223
