# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:49:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\g9uggh3c.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation2\exponential_priors_delta_only-20240422174954.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
1.41327,1,0.0625,1,1,0,32.0523,1.45121
1.41327,0,14.3855,0,1,1,-1.36164,1.45121
1.41327,0,2.43117,0,1,1,-0.552671,1.45121
1.41327,3.43791e-079,0.239791,1,1,0,-1.13035,1.45121
1.51034,1,0.0186273,2,3,0,-1.2428,1.4532
2.27993,0.971882,0.0257257,2,3,0,-0.122175,1.46957
6.61346,1,0.0370732,2,5,0,-1.88135,2.1313
9.28713,0.91949,0.0629651,1,3,0,-6.18284,1.80833
9.24175,0.689099,0.0872851,2,3,0,-8.6321,1.87882
9.24175,0.504861,0.0601017,1,3,0,-6.02466,1.87882
9.13857,0.994268,0.0234678,1,3,0,-9.03213,1.90417
9.27747,0.995612,0.0436468,3,7,0,-9.03257,1.8659
9.27138,0.990636,0.0821464,2,3,0,-9.22518,1.86844
9.27138,0.0682754,0.15254,1,1,0,-8.68254,1.86844
9.29372,0.999544,0.0159401,2,7,0,-9.22092,1.85787
9.25355,0.995092,0.0308064,2,7,0,-9.15345,1.79544
8.64607,0.817371,0.0584437,1,3,0,-8.04305,1.97399
8.57909,0.98423,0.0640184,1,1,0,-8.43112,1.98121
8.57909,0.0883393,0.116357,1,1,0,-8.16239,1.98121
8.52527,0.998972,0.0141973,2,3,0,-8.46168,1.9868
8.75505,0.999778,0.0271175,2,3,0,-8.49216,1.96152
9.31255,0.978376,0.0514305,1,3,0,-8.52329,1.84095
9.31255,0.960127,0.0907118,1,3,0,-9.25712,1.84095
9.31255,0.118455,0.150374,1,1,0,-8.98816,1.84095
