# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:55:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\get7ikb4.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation3\exponential_priors_delta_only-20240422175508.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-173.136,1,0.0625,1,1,0,207.627,1.41222
-173.136,0,14.3855,0,1,1,173.642,1.41222
-173.136,0,2.43117,0,1,1,173.938,1.41222
-173.136,4.97574e-031,0.239791,1,3,0,174.608,1.41222
-166.141,0.986075,0.0186273,3,7,0,175.447,1.54696
-164.963,1,0.0246796,1,1,0,166.098,1.5763
-163.698,1,0.0387199,1,1,0,165.034,1.6112
-160.278,1,0.0658092,1,1,0,163.14,1.73274
-159.635,1,0.117543,2,3,0,159.953,2.7152
-156.599,1,0.216349,1,1,0,156.617,2.01277
-156.599,3.05178e-029,0.405058,1,2,1,156.693,2.01277
-156.607,0.999649,0.0324829,1,1,0,156.62,2.01132
-156.464,0.985449,0.0619726,2,3,0,156.823,2.04031
-156.965,0.763653,0.113363,1,1,0,157.105,1.95854
-156.218,1,0.103737,1,3,0,156.669,2.16777
-156.218,6.01823e-007,0.198412,1,1,0,157.253,2.16777
-156.488,0.991455,0.0173912,3,13,0,157.682,2.29681
-158.81,0.938705,0.0327114,2,7,0,159.928,1.80742
-156.223,1,0.0520633,2,5,0,158.688,2.17991
-156.368,0.960134,0.0990756,1,3,0,156.389,2.06537
-156.368,0.04558,0.165877,1,1,0,157.002,2.06537
-157.834,0.969477,0.0184501,2,7,0,160.43,1.87375
-158.505,0.97808,0.0319799,2,3,0,158.639,1.82617
-158.257,1,0.0563508,1,1,0,158.676,1.8426
-157.814,1,0.104811,1,1,0,158.794,1.87536
-157.814,0.00504845,0.192965,1,1,0,157.82,1.87536
-158.282,0.989041,0.0209939,1,3,0,158.462,1.8409
-158.822,0.963749,0.037621,1,1,0,158.826,1.80669
-158.716,1,0.0622257,1,1,0,159.204,1.81306
-156.302,1,0.112813,1,3,0,157.544,2.23506
-156.516,0.7421,0.202517,1,1,0,156.812,2.30398
-156.414,0.481154,0.178715,1,3,0,156.416,2.05247
-156.251,0.976185,0.0782463,1,3,0,156.575,2.20706
-156.251,0.817151,0.130315,1,1,0,156.431,2.20706
-156.251,0.375674,0.141213,1,1,0,156.896,2.20706
-156.248,1,0.0478664,1,1,0,156.252,2.20504
-156.359,0.962333,0.0841124,1,3,0,156.474,2.06834
-156.359,0.646897,0.132886,1,3,0,156.718,2.06834
-156.266,1,0.0927098,1,1,0,156.335,2.10489
-156.306,0.962742,0.159949,1,1,0,156.307,2.23695
-156.306,1.14763e-005,0.249048,1,1,0,156.386,2.23695
-156.318,0.998543,0.034339,2,3,0,156.358,2.24178
-156.312,0.957057,0.0587229,1,3,0,156.894,2.08453
-156.305,1,0.0899045,1,1,0,156.336,2.08693
-156.372,0.981221,0.152001,1,3,0,156.372,2.26219
-156.372,0.0173372,0.243623,1,3,0,156.375,2.26219
-156.357,0.986022,0.0375558,2,7,0,156.931,2.06874
-156.288,1,0.0610664,1,1,0,156.347,2.09433
-156.513,0.955384,0.101967,2,3,0,156.53,2.02956
-156.506,1,0.152074,1,1,0,156.775,2.03108
-156.506,8.76768e-008,0.250572,1,1,0,156.781,2.03108
-156.239,0.992528,0.0394462,2,7,0,156.761,2.1973
-156.391,0.955131,0.0640033,1,3,0,156.697,2.05867
-156.307,1,0.0946393,1,1,0,156.383,2.08625
-156.307,0.432522,0.15433,1,1,0,156.507,2.08625
-156.242,0.897638,0.0685019,2,3,0,157.232,2.12014
-156.643,0.79224,0.0881784,2,3,0,157.5,2.33382
-158.043,0.880041,0.0892159,2,3,0,158.212,1.85784
-156.555,1,0.109852,1,1,0,157.449,2.02109
-156.288,1,0.176203,1,1,0,156.476,2.0944
-156.288,0.000512628,0.281002,1,1,0,156.32,2.0944
-156.221,0.996646,0.049428,1,3,0,156.344,2.14349
-156.325,0.981884,0.0783848,2,3,0,156.367,2.0797
-156.325,0.110412,0.119721,1,1,0,157.876,2.0797
-156.257,0.977158,0.0276452,4,15,0,158.058,2.11025
-156.235,1,0.0418311,2,3,0,156.257,2.12587
-156.267,0.98751,0.0661462,3,7,0,156.356,2.10436
-156.617,0.927903,0.101323,2,3,0,156.625,2.00951
-156.601,0.68564,0.136173,2,3,0,156.895,2.0124
-158.917,0.287043,0.109589,1,1,0,159.162,1.80119
-157.061,1,0.0383997,2,3,0,158.801,1.94691
-156.524,0.793266,0.0599628,1,3,0,159.768,2.306
-156.294,0.935445,0.060747,1,3,0,157.355,2.09186
-156.256,1,0.0824479,1,1,0,156.288,2.11095
-156.219,0.998933,0.127302,2,3,0,156.236,2.14852
-156.219,0.210208,0.195239,1,1,0,156.413,2.14852
-156.244,0.995241,0.0602439,3,7,0,156.279,2.11891
-156.761,0.875365,0.0916401,1,3,0,156.765,1.98629
