# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 16:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\fbwigmty.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation4\exponential_priors_delta_only-20240422175934.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-192.548,1,0.0625,2,3,0,231.164,1.49659
-192.548,0,14.3855,0,1,1,193.421,1.49659
-192.548,0,2.43117,0,1,1,192.986,1.49659
-192.548,7.31987e-011,0.239791,2,3,0,192.6,1.49659
-193.268,0.984189,0.0186273,1,1,0,193.29,1.48248
-194.707,0.945253,0.0245412,1,1,0,194.743,1.45591
-192.022,1,0.0325556,1,1,0,194.561,1.50729
-188.815,1,0.0551733,1,1,0,192.089,1.58104
-183.822,1,0.0983784,2,3,0,187.125,2.88884
-179.924,1,0.180919,1,1,0,180.311,2.04102
-179.924,9.71492e-018,0.33864,1,1,0,179.957,2.04102
-179.503,0.993674,0.0271622,2,5,0,180.334,2.17475
-179.792,0.959003,0.0508828,1,3,0,180.08,2.0667
-179.552,1,0.0857457,1,3,0,179.726,2.14051
-179.552,9.84946e-023,0.164207,1,1,0,186.199,2.14051
-179.664,0.998861,0.0141304,3,11,0,179.849,2.0986
-179.694,0.999376,0.0272666,2,3,0,179.704,2.09039
-181.004,0.822302,0.0523675,2,3,0,182.236,1.91385
-180.297,1,0.0583593,1,1,0,180.902,1.9862
-179.783,1,0.110955,1,1,0,180.177,2.06869
-179.808,0.332244,0.209017,1,3,0,179.856,2.36231
-180.305,0.974571,0.0541538,3,7,0,180.613,1.98513
-180.111,1,0.0944144,1,1,0,180.425,2.01111
-180.244,0.845576,0.175683,1,1,0,181.086,1.99295
-180.244,0.0138916,0.207374,1,1,0,180.261,1.99295
-180.538,0.991857,0.0226826,1,3,0,180.697,1.95837
-179.781,1,0.0411403,2,3,0,180.488,2.06923
-180.558,0.90019,0.0755948,2,7,0,180.639,2.50754
-180.461,1,0.104135,1,1,0,180.828,2.49211
-180.461,0.173363,0.187979,1,1,0,180.468,2.49211
-180,0.999424,0.0349293,3,7,0,180.563,2.40744
-179.516,0.98868,0.0629098,2,3,0,180.201,2.24838
-179.732,0.950704,0.109013,2,3,0,179.734,2.34135
-179.732,0.333858,0.16915,1,1,0,180.512,2.34135
-180.063,0.982975,0.0508088,2,5,0,180.142,2.01819
-180.063,0.88911,0.0857262,1,1,0,180.437,2.01819
-180.546,0.777185,0.112285,1,1,0,180.834,1.95752
-179.566,1,0.109606,2,3,0,180.221,2.28013
-179.566,2.02369e-011,0.189673,1,1,0,181.249,2.28013
-179.712,0.993224,0.0254384,2,7,0,180.068,2.33533
-180.029,0.986078,0.0433792,2,3,0,180.035,2.41342
-179.605,0.995576,0.0720703,2,7,0,179.995,2.11806
-179.685,0.885596,0.121674,2,3,0,179.86,2.32691
-179.685,0.0135991,0.155268,1,1,0,182.93,2.32691
-179.633,0.999659,0.0231738,1,3,0,179.718,2.30853
-179.49,0.998205,0.0393723,2,5,0,179.723,2.19719
-179.494,0.988891,0.0661518,3,7,0,179.598,2.22365
-179.773,0.762615,0.107885,2,3,0,180.356,2.35308
-179.502,1,0.101773,1,3,0,179.683,2.23443
-179.49,1,0.168736,1,1,0,179.492,2.19863
-179.49,7.39968e-005,0.277834,1,1,0,179.763,2.19863
-179.545,0.996709,0.0437157,2,5,0,179.571,2.26826
-179.829,0.924715,0.0715759,1,3,0,180.32,2.05895
-179.515,0.880596,0.0985811,2,3,0,180.362,2.24753
-179.515,0.4357,0.122173,1,1,0,180.188,2.24753
-179.98,0.972845,0.0547039,3,7,0,180.12,2.40312
-181.74,0.777114,0.0836285,1,3,0,181.788,2.66652
-179.625,0.971605,0.0818034,1,3,0,181.669,2.3058
-182.293,0.309644,0.12372,1,1,0,182.305,2.7302
-181.35,0.99946,0.0426396,2,3,0,182.408,2.61848
