# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:03:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\1_demnt0.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation5\exponential_priors_delta_only-20240422180328.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-203.666,1,0.0625,2,3,0,236.876,1.37411
-203.666,0,14.3855,0,1,1,204.094,1.37411
-203.666,0,2.43117,0,1,1,206.309,1.37411
-203.666,1.56177e-029,0.239791,1,3,0,204.716,1.37411
-203.7,0.999199,0.0186273,1,1,0,204.101,1.37363
-204.467,0.965733,0.0256644,1,1,0,204.953,1.36305
-199.568,1,0.0362927,1,1,0,204.109,1.43663
-190.154,1,0.0616177,2,5,0,198.736,3.56855
-183.738,1,0.109986,1,3,0,188.825,2.83412
-182.5,1,0.202376,1,1,0,182.5,2.05572
-182.5,8.09871e-022,0.378861,1,3,1,182.517,2.05572
-182.488,0.998671,0.0303844,2,3,0,182.614,2.05733
-182.856,0.985248,0.0578022,2,3,0,182.87,2.01356
-183.763,0.891436,0.1057,2,3,0,184.203,1.93189
-182.114,1,0.144127,1,3,0,182.803,2.54898
-182.114,2.07737e-119,0.275091,1,1,0,183.522,2.54898
-181.64,0.993695,0.0240577,2,7,0,183.138,2.25726
-181.6,0.999904,0.0454519,3,7,0,181.647,2.31384
-181.688,0.979897,0.0868601,1,3,0,181.713,2.22926
-181.645,0.995733,0.154963,1,3,0,181.661,2.38108
-181.645,2.8025e-005,0.287437,1,1,0,181.733,2.38108
-181.605,0.999363,0.0278145,2,7,0,181.707,2.29533
-181.6,0.99925,0.0524435,1,3,0,181.619,2.31942
-181.607,0.957487,0.0978611,2,3,0,181.83,2.29191
-181.607,0.915202,0.160274,1,1,0,181.64,2.29191
