# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:07:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\l16tbeys.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation6\exponential_priors_delta_only-20240422180716.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-12.5819,1,0.0625,2,3,0,47.6606,1.56404
-12.5819,0,14.3855,0,1,1,12.5852,1.56404
-12.5819,0,2.43117,0,1,1,12.6016,1.56404
-12.5819,3.77507e-059,0.239791,1,1,0,12.8281,1.56404
-11.3397,0.977653,0.0186273,1,3,0,13.9139,1.62386
-12.3715,0.96619,0.0240676,2,3,0,12.3935,1.57269
-12.7855,0.962252,0.0340232,1,1,0,12.8576,1.55608
-15.4265,0.55978,0.0513061,1,1,0,15.5344,1.47528
-12.8862,0.97627,0.0229191,1,3,0,16.5166,1.55227
-13.6308,0.954015,0.0388311,3,7,0,14.7871,2.12166
-10.0628,1,0.0627121,2,3,0,13.2976,1.78946
-10.0628,8.40297e-005,0.118634,1,1,0,12.0462,1.78946
-10.0631,0.999996,0.00968241,3,11,0,10.0638,1.79092
-10.0908,0.998683,0.0186908,3,9,0,10.1668,1.76152
-10.1417,0.996931,0.0359463,2,3,0,10.1463,1.74441
-10.2521,0.964753,0.0685584,1,1,0,10.2645,1.72156
-10.2521,0.372674,0.117817,1,1,0,10.4215,1.72156
-10.2518,1,0.0330123,1,1,0,10.2661,1.7216
-10.0641,0.997899,0.0632629,1,3,0,10.2546,1.79332
-10.1632,0.912703,0.119444,1,1,0,10.1885,1.83765
-10.1632,0.00373107,0.173341,1,1,0,10.2143,1.83765
-10.2278,0.986221,0.0170302,4,15,0,12.0429,1.7258
-10.0776,0.991466,0.0310247,1,3,0,10.4225,1.76843
-11.1421,0.746301,0.0568513,1,3,0,11.8209,1.96047
