# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:15:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\l39jak5p.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation7\exponential_priors_delta_only-20240422181516.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-132.348,1,0.0625,1,1,0,168.004,1.44205
-132.348,0,14.3855,0,1,1,132.666,1.44205
-132.348,0,2.43117,0,1,1,134.443,1.44205
-132.348,1.14837e-039,0.239791,1,1,0,132.823,1.44205
-132.106,1,0.0186273,2,3,0,132.53,1.44629
-127.645,1,0.0257257,2,3,0,132.313,1.53728
-131.003,0.893803,0.0404064,2,3,0,131.085,1.46639
-126.506,1,0.0493802,2,3,0,130.424,1.56573
-119.262,1,0.0879546,2,3,0,123.484,1.93664
-118.954,1,0.161662,1,1,0,118.985,2.09064
-118.954,1,0.302548,1,1,0,119.042,2.09037
-118.954,0,0.571318,0,1,1,119.18,2.09037
-119.178,0.970771,0.046396,1,3,0,119.361,2.17086
-119.178,0.86397,0.0811565,1,1,0,119.607,2.17086
-119.001,1,0.101725,1,1,0,119.124,2.1161
-119.001,0.000266298,0.194587,1,1,0,119.273,2.1161
-118.945,0.997699,0.0170722,3,11,0,119.398,2.08265
-119.049,0.9971,0.0327341,3,7,0,119.075,2.13461
-118.937,0.977803,0.062185,2,3,0,119.275,2.07277
-119.694,0.654759,0.110541,1,1,0,119.696,1.87825
-119.864,0.953087,0.0743952,1,1,0,120.034,1.86069
-119.475,1,0.121871,1,1,0,120.044,1.90456
-119.281,0.333333,0.227357,1,3,1,119.456,2.19381
-118.941,0.971594,0.0604806,1,3,0,119.634,2.03635
-119.233,0.575702,0.103588,2,3,0,120.149,2.18364
-119.398,0.848919,0.0567464,1,3,0,121.27,1.91514
-119.508,0.975084,0.0681188,1,1,0,119.584,1.90021
-119.508,0.777502,0.116208,1,1,0,120.057,1.90021
-118.935,1,0.113337,1,1,0,119.176,2.07001
-118.935,0.00129796,0.204444,1,1,0,119.754,2.07001
-119.07,0.994065,0.0236976,2,7,0,119.421,1.97799
-119.053,1,0.0421992,2,3,0,119.073,1.98284
-119.439,0.677519,0.0756357,2,3,0,121.583,2.22343
-119.011,0.915206,0.0567295,1,3,0,120.534,1.99658
-118.932,0.996493,0.0802522,2,3,0,119.031,2.05675
-118.932,0.00130068,0.139795,1,1,0,122.558,2.05675
