# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:21:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\hfq7bj37.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation8\exponential_priors_delta_only-20240422182100.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-123.988,1,0.0625,2,3,0,163.039,1.52011
-123.988,0,14.3855,0,1,1,124.621,1.52011
-123.988,0,2.43117,0,1,1,124.834,1.52011
-123.988,1.84117e-038,0.239791,1,3,1,124.228,1.52011
-124.412,0.99468,0.0186273,3,7,0,125.093,1.51083
-123.52,1,0.025321,1,1,0,124.44,1.53071
-124.782,0.95614,0.0397536,2,3,0,125.246,1.50297
-122.708,1,0.0589697,1,1,0,125.538,1.55002
-114.643,1,0.105215,1,1,0,118.095,2.09952
-114.643,3.38866e-005,0.193555,1,1,0,114.966,2.09952
-114.656,0.999872,0.0153386,4,15,0,114.685,2.10491
-114.72,0.997025,0.0290512,1,3,0,114.752,2.12677
-114.82,0.995683,0.0549876,2,3,0,114.82,2.15281
-115.294,0.808179,0.10392,1,1,0,115.391,2.23645
-115.225,0.601164,0.109312,2,3,0,116.174,1.88287
-116.227,0.82066,0.0607405,1,1,0,116.228,1.79585
-117.22,0.775152,0.0670565,1,1,0,117.428,1.73761
-116.936,1,0.0645013,2,7,0,117.136,2.41417
-114.698,1,0.122966,1,1,0,115.451,1.97182
-114.698,0.0140637,0.232394,1,1,0,114.698,1.97182
-114.656,0.999647,0.0230151,1,3,0,114.721,1.98537
-114.615,0.971758,0.0436929,1,3,0,115.17,2.08635
-114.653,0.980938,0.0756881,1,3,0,114.752,1.98634
-114.653,0.00836453,0.133498,1,1,0,116.742,1.98634
-114.586,0.996438,0.0141489,3,11,0,115.464,2.02356
-114.678,0.996777,0.0262303,2,7,0,114.756,2.11323
