# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:24:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\oys9w0sd.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=300\realisation9\exponential_priors_delta_only-20240422182417.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-148.068,1,0.0625,1,1,0,183.455,1.46925
-148.068,0,14.3855,0,1,1,148.415,1.46925
-148.068,0,2.43117,0,1,1,148.207,1.46925
-148.068,4.21889e-046,0.239791,1,3,1,148.601,1.46925
-145.898,1,0.0186273,2,3,0,148.132,1.51696
-145.443,1,0.0257257,1,1,0,146.022,1.52801
-142.705,1,0.0404064,1,1,0,145.166,1.60535
-140.144,1,0.0687243,1,1,0,142.34,1.70575
-137.071,1,0.122801,1,1,0,138.161,2.06381
-137.071,9.97057e-006,0.226075,1,1,0,137.436,2.06381
-137.241,0.995722,0.0179182,3,9,0,137.723,2.14593
-137.067,0.999448,0.033489,3,7,0,137.288,2.04485
-137.205,0.963943,0.0638455,2,3,0,137.371,2.13492
-137.21,0.998582,0.10916,2,3,0,137.225,1.9659
-137.21,0.00783434,0.207848,1,1,0,137.334,1.9659
-137.186,0.999946,0.0182981,1,3,0,137.219,1.97317
-137.078,0.99725,0.0353635,2,7,0,137.327,2.07298
-137.11,0.986914,0.0673488,2,7,0,137.185,2.00223
-137.11,0.195186,0.123361,2,3,0,138.067,2.00223
-137.431,0.991705,0.0207436,2,5,0,137.765,1.91948
-137.112,0.984244,0.0386513,1,3,0,137.781,2.00135
-137.316,0.927522,0.0698076,1,3,0,137.655,2.16581
-137.225,0.995478,0.105799,2,3,0,137.406,2.14135
-137.225,0.0162163,0.194109,1,1,0,137.3,2.14135
-137.087,0.999791,0.0209764,2,5,0,137.257,2.08153
-137.967,0.953601,0.0391301,2,5,0,138.443,1.85112
-137.169,0.992984,0.0633874,2,3,0,138.051,1.97839
-138.35,0.489979,0.113782,1,1,0,138.476,1.8163
-138.191,1,0.0498339,2,3,0,138.41,1.8299
-137.613,1,0.0905157,2,3,0,138.119,1.89217
-137.613,0.375299,0.162788,1,1,0,138.596,1.89217
-137.51,1,0.0531435,1,1,0,137.626,1.90682
-137.523,0.994586,0.095072,1,1,0,137.702,1.90489
-137.112,1,0.166054,1,1,0,137.146,2.09749
-137.112,5.07144e-014,0.291578,1,1,0,137.203,2.09749
-137.14,0.997744,0.0365948,2,3,0,137.167,2.11095
-137.13,0.955453,0.0640634,2,3,0,137.578,2.10648
-137.368,0.912623,0.099636,1,1,0,137.379,2.17813
-137.76,0.762522,0.13786,1,1,0,138.046,2.2502
-137.76,4.90104e-005,0.129447,1,1,0,140.93,2.2502
-137.778,0.999802,0.0176761,1,1,0,137.78,2.253
-137.76,1,0.0306001,1,1,0,137.794,2.25019
-137.756,1,0.0525638,1,1,0,137.829,2.24945
-137.405,1,0.0895694,1,1,0,137.706,2.18622
-137.121,1,0.151439,1,1,0,137.288,2.10229
-137.121,4.07232e-009,0.254105,1,1,0,139.217,2.10229
-137.525,0.957711,0.0375497,1,3,0,138.142,2.21019
-137.826,0.966475,0.0570368,2,3,0,138.091,2.26031
-138.282,0.886166,0.0879493,1,1,0,138.416,2.32219
-137.561,0.97833,0.111411,2,3,0,138.157,2.21673
-137.613,0.943811,0.174795,1,1,0,138.218,2.226
-137.613,0.000167934,0.251407,2,3,0,137.778,2.226
-137.727,0.993476,0.0400683,1,1,0,137.729,2.24493
-138.381,0.90902,0.0649339,1,1,0,138.381,2.33419
-139.382,0.789235,0.0861308,1,1,0,139.538,2.4414
-137.225,1,0.0866002,1,3,0,138.883,2.14123
-137.225,0.624101,0.140396,1,1,0,137.334,2.14123
-137.835,0.899165,0.0969658,2,3,0,137.849,2.26166
-137.835,0.740286,0.124557,1,1,0,138.561,2.26166
-137.908,0.986676,0.111975,2,3,0,137.986,1.85726
-137.908,4.73011e-017,0.173854,1,1,0,143.949,1.85726
-137.912,0.999813,0.0306331,1,1,0,137.947,1.85683
-138.29,0.876607,0.0490536,2,5,0,139.829,2.32309
-137.17,0.934963,0.0597529,2,3,0,139.293,2.12312
-137.131,1,0.0823757,1,1,0,137.17,2.10677
-137.298,0.954772,0.130115,1,3,0,137.298,1.94469
-137.298,1.03169e-008,0.185601,1,1,0,140.556,1.94469
-137.068,0.997981,0.0346336,3,7,0,137.429,2.05675
-137.331,0.945745,0.0542981,2,5,0,137.679,1.93784
-137.136,1,0.0758895,2,7,0,137.284,2.10942
-137.136,0.480247,0.118371,1,1,0,137.873,2.10942
-137.079,0.998996,0.0623117,3,7,0,137.145,2.02384
-137.079,0.300023,0.0966131,1,3,0,139.445,2.02384
-137.106,0.997851,0.0353586,1,3,0,137.128,2.00436
-137.101,0.999151,0.0545927,3,7,0,137.129,2.00762
-139.021,0.613616,0.0841277,1,3,0,139.082,1.76784
-137.131,1,0.0590652,3,7,0,138.94,1.99258
-137.525,0.865392,0.0907229,1,1,0,137.528,1.9046
-139.93,0.297925,0.105891,2,3,0,140.515,2.49278
-139.523,0.99336,0.0397242,2,3,0,140.351,2.45499
-137.09,0.971666,0.0599327,3,7,0,139.854,2.01457
-137.327,0.898628,0.0862699,2,3,0,137.615,2.16869
-137.815,0.815202,0.107165,1,1,0,137.903,2.25858
-137.33,1,0.112804,1,1,0,137.707,2.16931
-137.129,1,0.170156,1,1,0,137.134,1.99362
-137.129,0.000957375,0.255664,1,1,0,137.183,1.99362
-137.143,0.993631,0.0555356,2,5,0,137.212,2.11225
-137.16,0.970054,0.0825292,2,3,0,137.373,2.11934
-137.16,0.336764,0.116799,1,1,0,137.912,2.11934
-137.18,0.998327,0.0492833,2,5,0,137.215,1.97495
-137.269,0.978732,0.0735191,1,1,0,137.28,1.951
-137.736,0.787259,0.105305,1,1,0,137.839,1.87655
-137.628,1,0.104882,2,3,0,137.694,2.22855
-137.208,1,0.155575,1,1,0,137.241,1.96662
-137.069,1,0.22997,1,1,0,137.102,2.03757
-137.069,1.12214e-012,0.338784,1,1,0,137.475,2.03757
-137.099,0.990633,0.0783165,1,3,0,137.119,2.09002
-137.077,1,0.113529,1,1,0,137.094,2.07199
-137.142,0.929789,0.166895,1,1,0,137.186,2.11203
-137.142,0.00648656,0.215127,1,1,0,137.206,2.11203
-137.085,1,1.65234,1,1,0,137.123,2.07927
-137.085,0,23.7698,0,1,1,137.265,2.07927
-137.085,0.000462021,4.01712,1,1,0,137.112,2.07927
-137.279,0.987297,0.396705,2,5,0,137.772,1.94876
-137.695,0.991815,0.517488,3,7,0,137.696,1.88156
-137.078,1,0.788561,3,7,0,137.651,2.07245
-138.425,0.690457,1.3401,1,3,0,138.488,1.81026
-137.255,1,0.914031,2,7,0,138.259,2.15009
-137.106,1,1.66647,1,1,0,137.2,2.09386
-137.106,0.000428106,3.09934,1,1,0,138.261,2.09386
-137.68,0.995772,0.246695,3,15,0,137.715,2.23733
-137.579,0.995587,0.460037,2,3,0,137.881,2.22004
-137.586,0.989032,0.860941,3,7,0,137.809,1.89581
-137.754,0.906135,1.57774,1,1,0,138.059,1.87443
-137.07,1,2.22515,1,1,0,137.256,2.03531
-137.07,6.31749e-006,4.18766,1,1,0,137.302,2.03531
-137.07,1,0.360643,1,1,0,137.07,2.03551
-137.363,0.973752,0.683361,3,7,0,137.642,2.17705
-137.131,1,1.18593,2,3,0,137.3,2.10713
-137.251,0.884708,2.20979,1,1,0,137.261,1.95544
-137.251,0.146838,2.89211,1,1,0,137.254,1.95544
-137.552,0.980952,0.425489,1,3,0,137.833,1.90058
-137.552,0.987504,0.745931,1,1,0,137.668,1.90058
-137.552,0.659792,1.32079,1,1,0,138.262,1.90058
-137.102,0.945808,0.901005,2,3,0,138.178,2.09162
-137.081,1,1.40101,1,1,0,137.098,2.07556
-137.073,1,2.52132,1,1,0,137.085,2.06713
-137.302,0.151933,4.49289,1,3,0,138.081,1.94377
-137.075,0.999529,0.74724,2,5,0,137.303,2.06983
-137.295,0.859926,1.33062,2,3,0,137.672,2.1607
-138.297,0.631512,1.60119,1,1,0,138.385,2.32405
-138.297,0.753793,1.03296,1,1,0,139.685,2.32405
-138.13,1,0.933009,1,1,0,138.388,2.30279
-137.802,1,1.62963,2,3,0,138.122,1.86889
-137.802,3.24413e-007,2.82086,1,1,0,138.456,1.86889
-137.745,0.993761,0.349097,4,15,0,138.666,1.87546
-137.143,0.987305,0.596536,2,5,0,138.167,2.11248
-137.124,1,0.994052,1,1,0,137.146,2.10366
-137.222,0.874909,1.69783,2,3,0,137.319,1.96261
-137.446,0.81747,2.09089,1,1,0,137.447,2.19484
-137.256,1,2.21958,1,1,0,137.262,1.95411
-137.256,1.62203e-018,3.72266,1,1,0,138.948,1.95411
-137.533,0.98781,0.512378,2,3,0,137.537,1.90335
-137.499,1,0.836313,1,1,0,137.585,1.90846
-137.071,0.958877,1.39654,2,3,0,137.574,2.03373
-137.222,0.866804,2.09397,1,1,0,137.268,1.96265
-137.293,0.393773,2.49765,1,3,0,137.313,2.16022
-137.222,0.987938,0.952422,2,3,0,137.464,2.14038
-137.095,1,1.5216,1,1,0,137.174,2.08686
-137.524,0.559969,2.48549,1,1,0,137.707,1.90468
-137.075,1,1.42957,1,3,0,137.348,2.0699
-137.075,0.691889,2.32061,1,1,0,137.194,2.0699
-137.071,1,1.82789,1,3,0,137.072,2.03412
