# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:47:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\0k5yhfqk.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation2\exponential_priors_delta_only-20240422184756.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-11.6674,1,0.0625,1,1,0,56.5868,1.70082
-11.6674,0,14.3855,0,1,1,11.674,1.70082
-11.6674,0,2.43117,0,1,1,12.5153,1.70082
-11.6674,1.73391e-066,0.239791,1,2,1,11.6827,1.70082
-11.6301,1,0.0186273,2,3,0,11.6922,1.70286
-11.4486,1,0.0257257,1,1,0,11.632,1.71326
-11.4481,1,0.0404064,1,1,0,11.6162,1.71329
-10.3818,1,0.0687243,2,3,0,11.017,1.81678
-10.3818,0.54638,0.122801,1,1,0,10.4031,1.81678
-10.3818,0.564612,0.0539675,1,3,0,12.6195,1.81678
-11.0554,0.972363,0.0254514,2,7,0,11.2802,1.9949
-11.0964,0.998299,0.0441676,3,7,0,11.1021,1.73642
-11.3334,0.952787,0.0838299,2,3,0,11.4425,1.72034
-11.3334,0.00429033,0.138235,1,1,0,11.3334,1.72034
-11.9685,0.994951,0.011839,3,7,0,12.0432,1.68541
-11.602,0.997945,0.0225995,2,3,0,12.1042,1.70442
-10.3042,1,0.0433451,2,3,0,11.4426,1.84191
-10.3433,0.977671,0.0831205,1,1,0,10.3553,1.82675
-10.3433,1.87063e-014,0.147802,1,1,0,13.7003,1.82675
-10.3965,0.998802,0.0138017,3,9,0,10.5239,1.90973
-10.5225,0.992934,0.0263545,2,5,0,10.6672,1.79212
-10.8855,0.92675,0.0489938,1,1,0,10.8867,1.75309
-12.3786,0.394507,0.0743081,2,3,0,13.6366,1.66677
-12.2025,1,0.0238395,1,1,0,12.4058,1.67449
-11.0845,1,0.0446674,1,1,0,11.9979,1.73729
-12.4262,0.42571,0.0828377,1,1,0,13.0527,1.66475
-13.0015,0.951706,0.029888,1,1,0,13.0238,1.64215
-10.5583,1,0.0480828,2,7,0,12.7369,1.78723
-10.2874,1,0.0877962,1,1,0,10.3913,1.86257
-10.6437,0.493382,0.158712,1,1,0,11.044,1.95062
-10.3452,1,0.0709452,1,1,0,10.5345,1.89624
-10.6852,0.628252,0.12723,1,1,0,10.8202,1.77223
-11.1625,0.682362,0.0830209,2,3,0,11.4436,1.7317
-10.3208,0.983239,0.063032,1,3,0,11.0665,1.88764
-10.3435,0.979069,0.106697,1,1,0,10.3437,1.8267
-10.3435,1.47424e-016,0.177136,1,1,0,11.7878,1.8267
-11.0252,0.977678,0.0226843,2,5,0,11.2141,1.74174
-11.3149,0.954101,0.0376722,2,3,0,11.7995,1.72152
-10.2873,1,0.0584196,1,3,0,11.1817,1.8623
-10.2873,0.0192726,0.101144,1,1,0,11.4528,1.8623
-10.294,0.999944,0.0145264,4,15,0,10.2951,1.87276
-10.3098,0.999557,0.0251932,2,7,0,10.3099,1.88278
-10.3241,0.9903,0.04329,3,7,0,10.4218,1.88895
-10.913,0.862078,0.0721186,2,3,0,10.9141,1.98122
-10.913,0.52373,0.0870247,1,3,0,12.0475,1.98122
-10.81,1,0.045874,1,1,0,10.9517,1.97041
-10.81,0.267787,0.0773287,1,1,0,12.712,1.97041
-10.8068,1,0.0222311,1,1,0,10.8284,1.97006
-10.7529,0.964227,0.0373783,2,5,0,11.4153,1.76528
-10.3826,1,0.0573158,2,3,0,10.6485,1.8166
-10.306,1,0.0950572,1,1,0,10.3259,1.88081
-10.306,3.96989e-005,0.156574,1,1,0,11.4136,1.88081
-10.4274,0.995296,0.0250239,2,7,0,10.4702,1.80744
-10.3212,0.999328,0.0408482,3,7,0,10.4495,1.88783
-10.3646,0.984647,0.0668667,1,1,0,10.3724,1.90182
-10.3646,0.00863078,0.105177,1,1,0,12.5811,1.90182
-10.2956,0.999572,0.0179842,2,7,0,10.4078,1.87411
-10.294,1,0.0293197,1,1,0,10.2955,1.87277
-10.307,0.993922,0.0475521,1,3,0,10.3463,1.84042
-10.5031,0.909716,0.0756295,1,1,0,10.5111,1.79494
-10.5031,0.128787,0.0992666,1,1,0,11.5486,1.79494
-11.3961,0.981543,0.0232969,3,7,0,11.4369,1.71644
-11.7097,0.963388,0.0359019,1,1,0,11.749,1.69855
-11.4541,1,0.052911,1,1,0,11.8774,1.71293
-10.295,1,0.0840154,1,1,0,10.7934,1.84792
-10.2886,1,0.13269,1,1,0,10.293,1.85529
-10.8203,0.136661,0.208467,1,1,0,12.3423,1.75888
-10.7064,1,0.0519828,1,1,0,10.8645,1.76999
-12.0242,0.450278,0.0816647,1,1,0,12.3649,1.68273
-13.5225,0.793083,0.0401755,1,1,0,13.5277,1.62401
-12.2628,1,0.0407891,2,3,0,13.3622,1.6718
-10.5286,0.92856,0.0636736,1,3,0,12.3277,1.93423
-10.5286,0.0482641,0.0853234,1,1,0,12.3475,1.93423
-10.3147,0.998822,0.0186082,2,5,0,10.6451,1.88507
-10.2872,0.999846,0.0288833,2,5,0,10.3219,1.8602
-10.3084,0.995771,0.0447176,1,3,0,10.3218,1.83973
-10.3008,1,0.0683506,1,1,0,10.31,1.84386
-10.7473,0.656942,0.104908,1,1,0,10.8832,1.76583
-10.6845,1,0.0805246,2,3,0,10.7856,1.95582
-10.5058,0.602302,0.122946,1,3,0,10.507,1.79454
