# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:51:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\3i7bjkyx.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation3\exponential_priors_delta_only-20240422185133.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-184.483,1,0.0625,1,1,0,236.223,1.73057
-184.483,0,14.3855,0,1,1,185.049,1.73057
-184.483,0,2.43117,0,1,1,185.782,1.73057
-184.483,8.45458e-042,0.239791,1,1,0,184.94,1.73057
-183.102,0.983595,0.0186273,1,3,0,185.506,1.79191
-183.492,0.983615,0.0244978,1,1,0,183.492,1.77271
-183.554,0.994055,0.0365467,1,1,0,183.767,1.76979
-181.814,1,0.0609184,2,3,0,183.141,1.87487
-181.952,0.963712,0.108726,2,3,0,181.961,1.86375
-181.952,0.00303244,0.178386,1,3,1,182.039,1.86375
-181.481,0.999521,0.0142696,2,5,0,182.052,1.90598
-182.026,0.981318,0.0269987,2,3,0,182.043,1.85808
-182.026,0.839353,0.0486472,1,1,0,182.948,1.85808
-182.266,0.950506,0.0563465,1,1,0,182.448,1.84105
-182.596,0.615948,0.092688,2,3,0,183.875,2.34269
-182.596,0.878317,0.0539734,1,1,0,183.516,2.34269
-183.925,0.748336,0.0712106,1,1,0,184.097,2.44829
-185.874,0.912382,0.0630826,2,3,0,186.002,2.57745
-184.181,1,0.092233,1,1,0,186.372,2.46654
-183.039,0.333333,0.174714,1,3,0,183.718,1.79518
-181.207,1,0.0449294,2,3,0,183.011,1.93905
-180.846,1,0.0849088,1,1,0,181.058,2.01928
-182.032,0.213757,0.158886,1,1,0,182.497,2.28872
-182.4,0.995129,0.0299487,3,7,0,182.522,2.32479
-183.361,0.878638,0.0552243,1,1,0,183.388,2.40607
-184.01,0.95612,0.0722751,2,3,0,184.474,2.45446
-184.01,0.00733217,0.117303,1,1,0,185.637,2.45446
-183.789,0.999812,0.013146,3,7,0,184.142,2.43838
-183.901,0.997294,0.0242556,1,1,0,183.938,2.44655
-184.962,0.920882,0.0439938,1,1,0,184.977,2.51951
-181.292,0.932304,0.0640914,1,3,0,184.644,2.19741
-181.154,1,0.0957151,1,1,0,181.39,2.1744
-181.154,2.66936e-021,0.170408,1,1,0,182.373,2.1744
-180.897,0.990789,0.0207743,2,7,0,181.904,2.11403
-180.815,0.998695,0.0361976,2,5,0,180.941,2.04186
-181.182,0.904358,0.0638228,1,3,0,181.375,2.17928
-181.317,0.949284,0.0871898,1,1,0,181.452,2.20125
-181.096,1,0.133136,1,1,0,181.469,2.16352
-181.096,1.07762e-039,0.230048,1,1,0,181.295,2.16352
-181.844,0.944235,0.0308082,3,7,0,183.51,2.26851
-181.824,1,0.0463457,1,1,0,181.944,2.26633
-180.839,0.962985,0.0796989,2,3,0,181.975,2.02292
-180.818,1,0.123964,1,1,0,180.821,2.07298
-181.016,0.625851,0.209925,1,1,0,181.353,2.14663
-181.016,0.336212,0.140698,1,1,0,181.073,2.14663
-181.044,0.99687,0.0467818,1,1,0,181.059,2.15272
-181.21,0.980707,0.0782526,2,3,0,181.212,1.93856
-182.587,0.245644,0.124987,1,1,0,183.552,1.82056
-182.445,1,0.0342544,1,1,0,182.647,1.82935
-181.705,1,0.0572126,2,3,0,182.333,1.88434
-180.81,1,0.0948871,2,3,0,181.23,2.05516
-180.81,0.013679,0.156295,1,1,0,181.267,2.05516
-180.882,0.997852,0.025785,2,5,0,180.896,2.1086
-181.472,0.926954,0.0423316,1,3,0,181.879,2.22332
-182.258,0.878408,0.0586711,1,1,0,182.259,2.31135
-181.263,1,0.0724784,2,3,0,182.014,2.19274
-181.19,0.998249,0.117632,1,3,0,181.219,1.94142
-181.19,0.00339927,0.189002,1,1,0,182.751,1.94142
-181.107,0.999412,0.0325129,3,7,0,181.248,1.95409
-180.99,1,0.0524665,1,1,0,181.093,1.97603
-181.158,0.977368,0.0842788,2,3,0,181.2,2.17513
-180.839,1,0.128066,1,1,0,180.988,2.08913
-180.938,0.262242,0.203453,1,3,1,181.087,1.98802
-180.814,1,0.0646202,2,3,0,180.92,2.06764
-180.825,0.993508,0.102491,1,1,0,180.828,2.07956
-180.825,0.210994,0.159446,1,1,0,180.925,2.07956
-183.914,0.772406,0.0463225,2,5,0,183.968,1.75375
-183.45,1,0.0450028,1,1,0,184.061,1.77467
-181.212,1,0.070755,1,1,0,182.723,1.93835
-180.81,1,0.110683,1,1,0,180.951,2.0559
-180.81,0.0255105,0.172291,1,1,0,181.229,2.0559
-181.29,0.977822,0.035143,2,7,0,181.29,2.19707
-180.818,0.959803,0.0523098,1,3,0,181.777,2.03813
-180.818,1,0.0747059,1,1,0,180.821,2.03869
-181.142,0.789688,0.115407,1,1,0,181.151,2.17228
-181.142,0.1472,0.115613,1,1,0,182.764,2.17228
-181.005,1,0.0314794,2,3,0,181.149,2.14405
-181.013,0.999734,0.0485044,3,7,0,181.013,1.97121
-180.873,1,0.0743676,1,1,0,180.974,2.00781
-180.873,0.218184,0.11359,1,1,0,181.614,2.00781
-181.092,0.993968,0.0365245,3,7,0,181.096,2.16264
-180.96,0.926308,0.0550777,1,3,0,181.865,1.98282
