# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:54:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\mlwygifd.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation4\exponential_priors_delta_only-20240422185410.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-244.954,1,0.0625,2,3,0,299.005,1.71557
-244.954,0,14.3855,0,1,1,245.064,1.71557
-244.954,0,2.43117,0,1,1,246.153,1.71557
-244.954,7.61948e-032,0.239791,1,1,0,245.006,1.71557
-242.296,0.999803,0.0186273,3,7,0,245.062,1.81101
-242.766,0.997194,0.0257106,3,7,0,242.778,1.79152
-241.079,0.987631,0.0400365,3,7,0,243.521,1.86995
-238.489,0.989118,0.0655134,2,3,0,241.246,2.1568
-238.578,0.969305,0.113076,2,3,0,238.578,2.11969
-238.578,0.0139755,0.188864,1,1,0,238.765,2.11969
-238.855,0.995089,0.0156409,2,7,0,239.133,2.05952
-238.653,0.849822,0.0291789,2,7,0,245.532,2.30299
-239.236,0.965105,0.0347407,2,7,0,239.848,2.4163
-238.496,1,0.0597751,2,3,0,239.162,2.24378
-238.496,0.00685762,0.114699,1,1,0,240.913,2.24378
-238.972,0.997643,0.0101049,4,23,0,239.499,2.04178
-239.087,0.991448,0.0194711,3,7,0,239.735,2.02627
-238.618,0.996691,0.0365922,3,7,0,239.305,2.29274
-238.481,0.957859,0.0693679,2,3,0,238.982,2.16191
-243.698,0.0223149,0.116032,2,3,0,243.721,2.84729
-239.2,0.999206,0.0118448,3,11,0,244.387,2.41075
-239.532,0.991099,0.0225824,1,3,0,239.745,2.45811
-238.766,1,0.0416327,3,7,0,239.478,2.07521
-240.648,0.542291,0.0780104,1,1,0,240.649,1.89488
-240.815,0.995108,0.0386916,2,3,0,240.933,1.8849
-239.347,1,0.070846,2,3,0,240.455,1.99641
-238.458,1,0.130224,1,1,0,238.74,2.18976
-238.458,3.68578e-123,0.236955,1,1,0,242.308,2.18976
-238.457,0.999783,0.0263505,3,9,0,238.469,2.19893
