# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:56:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\o4fv5kbd.json
# init = 0
# random
#   seed = 2925522856
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation5\exponential_priors_delta_only-20240422185618.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-200.744,1,0.0625,2,3,0,251.229,1.61906
-200.744,0,14.3855,0,1,1,201.172,1.61906
-200.744,0,2.43117,0,1,1,203.387,1.61906
-200.744,7.28019e-039,0.239791,1,3,0,201.794,1.61906
-201.075,0.990911,0.0186273,1,1,0,201.188,1.612
-202.27,0.941374,0.025038,1,1,0,202.354,1.5877
-199.87,1,0.0328403,1,1,0,202.134,1.63858
-190.692,1,0.0556638,3,7,0,198.71,2.11752
-190.692,0.522509,0.0992615,1,1,0,191.291,2.11752
-190.633,0.995122,0.0404135,1,3,0,190.778,2.1631
-190.675,0.627397,0.0743324,2,3,0,193.371,2.21515
-190.651,1,0.0433327,3,7,0,190.675,2.13983
-190.671,0.937752,0.0826919,2,3,0,190.922,2.1275
-190.671,0.0614056,0.130088,1,1,0,191.585,2.1275
-191.094,0.993437,0.0133175,4,15,0,192.082,2.02952
-191.126,0.998871,0.025284,1,1,0,191.13,2.02506
-190.981,1,0.0485943,1,1,0,191.115,2.04703
-190.845,1,0.0931078,1,1,0,191.01,2.07298
-190.845,0.237052,0.176997,1,1,0,190.847,2.07298
-190.891,0.99721,0.0336566,2,3,0,190.935,2.06343
-190.906,0.996708,0.0634965,1,1,0,190.957,2.06051
-190.662,1,0.118492,1,1,0,190.734,2.20756
-190.746,0.821973,0.221106,1,1,0,190.962,2.24462
-190.633,1,0.243458,1,1,0,190.652,2.17522
-190.633,8.77916e-015,0.447202,1,1,0,190.662,2.17522
-190.783,0.987972,0.0467041,2,5,0,190.794,2.08761
-190.633,0.916667,0.0832678,2,3,0,191.081,2.1637
-190.659,0.981519,0.120351,1,1,0,190.66,2.20529
-190.659,0.206919,0.207117,1,1,0,190.669,2.20529
-192.236,0.902256,0.0415944,2,5,0,192.571,1.91966
-192.306,0.985963,0.0576094,1,1,0,192.592,1.91481
-192.306,0.042557,0.0996206,2,3,0,195.494,1.91481
-190.685,0.996408,0.013447,3,9,0,193.174,2.12054
-190.854,0.996958,0.0239788,3,7,0,190.876,2.07092
-190.637,0.984239,0.042421,1,3,0,191.105,2.1551
-190.64,0.944796,0.0719154,2,3,0,190.962,2.18782
-190.64,0.152345,0.109073,1,1,0,191.714,2.18782
-190.664,0.997847,0.0211314,3,9,0,190.826,2.13151
-190.636,0.993669,0.0368294,2,5,0,190.824,2.18189
-190.685,0.991318,0.0629637,1,3,0,190.694,2.22019
-190.776,0.952422,0.106128,1,1,0,190.808,2.25423
-190.776,0.178279,0.160959,1,1,0,190.835,2.25423
-190.712,0.992095,0.0352255,2,7,0,191.083,2.10951
-190.728,0.959427,0.0590331,1,3,0,191.066,2.23805
-190.728,0.733384,0.0906111,1,1,0,191.252,2.23805
-190.634,1,0.0796319,1,3,0,190.704,2.17751
-190.634,0.156155,0.133716,1,1,0,191.385,2.17751
-190.876,0.989884,0.0292776,2,7,0,191.037,2.28075
-191.194,0.976107,0.0479602,2,3,0,191.286,2.34213
-190.727,1,0.0755172,2,3,0,191.08,2.10439
-190.727,0.050591,0.125013,1,1,0,192.065,2.10439
-191.38,0.990089,0.0222571,3,9,0,191.485,2.37057
-190.957,0.992982,0.0360433,2,5,0,191.696,2.05104
-191.019,0.961119,0.0583842,2,3,0,191.442,2.0408
-191.019,0.344228,0.0873448,1,1,0,192.427,2.0408
-192.361,0.886292,0.0318089,1,3,0,193.666,1.91107
-191.339,0.99695,0.0400971,2,5,0,192.624,2.36448
-193.144,0.854944,0.0646645,2,7,0,193.197,1.86391
-191.509,1,0.0754173,1,1,0,192.705,1.98023
-191.509,0.354552,0.121244,1,3,0,192.599,1.98023
-190.683,1,0.0464466,2,3,0,191.418,2.1214
-191.9,0.747375,0.0744424,1,3,0,191.938,1.94508
-191.591,1,0.0682744,1,1,0,192.004,1.97228
-191.591,0.098658,0.108555,1,3,0,194.078,1.97228
-190.915,1,0.0244516,3,11,0,191.571,2.28982
-190.95,0.997609,0.0388881,1,1,0,190.958,2.29734
-190.838,1,0.0612039,1,1,0,190.942,2.27144
-190.755,0.675029,0.096317,2,3,0,191.732,2.09546
-190.64,1,0.0758569,2,3,0,190.749,2.18905
-191.888,0.389083,0.118619,1,1,0,191.976,1.94612
-191.888,0.835972,0.0514308,1,1,0,192.821,1.94612
-192.575,0.872763,0.0570024,1,1,0,192.659,1.89705
-191.378,1,0.0680933,1,1,0,192.288,1.99403
-190.632,1,0.105492,1,1,0,190.951,2.16984
-190.64,0.989548,0.162676,1,1,0,190.645,2.18895
-190.64,2.4973e-033,0.244459,1,1,0,191.539,2.18895
-190.645,0.999451,0.049201,1,1,0,190.645,2.19399
-190.645,0.689216,0.0755572,1,3,0,192.018,2.19399
-190.658,0.991141,0.0619778,1,3,0,190.716,2.13492
-190.678,0.991332,0.0930887,1,1,0,190.688,2.12396
-191.14,0.650077,0.1393,1,1,0,191.178,2.33296
-191.14,0.681459,0.105711,1,1,0,191.809,2.33296
-191.912,0.785904,0.0855511,1,1,0,191.987,2.43847
-190.692,0.927221,0.0851197,2,3,0,191.75,2.11762
-191.136,0.741873,0.111556,1,1,0,191.223,2.0236
-191.111,1,0.101761,2,3,0,191.236,2.32809
-191.111,7.37317e-011,0.152962,1,1,0,192.65,2.32809
-190.639,0.993563,0.0334738,2,5,0,191.439,2.15142
-190.664,0.989186,0.0497575,1,3,0,190.761,2.20858
-190.664,0.739825,0.0730794,1,3,0,191.846,2.20858
-190.664,0.926123,0.0666382,1,3,0,191.095,2.20858
-191.187,0.702653,0.0864572,2,3,0,192.098,2.34084
-191.002,1,0.073506,1,1,0,191.197,2.30788
-191.417,0.804865,0.109203,1,1,0,191.63,2.37586
-191.417,0.189027,0.112362,1,1,0,193.577,2.37586
-192.058,0.947234,0.0368404,3,7,0,193.834,2.4549
-191.922,1,0.0495265,2,3,0,192.134,2.4396
-192.444,0.894487,0.0731842,1,1,0,192.623,2.4955
-191.815,1,0.0888261,2,3,0,192.558,2.42716
-190.747,1,0.130495,1,1,0,190.969,2.09789
-190.747,2.20477e-043,6.11493,1,1,0,191.926,2.09789
-190.747,4.2688e-050,14.2788,1,3,1,193.398,2.09789
-190.674,1,1.40788,1,1,0,190.729,2.12591
-190.699,0.991858,1.46631,1,1,0,190.709,2.11456
-191.273,0.790883,1.93767,2,3,0,191.299,2.35457
-190.662,0.945054,1.6228,2,3,0,191.392,2.20717
-190.662,0.238471,2.29418,1,1,0,191.52,2.20717
-190.652,0.99937,0.378356,3,7,0,190.714,2.19978
-190.923,0.939115,0.67405,2,5,0,192.262,2.05731
-191.038,0.976338,1.02333,2,7,0,191.27,2.31486
-192.678,0.529693,1.77715,1,1,0,192.751,2.51845
-190.684,0.885372,0.759733,1,3,0,195.702,2.21979
-191.529,0.921425,1.0073,2,3,0,191.554,2.39114
-190.89,1,1.50098,2,3,0,191.355,2.28404
-190.89,0.12964,2.85789,1,1,0,190.976,2.28404
-190.745,0.981527,0.365082,2,7,0,192.948,2.09848
-191.362,0.93634,0.661255,1,3,0,191.949,1.99586
-191.388,0.998398,1.03696,2,3,0,191.506,1.99291
-191.085,1,1.95259,1,1,0,191.504,2.03083
-190.96,0.333333,3.66205,2,3,0,191.07,2.29944
-191.381,0.889433,0.932241,2,3,0,192.406,2.37068
-190.681,0.959558,1.25762,2,3,0,191.771,2.12246
-190.877,0.867107,2.07466,2,3,0,190.928,2.28105
-190.877,0.00342244,2.59513,1,1,0,191.612,2.28105
-191.476,0.992691,0.268493,3,11,0,192.314,2.38397
-191.99,0.981379,0.487714,1,3,0,192.242,2.44736
-191.998,0.999336,0.849561,1,1,0,192.119,2.44824
-190.641,0.952753,1.54213,2,3,0,192.201,2.14953
-190.641,0.129387,2.43433,1,1,0,191.427,2.14953
-190.79,0.98588,0.392489,2,7,0,191.674,2.08595
-191.193,0.96579,0.681043,1,3,0,191.397,2.0161
-192.106,0.818231,1.10884,2,3,0,193.266,1.92911
-191.67,1,1.20354,1,1,0,192.153,1.96491
-191.616,1,2.12019,1,1,0,192.363,1.96987
-191.821,0.285894,3.70096,1,3,1,192.32,2.42788
-191.52,1,0.979323,1,1,0,191.816,2.39001
-190.789,1,1.70463,1,1,0,191.263,2.25798
-190.789,5.84345e-009,2.94136,1,1,0,192.059,2.25798
-190.669,0.996944,0.385737,3,11,0,191.107,2.12869
-190.821,0.942151,0.662271,2,5,0,192.11,2.26681
-190.739,1,0.981717,2,3,0,190.81,2.2421
-190.797,0.953429,1.67271,2,3,0,191,2.26024
-190.797,0.0110079,2.5176,1,1,0,193.351,2.26024
-190.663,0.995118,0.365711,3,9,0,191.404,2.20802
-190.636,0.998698,0.612725,1,3,0,190.702,2.18321
-190.65,0.994306,1.02786,1,3,0,190.689,2.14066
-190.65,0.851365,1.69343,1,1,0,190.857,2.14066
-190.65,0.45764,1.96431,1,3,0,191.767,2.14066
-190.676,0.997706,0.887591,2,3,0,190.685,2.12468
-191.509,0.717957,1.4601,2,3,0,192.372,2.38843
-192.087,0.899268,1.23379,1,1,0,192.137,2.4581
-192.407,0.90998,1.59729,1,1,0,192.815,2.49175
-192.404,0.996898,2.11264,2,3,0,192.53,2.49153
-192.404,1.24527e-005,3.40323,2,3,0,192.427,2.49153
-192.465,0.983104,0.552153,2,3,0,193.186,2.49758
-192.779,0.991315,0.86381,2,3,0,192.846,2.52811
-190.897,1,1.36891,2,3,0,192.309,2.06212
-190.691,1,2.1994,1,3,0,190.752,2.22311
-190.691,3.34484e-029,3.51295,1,1,0,192.593,2.22311
-190.969,0.974477,0.602034,1,3,0,191.356,2.30126
-191.166,0.979785,0.910531,2,3,0,191.334,2.33743
-190.633,0.99192,1.38631,2,3,0,191.205,2.17607
-190.699,0.957572,2.15658,1,1,0,190.704,2.22637
-190.699,9.82596e-029,3.09721,1,1,0,193.98,2.22637
-190.8,0.986487,0.558678,2,5,0,191.251,2.08331
-190.775,0.915792,0.856678,3,7,0,192.367,2.25369
-190.671,0.999029,1.12383,2,7,0,190.768,2.12767
-190.663,1,1.75422,1,1,0,190.681,2.13197
-192.201,0.218334,2.73018,1,1,0,192.457,2.47045
-192.69,0.963382,0.817115,1,1,0,192.699,2.51963
-191.633,1,1.17696,1,1,0,192.522,2.40473
-192.643,0.674766,1.8222,1,1,0,192.985,2.51513
-190.989,1,1.4324,2,3,0,192.208,2.04565
-191.525,0.74636,2.20488,1,3,0,191.555,2.39064
