# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 17:58:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\udpimqgf.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation6\exponential_priors_delta_only-20240422185858.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-63.1695,1,0.0625,2,3,0,110.195,1.80502
-63.1695,0,14.3855,0,1,1,63.1727,1.80502
-63.1695,0,2.43117,0,1,1,63.1892,1.80502
-63.1695,1.44008e-025,0.239791,1,1,0,63.4156,1.80502
-63.4171,0.983427,0.0186273,4,15,0,64.5396,1.76668
-63.9227,0.979999,0.0244855,2,3,0,63.9233,1.72168
-63.8845,0.857507,0.0361256,2,3,0,66.0875,1.72444
-63.5249,0.984895,0.0393592,2,3,0,64.1525,1.75502
-63.1167,0.962528,0.0667089,2,3,0,63.6228,1.88154
-63.0801,1,0.108783,1,1,0,63.1026,1.86338
-63.0898,0.324011,0.203474,1,3,1,63.1229,1.83058
-65.3703,0.797985,0.0454429,2,3,0,65.5039,1.64603
-63.1247,1,0.0458945,2,3,0,64.9863,1.88429
-63.1247,0.0282856,0.0879879,1,1,0,66.3294,1.88429
-63.0886,0.999762,0.00814125,3,11,0,63.2276,1.86914
-63.0793,0.999567,0.0158115,2,7,0,63.1394,1.83755
-63.3016,0.967929,0.0305532,1,3,0,63.641,1.78161
-63.4864,0.985534,0.0532611,2,3,0,63.507,1.759
-63.652,0.906643,0.0973268,1,3,0,63.6823,1.96735
-63.652,0.0244554,0.139189,1,1,0,63.6542,1.96735
-63.107,0.9918,0.0142784,2,7,0,64.6381,1.87787
-63.0727,0.995179,0.0265909,2,5,0,63.2733,1.84605
-63.5209,0.909584,0.049544,1,3,0,63.693,1.75543
-64.1214,0.765761,0.0712744,1,1,0,64.2872,1.7083
-63.2082,1,0.0673614,2,3,0,63.7798,1.79701
