# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 18:02:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\6ewd87mx.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation7\exponential_priors_delta_only-20240422190203.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-164.822,1,0.0625,1,1,0,211.802,1.64837
-164.822,0,14.3855,0,1,1,165.14,1.64837
-164.822,0,2.43117,0,1,1,166.917,1.64837
-164.822,3.17104e-039,0.239791,1,3,1,165.297,1.64837
-164.931,0.998961,0.0186273,2,3,0,165.013,1.64506
-163.211,0.999294,0.0256462,2,3,0,165.111,1.70345
-162.15,1,0.0401912,3,7,0,163.092,2.3064
-160.728,1,0.0683521,1,1,0,161.843,2.17854
-160.144,1,0.12213,1,1,0,160.636,2.0966
-160.144,4.13477e-016,0.224833,1,1,0,160.15,2.0966
-160.218,0.99848,0.0178191,1,3,0,160.248,2.10989
-160.327,0.983185,0.0335953,2,3,0,160.611,2.12713
-160.344,0.896012,0.06085,1,3,0,161.575,1.87839
-160.226,1,0.0840984,2,3,0,160.31,2.11126
-160.226,0.109129,0.161069,1,3,0,160.23,2.11126
-160.225,1,0.019439,1,1,0,160.233,2.11105
-159.875,1,0.037559,3,7,0,160.197,1.9876
-159.893,0.947918,0.0721012,2,3,0,160.125,1.97141
-159.893,0.431641,0.117284,1,1,0,160.228,1.97141
-159.919,0.980795,0.0401626,2,5,0,160.189,2.0382
-160.243,0.878694,0.0720471,2,3,0,160.678,2.11403
-159.97,0.842772,0.0947476,2,3,0,160.426,1.94191
-159.97,0.11214,0.111719,1,1,0,160.977,1.94191
-161.376,0.977498,0.0157198,2,7,0,162.052,1.79228
-159.924,0.996356,0.0277028,2,7,0,161.743,1.95659
-160.176,0.904233,0.0510517,1,3,0,160.792,2.10257
-161.941,0.709046,0.0717433,1,3,0,161.952,2.29028
-160.857,1,0.0579488,1,1,0,161.766,2.19272
-160.857,0.0037677,0.105644,1,1,0,163.199,2.19272
-160.723,0.999868,0.0121749,3,7,0,160.925,2.17801
-162.145,0.986178,0.022257,4,15,0,162.385,1.74984
-159.973,0.990393,0.0388141,2,5,0,162.538,2.05713
-159.875,1,0.0678377,1,3,0,159.954,2.00812
-159.875,0.519943,0.120542,1,1,0,160.051,2.00812
-160.392,0.933965,0.0594543,2,3,0,160.45,2.1366
-161.192,0.8521,0.0880745,2,3,0,161.357,2.22617
-159.906,1,0.104721,1,1,0,160.386,1.96427
-159.906,4.65478e-005,0.182078,1,1,0,160.491,1.96427
-160.014,0.993504,0.0240601,2,5,0,160.201,1.93086
-160.075,0.993407,0.0412493,1,1,0,160.076,1.9182
-160.186,0.965149,0.0701183,1,1,0,160.232,1.89951
-160.186,0.184248,0.110137,1,1,0,161.238,1.89951
-160.622,0.97432,0.0245328,1,3,0,160.986,1.8491
-160.964,0.963955,0.0394479,1,1,0,160.967,1.82054
-159.963,0.911991,0.061404,1,3,0,161.522,2.05413
-162.338,0.529168,0.0836595,2,3,0,162.669,1.7406
-162.821,0.928717,0.044891,1,1,0,163.028,1.7192
-161.084,1,0.0635158,1,1,0,162.421,1.81177
-160.485,1,0.106028,1,1,0,161.214,1.86263
-160.485,3.04468e-006,0.175744,1,1,0,160.659,1.86263
-160.577,0.995119,0.0273968,2,3,0,160.681,1.85335
-159.897,0.999382,0.044982,3,7,0,160.565,2.02743
-159.903,0.971387,0.0740948,2,3,0,160.025,2.03029
-159.903,0.293786,0.113648,1,1,0,160.616,2.03029
-159.931,0.975504,0.0365694,2,7,0,160.378,1.95422
-160.139,0.91312,0.0565486,1,3,0,160.567,2.0958
-160.156,0.994749,0.0754828,1,1,0,160.24,2.09894
-160.156,0.187393,0.120657,1,1,0,161.347,2.09894
-159.953,0.996473,0.0314281,2,7,0,160.299,2.05105
-159.994,0.993089,0.0503955,3,7,0,160.064,2.06329
-159.873,0.988486,0.0797426,2,3,0,160.017,2.00554
-160.353,0.657498,0.124214,1,1,0,160.442,2.13097
-159.957,0.987134,0.0933115,2,3,0,160.2,2.05219
-159.979,0.974152,0.14401,1,1,0,160.097,2.059
-159.979,3.48469e-015,0.215005,1,1,0,160.151,2.059
-160.394,0.973454,0.0393473,2,3,0,160.398,2.13678
-162.031,0.798853,0.058806,2,3,0,162.807,2.29725
-159.872,0.958517,0.0603552,1,3,0,162.51,2.00148
-162.655,0.255798,0.0867841,1,1,0,162.656,1.72627
-162.18,1,0.0283535,1,1,0,162.634,1.74811
-159.959,1,0.0444594,2,3,0,161.92,1.94498
-160.556,0.871295,0.0693713,1,3,0,160.556,1.85543
-160.213,1,0.082532,1,1,0,160.536,1.89553
-160.213,0.0267958,0.127733,1,1,0,160.899,1.89553
-159.891,0.99122,0.0268103,2,7,0,160.671,2.02352
-160.128,0.967705,0.0408006,1,3,0,160.317,2.09366
-160.358,0.985758,0.0589413,2,3,0,160.367,2.13176
-160.485,0.949257,0.0879695,1,1,0,160.684,2.14916
-160.485,0.171412,0.12152,1,1,0,162.073,2.14916
