# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 18:04:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\qmri73ys.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation8\exponential_priors_delta_only-20240422190442.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-216.754,1,0.0625,1,1,0,267.118,1.59036
-216.754,0,14.3855,0,1,1,216.799,1.59036
-216.754,0,2.43117,0,1,1,216.852,1.59036
-216.754,9.55578e-051,0.239791,1,3,0,217.166,1.59036
-213.714,1,0.0186273,2,3,0,216.791,1.65407
-211.65,0.989085,0.0257257,2,3,0,214.416,1.70613
-210.766,1,0.0390783,1,1,0,211.9,1.73153
-210.413,1,0.0664285,2,7,0,210.474,2.85737
-204.306,1,0.11866,1,1,0,206.709,2.18191
-204.306,0.822727,0.218415,1,1,0,204.337,2.18191
-204.306,1.0941e-012,0.233448,1,1,0,205.08,2.18191
-204.54,0.994033,0.0187327,2,7,0,204.866,2.30721
-205.246,0.940529,0.0351709,1,3,0,205.844,2.42542
-204.509,0.847458,0.0560246,1,3,0,207.168,2.10037
-204.455,0.963726,0.0668355,2,3,0,204.851,2.11359
-204.455,0.59828,0.11456,1,3,0,204.92,2.11359
-204.784,0.957831,0.0635218,2,7,0,204.818,2.35652
-204.332,0.972786,0.10679,2,3,0,204.564,2.23498
-204.332,0.330181,0.186737,1,1,0,204.348,2.23498
-204.304,0.994993,0.0469605,2,5,0,204.404,2.18616
-204.737,0.819617,0.0877715,2,3,0,205.033,2.05931
-204.341,1,0.0967687,1,1,0,204.558,2.15384
-204.932,0.399324,0.180879,1,1,0,205.277,2.38096
-205.007,0.989667,0.0584039,3,7,0,205.083,2.39234
-204.743,0.965447,0.10541,2,3,0,205.106,2.34925
-204.743,0.0873439,0.175817,1,3,0,204.753,2.34925
-204.696,0.999954,0.0241693,4,15,0,204.77,2.34046
-204.518,0.980529,0.044606,2,5,0,205.08,2.09842
-204.302,1,0.0771977,1,3,0,204.479,2.19776
-204.302,0.969916,0.139704,1,1,0,204.31,2.19776
-204.317,0.960572,0.230544,1,1,0,204.344,2.22372
-204.317,1.01185e-064,0.367861,1,1,0,204.464,2.22372
-205.015,0.889915,0.0438056,1,3,0,205.891,2.39349
-204.395,0.90464,0.0582099,1,3,0,206.036,2.13133
-205.022,0.803483,0.0800559,1,1,0,205.024,2.02226
-204.445,0.962542,0.0839523,2,3,0,205.077,2.28173
-204.853,0.71537,0.1332,1,1,0,205.082,2.36832
-204.399,0.975929,0.110651,2,3,0,204.664,2.12987
-204.399,0.00142019,0.179987,1,1,0,204.801,2.12987
-205.165,0.985754,0.0242366,4,15,0,205.454,2.00693
-204.984,1,0.0405709,1,1,0,205.159,2.02669
-204.512,1,0.0698373,1,1,0,204.861,2.09982
-204.313,1,0.11924,1,1,0,204.371,2.2201
-204.313,9.89812e-005,0.201982,1,1,0,204.596,2.2201
-204.35,0.997894,0.0291075,2,7,0,204.402,2.24524
-204.371,0.997492,0.0491618,1,1,0,204.372,2.25525
-204.733,0.903857,0.082329,1,3,0,204.879,2.05978
-204.733,0.344822,0.109265,1,1,0,205.696,2.05978
-204.365,1,0.0379869,3,7,0,204.74,2.25245
-204.305,0.998977,0.0634024,1,3,0,204.365,2.2081
-204.305,0.602596,0.104828,1,1,0,204.771,2.2081
-205.029,0.843335,0.0680482,1,3,0,205.233,2.39553
-205.029,0.863424,0.0777583,1,1,0,205.548,2.39553
-205.029,0.705205,0.0929014,1,1,0,205.825,2.39553
-206.016,0.912404,0.0769927,2,3,0,206.023,1.93636
-204.515,1,0.102608,1,1,0,205.326,2.09905
-204.515,0.2357,0.166171,1,1,0,205.162,2.09905
-204.621,0.986898,0.0477767,1,1,0,204.624,2.07813
-204.304,1,0.0750217,1,3,0,204.558,2.1864
-204.304,0.178414,0.120612,1,1,0,205.24,2.1864
-204.303,0.999973,0.0312897,2,7,0,204.306,2.20341
-204.429,0.986592,0.0502637,3,7,0,204.495,2.27677
-204.72,0.712984,0.0779687,2,3,0,206.494,2.06185
-204.592,0.92952,0.0663619,2,3,0,205.402,2.0835
-204.4,0.859321,0.0903625,2,3,0,205.027,2.26679
-204.411,0.998211,0.105423,2,3,0,204.43,2.27052
-204.411,0.182394,0.165209,1,1,0,204.461,2.27052
-204.393,1,0.0454614,1,1,0,204.413,2.26394
-204.789,0.908927,0.071472,2,3,0,205.15,2.3574
-205.337,0.81349,0.0923123,1,1,0,205.48,2.43713
-204.763,1,0.0973734,2,3,0,205.266,2.35295
-204.308,1,0.151303,1,1,0,204.444,2.2136
-204.346,0.903089,0.233985,1,1,0,204.438,2.24296
-204.346,0.703187,0.295026,1,1,0,204.566,2.24296
-204.407,0.83501,0.246399,1,1,0,204.682,2.26911
-204.407,5.47876e-013,0.269675,1,1,0,206.597,2.26911
-204.433,0.948308,0.0542491,1,3,0,204.991,2.1195
-204.337,0.987345,0.0751063,1,3,0,204.508,2.2382
-204.346,0.994285,0.112082,1,1,0,204.369,2.24345
-204.346,2.56524e-011,0.168911,1,1,0,205.803,2.24345
-207.343,0.888116,0.0351338,2,7,0,207.346,2.63432
-208.33,0.978257,0.04298,2,3,0,208.335,2.71171
-209.512,0.850072,0.062659,1,1,0,209.813,2.79662
-213.621,0.839593,0.0707993,2,3,0,213.784,3.05676
-205.812,1,0.078281,1,3,0,211.989,2.49218
-205.737,1,0.118045,2,3,0,205.742,2.48393
-205.737,1.10654e-019,0.177318,1,1,0,206.232,2.48393
-204.331,0.908581,0.0387777,1,3,0,208.235,2.23463
-204.634,0.915909,0.048954,1,3,0,205.37,2.07585
-204.516,1,0.0625324,1,1,0,204.628,2.09878
-204.325,1,0.0934811,1,1,0,204.435,2.16354
-204.511,0.836717,0.139239,1,1,0,204.528,2.30008
-204.511,0.189395,0.152012,1,1,0,204.593,2.30008
-205.312,0.939398,0.0493403,2,3,0,205.371,2.43394
-206.426,0.819211,0.0654648,1,1,0,206.438,2.55373
-204.792,0.973709,0.0693141,1,3,0,206.106,2.35795
-204.792,0.763544,0.0975952,1,1,0,205.345,2.35795
-204.558,1,0.093052,1,1,0,204.786,2.31141
-204.745,0.850345,0.136905,1,1,0,205.038,2.34969
-204.783,0.961222,0.15277,1,1,0,205.291,2.35635
-204.783,3.86186e-008,3.33354,1,3,1,205.306,2.35635
-204.783,0,7.78404,0,1,1,205.174,2.35635
-204.771,1,0.767502,1,1,0,204.872,2.35437
-204.572,0.901147,0.799355,2,7,0,205.553,2.08719
-204.32,1,0.815147,2,3,0,204.527,2.22635
-204.32,0.416229,1.2592,1,1,0,204.882,2.22635
-204.599,0.978842,0.355948,3,7,0,205.274,2.08208
-204.905,0.964824,0.57603,2,3,0,205.108,2.03628
-204.505,0.935938,0.929804,2,3,0,205.272,2.29856
-204.733,0.859388,1.40381,1,1,0,204.906,2.34749
-204.733,0.00048353,1.68639,1,1,0,205.476,2.34749
-204.682,0.999851,0.13541,1,3,0,204.774,2.33771
-204.627,0.999701,0.258332,3,7,0,204.739,2.3267
-204.332,0.996834,0.49366,2,5,0,204.752,2.15897
-204.445,0.983874,0.933287,2,3,0,204.446,2.11627
-204.559,0.888799,1.68744,1,1,0,204.564,2.31171
-204.559,0.0149946,2.26395,1,3,1,204.56,2.31171
-204.31,0.999859,0.210029,3,11,0,204.601,2.21639
-204.31,1,0.400302,2,3,0,204.31,2.21637
-204.305,1,0.756676,1,1,0,204.309,2.20882
-204.755,0.707477,1.41706,1,1,0,204.788,2.05656
-204.383,1,1.10676,1,1,0,204.61,2.13541
-204.383,0.266833,2.04731,1,1,0,204.412,2.13541
-204.667,0.983802,0.445118,2,3,0,204.668,2.07022
-204.446,1,0.78435,1,1,0,204.618,2.11583
-204.446,0.418443,1.43412,1,1,0,204.763,2.11583
-204.312,0.972495,0.499822,1,3,0,204.889,2.21913
-204.453,0.970686,0.840849,1,3,0,204.461,2.28392
-204.453,0.0517672,1.3953,1,1,0,205.5,2.28392
-205.207,0.994825,0.181484,3,15,0,205.307,2.4203
-205.179,1,0.323162,1,1,0,205.225,2.4166
-204.462,1,0.57805,3,7,0,205.097,2.1117
-204.949,0.881976,1.02415,2,3,0,205.147,2.38357
-205.155,0.980784,1.31146,2,3,0,205.161,2.41334
-204.625,1,2.17337,1,1,0,205.378,2.32633
-204.625,0,3.75787,0,1,1,206.754,2.32633
-204.603,1,0.474287,3,7,0,204.639,2.32159
-204.425,1,0.822678,1,1,0,204.566,2.27539
-204.881,0.713652,1.41478,1,1,0,204.882,2.03935
-204.944,0.965117,1.16288,1,1,0,205.259,2.03142
-206.886,0.116788,1.81092,1,1,0,207.134,2.59544
-207.07,0.994297,0.33284,1,1,0,207.094,2.61137
-205.042,1,0.558798,3,7,0,207.01,2.39738
-204.903,1,0.944218,1,1,0,205.157,2.37643
-204.903,0.931182,1.5833,1,1,0,205.458,2.37643
-204.903,1.98582e-008,2.22801,1,1,0,204.983,2.37643
-204.96,0.998032,0.327015,1,1,0,204.964,2.38527
-205.169,0.980431,0.543692,1,1,0,205.179,2.41517
-204.627,1,0.860573,2,3,0,205.048,2.3268
-204.627,0.353361,1.41786,1,1,0,204.982,2.3268
-204.427,1,0.505357,3,7,0,204.634,2.27608
-204.346,1,0.829837,2,3,0,204.408,2.24325
-204.302,1,1.35368,1,1,0,204.318,2.19271
-204.302,0.105459,2.19402,1,1,0,204.471,2.19271
-204.332,0.993608,0.453009,1,3,0,204.423,2.23493
-204.437,0.965961,0.724027,1,3,0,204.638,2.11836
-204.804,0.821745,1.08038,2,3,0,205.144,2.36005
-205.272,0.81689,1.1589,1,1,0,205.476,2.42884
-205.26,0.985551,1.22851,2,3,0,205.332,1.99746
-205.26,3.50167e-006,1.89426,1,1,0,206.208,1.99746
-205.26,0.999982,0.32806,1,1,0,205.302,1.99742
-204.305,0.998916,0.523453,3,7,0,205.304,2.20902
-204.305,0.625709,0.828631,1,3,0,206.28,2.20902
-204.878,0.950933,0.579465,2,5,0,204.894,2.03963
-204.878,0.843662,0.821888,1,1,0,205.375,2.03963
-204.311,0.947693,0.921879,2,3,0,205.171,2.2171
-204.323,0.994515,1.2898,1,3,0,204.324,2.16517
-204.323,0.7514,1.98586,1,1,0,204.33,2.16517
-204.323,0.00601808,1.81984,1,1,0,205.163,2.16517
-205.358,0.942432,0.348131,2,7,0,206.599,2.43973
-205.369,0.999193,0.48058,1,1,0,205.445,2.44113
-204.302,1,0.743938,2,3,0,205.203,2.19561
-204.303,0.970709,1.14813,2,3,0,204.35,2.20448
-204.828,0.570425,1.66054,1,1,0,204.977,2.04628
-204.828,0.140045,1.05381,1,1,0,207.084,2.04628
-204.648,0.999222,0.279505,1,3,0,204.892,2.07351
-204.645,1,0.428854,1,1,0,204.671,2.07398
-204.302,1,0.656146,2,3,0,204.592,2.19847
-204.36,0.975399,0.999572,2,3,0,204.4,2.14494
-204.664,0.780011,1.44362,1,1,0,204.78,2.07074
-205.897,0.579028,1.40877,2,3,0,205.918,2.5012
-204.89,1,0.92395,2,3,0,205.664,2.3743
-204.492,1,1.39342,1,1,0,204.809,2.29516
-204.48,0.354436,2.09312,1,3,0,204.524,2.10703
-204.33,1,0.889399,1,1,0,204.435,2.16034
-204.348,0.988713,1.33355,1,3,0,204.352,2.24431
-204.348,0.0641697,1.94895,1,1,0,205.037,2.24431
-204.348,0.977749,0.479574,1,3,0,204.675,2.24431
-204.308,0.999787,0.687053,2,3,0,204.351,2.21413
-204.302,1,1.02312,1,3,0,204.306,2.20033
-204.302,0.0103313,1.51869,1,1,0,205.514,2.20033
-204.304,0.999305,0.346391,3,7,0,204.331,2.18675
-204.304,0.99248,0.514091,3,7,0,204.458,2.20778
-204.362,0.907683,0.750651,2,3,0,205.046,2.144
-204.532,0.944385,0.932664,1,1,0,204.537,2.09542
-204.989,0.752897,1.23814,1,1,0,205.169,2.02608
-204.989,0.648074,1.15082,1,1,0,205.729,2.02608
-207.41,0.439155,0.882436,1,1,0,207.453,1.85695
-207.054,1,0.462339,1,1,0,207.509,1.87469
-207.911,0.830124,0.677974,1,1,0,208.257,1.83395
-207.911,5.65429e-013,2.91068,1,2,1,207.915,1.83395
-207.911,1.13303e-098,6.79662,1,3,1,208.551,1.83395
-204.528,0.993443,0.670142,2,5,0,208.323,2.30421
-204.351,0.969548,0.685865,3,7,0,205.254,2.14888
-204.734,0.965403,0.849301,3,7,0,204.74,2.05972
-204.583,1,1.19251,1,1,0,204.756,2.08518
-204.583,0.023675,2.01825,1,1,0,206.042,2.08518
-204.515,0.999734,0.17231,4,15,0,204.706,2.09896
-204.474,1,0.307194,2,3,0,204.518,2.10867
-205.354,0.966085,0.565127,3,7,0,205.642,1.98858
-204.312,1,0.950308,2,3,0,205.347,2.17504
-204.38,0.950619,1.79436,1,1,0,204.398,2.13675
-204.38,0.00149626,2.90771,1,1,0,205.176,2.13675
-204.38,0.997901,0.240275,3,15,0,204.701,2.25894
-204.377,1,0.457231,1,1,0,204.382,2.25776
-204.344,0.977933,0.872232,1,3,0,204.59,2.15234
-204.473,0.957624,1.54509,2,3,0,204.481,2.10884
-204.635,0.269273,2.55543,1,3,0,204.706,2.32833
-205.096,0.970696,0.521392,1,3,0,205.3,2.40521
-204.323,1,0.899568,2,3,0,205.016,2.22834
-204.323,0.122534,1.68039,1,1,0,206.056,2.22834
-205.327,0.987191,0.232222,4,15,0,206.455,2.43592
-204.553,0.991997,0.418754,3,7,0,205.999,2.31042
-204.412,0.969853,0.758564,2,3,0,204.962,2.27089
-204.302,0.989362,1.2767,2,3,0,204.433,2.19419
-204.302,0.382429,2.25244,1,1,0,204.507,2.19419
-206.584,0.830505,0.705348,2,5,0,206.756,2.56843
-206.905,0.965682,0.793112,1,1,0,207.07,2.59713
-205.042,1,1.29702,2,3,0,206.507,2.02002
-205.042,0.00150645,2.31292,1,1,0,205.541,2.02002
-205.232,0.996096,0.265231,1,3,0,205.305,2.00011
-205.25,0.994835,0.469664,2,3,0,205.474,1.99838
-204.875,0.957356,0.821104,2,3,0,205.841,2.04003
-204.318,0.996529,1.28695,1,3,0,204.724,2.22426
-204.521,0.806324,2.22155,1,1,0,204.621,2.30267
-204.745,0.757611,2.30546,1,1,0,204.799,2.0581
-204.745,0.00773732,2.10568,1,1,0,206.598,2.0581
-204.424,0.99999,0.276473,3,15,0,204.767,2.27504
-204.43,0.999696,0.478951,1,1,0,204.434,2.27707
-204.359,0.997677,0.822086,2,3,0,204.468,2.24968
-204.576,0.914485,1.39234,1,1,0,204.59,2.3157
-204.304,1,1.89846,1,1,0,204.382,2.18583
-204.373,0.851069,3.18867,1,1,0,204.487,2.13933
-204.373,0.00100987,3.67672,1,1,0,204.383,2.13933
-204.328,0.999786,0.524102,3,7,0,204.392,2.16147
-204.409,0.965117,0.877875,1,3,0,204.62,2.27001
-204.33,1,1.34209,1,1,0,204.384,2.23337
-206.03,0.188724,2.21804,1,1,0,206.547,2.515
-205.109,0.99151,0.524074,2,3,0,206.425,2.40702
-204.344,0.986667,0.848294,2,3,0,205.284,2.24229
# Adaptation terminated
# Step size = 1.06996
# Diagonal elements of inverse mass matrix:
# 0.00443597
-204.341,1,1.06996,1,1,0,204.353,2.24065
-204.318,0.893408,1.06996,2,3,0,205.043,2.16876
-204.623,0.923237,1.06996,2,3,0,204.859,2.07786
-204.32,0.987061,1.06996,1,3,0,204.701,2.22631
-204.32,0.984575,1.06996,2,3,0,204.426,2.16721
-204.343,0.953912,1.06996,2,3,0,204.607,2.24174
-204.343,0.656472,1.06996,1,3,0,206.086,2.24174
-204.535,0.965883,1.06996,1,3,0,204.537,2.30599
-204.535,0.883224,1.06996,1,1,0,204.945,2.30599
-204.847,0.8979,1.06996,2,3,0,205.503,2.04372
-204.678,1,1.06996,2,3,0,204.872,2.0684
-204.305,0.99656,1.06996,1,3,0,204.692,2.20843
-204.312,0.997008,1.06996,1,3,0,204.323,2.17425
-204.401,0.981847,1.06996,1,3,0,204.403,2.12924
-204.353,0.983682,1.06996,1,3,0,204.53,2.24689
-204.308,0.906031,1.06996,2,3,0,205.002,2.17889
-204.32,0.994908,1.06996,1,3,0,204.341,2.22595
-204.311,0.926404,1.06996,2,3,0,204.785,2.17606
-204.357,0.991059,1.06996,1,3,0,204.357,2.14607
-205.243,0.82301,1.06996,1,3,0,205.278,1.9991
-204.673,1,1.06996,1,1,0,205.109,2.06923
-204.701,0.992158,1.06996,1,1,0,204.797,2.06474
-204.785,0.976508,1.06996,1,1,0,204.878,2.05221
-204.319,0.965765,1.06996,2,3,0,205.01,2.16793
-204.359,0.983324,1.06996,2,3,0,204.435,2.14512
-204.712,0.958267,1.06996,2,3,0,204.718,2.34347
-204.494,1,1.06996,1,1,0,204.672,2.29569
-204.546,0.952607,1.06996,2,3,0,204.961,2.30864
-204.382,1,1.06996,1,1,0,204.507,2.25971
-204.35,0.970915,1.06996,2,3,0,204.613,2.14951
-204.316,1,1.06996,1,1,0,204.341,2.17033
-204.327,0.922795,1.06996,2,3,0,204.783,2.23147
