# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_delta_only_model
# start_datetime = 2024-04-22 18:06:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp3493fqb0\gyiv9wrw.json
# init = 0
# random
#   seed = 5509238
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\exponential_priors_delta_only\max_T=400\realisation9\exponential_priors_delta_only-20240422190652.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors_delta_only.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,delta
-182.474,1,0.0625,1,1,0,230.802,1.68964
-182.474,0,14.3855,0,1,1,182.82,1.68964
-182.474,0,2.43117,0,1,1,182.613,1.68964
-182.474,2.66707e-045,0.239791,1,1,0,183.006,1.68964
-181.848,0.999629,0.0186273,2,3,0,182.572,1.71388
-181.848,1,0.0256973,1,1,0,181.992,1.7139
-180.628,1,0.0403605,1,1,0,181.705,1.77142
-180.036,1,0.068645,1,1,0,180.765,1.80741
-178.705,1,0.122658,1,1,0,178.992,2.04775
-178.705,6.72632e-019,0.22581,1,1,0,179.071,2.04775
-179.2,0.995378,0.0178966,4,15,0,179.364,2.15442
-178.711,1,0.0334124,3,7,0,179.179,1.96981
-178.831,0.971278,0.0638109,1,1,0,178.831,1.93547
-178.665,1,0.111639,1,1,0,178.725,2.00569
-178.665,6.62754e-009,0.213484,1,1,0,179.196,2.00569
-178.667,0.999888,0.0183404,2,7,0,178.675,2.0008
-178.722,0.996604,0.0354385,3,7,0,178.772,1.96565
-179.417,0.804152,0.0673574,1,3,0,179.878,2.18308
-178.773,0.94312,0.0709084,2,3,0,179.879,2.0728
-178.773,0.176672,0.113448,1,1,0,179.354,2.0728
-178.671,0.999592,0.0183524,3,11,0,178.833,1.99502
-178.666,0.999688,0.0349013,1,3,0,178.678,2.00536
-178.73,0.985072,0.0657417,1,3,0,178.74,1.9628
-178.695,1,0.117497,1,1,0,178.735,1.97749
-178.71,0.958126,0.217174,1,1,0,178.828,1.97027
-178.71,7.0473e-005,0.35255,1,3,1,178.805,1.97027
