# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:03:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\i2h2amp8.json
# init = 0
# random
#   seed = 308621210
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation0\improper_uniform_priors-20240425140308.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-40.0366,0.334552,0.125,2,3,0,46.1674,0.673916,0.64512,1.34231
-40.0366,0,4.29013,0,1,1,41.2666,0.673916,0.64512,1.34231
-40.0366,0,0.506564,0,1,1,40.5219,0.673916,0.64512,1.34231
-30.8667,0.972548,0.0407133,4,15,0,42.5118,0.963397,1.00291,2.42545
-32.4353,0.967534,0.0447931,3,7,0,32.6738,0.952032,0.955529,2.59911
-32.7777,0.990696,0.0583404,3,7,0,32.9725,1.12569,1.20803,1.99114
-32.6025,1,0.0910485,3,11,0,36.8113,1.07256,2.7423,4.25126
-34.0413,0.336938,0.156959,2,3,0,34.4813,0.756294,2.60958,4.6708
-35.4596,0.991072,0.0351848,2,3,0,35.6068,0.721955,2.74987,4.74885
-31.9534,0.995299,0.0625946,2,3,0,35.6065,0.85193,2.54827,4.81809
-28.2872,0.971795,0.115264,3,15,0,32.3502,1.20674,1.47078,3.69223
-28.2872,0.202001,0.199326,1,3,0,28.8791,1.20674,1.47078,3.69223
-29.7689,0.9893,0.0306771,5,31,0,30.2651,1.44384,1.74794,4.89212
-29.6834,0.986457,0.0569745,3,7,0,30.6009,1.2238,1.75185,5.26551
-28.9169,0.9613,0.104832,3,11,0,29.9818,0.898774,1.56165,3.03864
-28.9169,1.22033e-009,0.177837,1,3,0,31.8805,0.898774,1.56165,3.03864
-28.5581,0.99914,0.0155996,5,31,0,30.0229,1.27454,1.44872,3.4765
-28.5426,0.998709,0.0300625,4,31,0,31.0196,1.22747,1.95603,4.89529
-28.4309,0.978534,0.0574267,3,7,0,29.6874,1.25483,1.90182,4.64174
-28.432,0.977423,0.102372,3,7,0,28.8672,1.1104,2.08399,4.564
-28.432,0.00453556,0.180414,1,1,0,29.3806,1.1104,2.08399,4.564
-28.6845,0.996934,0.0177614,4,15,0,28.9543,1.08586,2.03011,4.72149
-28.7896,0.994935,0.0333772,3,7,0,29.1596,1.12565,2.01602,4.94698
-28.8278,0.988769,0.0617435,4,19,0,29.2942,1.18981,1.301,2.81263
-28.7389,0.994525,0.111097,3,7,0,29.0891,0.928288,1.48041,2.94591
-29.4741,0.227929,0.201264,2,3,0,29.9276,0.868778,1.37319,2.72094
-29.0101,0.997581,0.0411553,4,23,0,30.0866,1.23109,1.52042,4.37162
-28.5115,0.865493,0.07511,3,7,0,30.6601,1.24527,1.42041,3.68997
-28.4954,0.917796,0.093942,1,3,0,29.1115,1.2414,1.54421,3.38389
-32.8611,0.078567,0.135256,2,3,0,35.5664,1.53201,0.985801,3.79785
-32.7237,1,0.0194393,4,15,0,32.9007,1.52415,0.987215,3.74993
-32.8923,1,0.0352364,3,7,0,33.213,1.51939,0.984164,3.86534
-31.7058,0.884078,0.0632493,3,7,0,37.0075,1.42591,0.93496,2.67911
-31.6782,0.993131,0.0825004,3,7,0,33.5722,0.957388,1.14513,1.89466
-29.8421,0.443681,0.143052,2,3,0,33.6642,0.898529,1.29387,2.87497
-29.4611,1,0.0579784,4,15,0,30.0154,1.12795,1.29012,3.63438
-29.7593,0.806264,0.101728,1,3,0,31.5785,0.986756,1.45102,3.69492
-29.804,0.933183,0.107146,3,9,0,30.8741,1.02189,1.65297,4.3433
-29.804,0.0412346,0.156203,1,3,0,32.174,1.02189,1.65297,4.3433
-29.0435,1,0.0233057,4,15,0,30.0053,1.08264,1.6754,4.3702
-28.063,0.973962,0.0404562,3,15,0,31.1596,1.14334,1.73039,3.61536
-28.0982,0.998046,0.0652337,3,15,0,28.1544,1.13153,1.76307,3.61967
-27.9869,0.99663,0.110894,2,7,0,28.1815,1.12144,1.67214,3.53066
-27.9869,0.0222884,0.186382,1,1,0,28.4816,1.12144,1.67214,3.53066
-28.3043,0.990613,0.0283808,4,31,0,29.3897,1.04801,1.40569,2.92324
-28.5137,0.990321,0.0470988,3,15,0,31.3973,1.01265,2.00155,3.99457
-28.3149,0.99925,0.0775394,2,3,0,28.5515,1.05256,1.97761,4.01855
-29.6982,0.764968,0.129505,3,7,0,31.7487,0.854794,1.36586,2.7371
-29.1744,0.988346,0.122702,3,7,0,29.9749,1.00324,1.57455,2.73911
-29.1744,0.0108304,0.197639,2,3,0,29.7644,1.00324,1.57455,2.73911
-29.4234,0.997289,0.0315816,4,31,0,31.1232,0.940419,1.91471,4.18351
-29.6178,0.99749,0.0520682,4,15,0,30.5203,0.943919,2.1159,4.45669
-30.4327,0.929995,0.0853093,2,3,0,31.446,0.897653,2.32099,3.91709
-29.4775,0.72173,0.118804,3,7,0,31.8322,0.911836,1.77628,3.8461
-30.1126,0.957479,0.102107,2,3,0,30.46,0.877634,1.83815,3.95208
-30.0246,0.658341,0.150551,2,3,0,30.3206,1.45287,1.42959,4.20835
-28.5885,0.893884,0.112084,2,3,0,30.5959,1.23067,1.64009,4.42491
-28.5422,0.669173,0.142385,3,7,0,29.0514,0.985859,1.50511,3.32129
-28.0901,1,0.109009,3,7,0,28.4431,1.18772,1.69098,3.68742
-28.0901,0.0719887,0.174859,2,7,1,28.7051,1.18772,1.69098,3.68742
-29.5056,0.984205,0.0357638,4,15,0,30.034,1.29921,1.52945,4.71235
-29.5966,0.989939,0.0554484,3,15,0,30.995,1.41166,1.42424,4.02405
-28.6347,0.966441,0.0865934,3,7,0,30.098,1.15022,1.90808,3.66967
-28.3205,1,0.127817,3,7,0,28.5152,1.20133,1.9136,4.06222
-28.3205,0.173251,0.201935,1,3,0,30.1698,1.20133,1.9136,4.06222
-29.6643,0.98061,0.0536534,4,23,0,30.139,0.957416,2.3003,4.51952
-28.9456,0.999248,0.081282,3,7,0,30.2232,1.05741,2.24634,4.75346
-29.4244,0.828213,0.127509,2,7,0,34.1884,0.885791,1.32194,2.64266
-30.2585,0.776575,0.138622,2,7,0,31.6142,1.41588,1.19209,3.58943
-28.7889,0.991088,0.135058,3,7,0,30.3054,1.32591,1.71677,4.01132
-28.7889,1.04063e-010,0.20613,1,1,0,30.7292,1.32591,1.71677,4.01132
-29.245,0.967901,0.0398338,3,15,0,32.166,1.00244,1.912,3.26829
-28.8561,0.95938,0.0580488,2,7,0,30.3262,1.1319,1.81449,3.36267
-30.4097,0.988422,0.082785,3,15,0,32.0814,0.839178,1.21912,2.49761
-28.7431,0.983197,0.124824,3,7,0,30.3772,1.33143,1.62462,4.22038
-28.7431,3.131e-006,0.185417,1,3,1,31.1706,1.33143,1.62462,4.22038
-28.8708,0.996672,0.0373703,3,7,0,29.1507,1.34148,1.55589,4.15555
-28.9736,0.966933,0.0571469,3,15,0,30.2021,1.08769,1.47891,2.74432
-32.5677,0.660043,0.0819687,2,7,0,32.6804,0.880266,1.15458,3.04451
-32.7145,0.943862,0.0634607,3,7,0,36.012,0.790778,1.46529,2.07774
-34.7017,0.418181,0.0865752,1,1,0,35.4108,0.79707,1.54411,2.01728
-30.0842,1,0.0416246,3,7,0,36.6644,1.05289,1.0888,2.86945
-29.4523,0.957633,0.0633465,3,7,0,32.4794,1.29447,1.16894,3.22727
-29.9151,0.856844,0.0883624,3,7,0,31.2014,0.908995,1.45924,2.41951
-28.7503,0.767072,0.100938,3,7,0,31.5044,1.31783,1.65956,3.86042
-28.5629,0.960072,0.0967354,2,3,0,29.1535,1.2454,1.48584,3.98267
-28.5629,0.324087,0.134644,2,7,0,31.659,1.2454,1.48584,3.98267
-28.2643,0.999707,0.0549853,3,11,0,29.0647,1.12803,1.42699,3.02967
-29.0845,0.913128,0.0825147,2,5,0,29.6405,0.960965,1.24864,2.60214
-29.9202,0.875463,0.104599,3,11,0,31.0716,1.20192,1.38043,4.29909
-29.6964,0.897622,0.123177,2,7,0,31.0993,0.976855,1.93225,4.55446
-27.977,0.683591,0.151025,2,7,0,29.1863,1.13684,1.77185,3.90202
-29.3845,0.610226,0.123578,2,3,0,30.1182,1.19976,1.47828,4.37745
-28.3693,0.997933,0.0882859,4,15,0,30.3587,1.26407,1.76207,4.38323
-32.1183,0.535893,0.130319,3,7,0,32.3455,1.36938,1.20058,2.44111
-29.9938,0.95652,0.081304,4,15,0,33.4795,1.44265,1.9854,4.88134
-28.807,0.9832,0.110822,3,7,0,30.7395,1.31709,1.66881,4.5516
-28.6115,0.995674,0.158236,1,1,0,28.8909,1.25357,1.65555,4.47667
-28.6115,0.00691264,0.23046,1,3,1,29.3889,1.25357,1.65555,4.47667
-29.1564,0.985859,0.0550225,4,15,0,29.7713,0.904259,1.38607,2.8448
-28.6868,0.941344,0.63045,2,3,0,29.2833,0.980648,1.34708,2.71299
-28.6868,0,8.15191,0,1,1,29.53,0.980648,1.34708,2.71299
-28.6868,3.29236e-006,1.33482,1,1,0,29.5847,0.980648,1.34708,2.71299
-33.049,0.99096,0.129303,5,31,0,33.9135,1.00286,0.762663,1.89283
-32.1032,1,0.168517,4,15,0,33.2118,1.14447,0.843747,1.82989
-29.5241,0.993764,0.261327,4,23,0,33.0341,1.10137,2.32227,5.50729
-31.0197,0.84426,0.434054,3,7,0,33.2282,1.20464,2.98886,6.31015
-28.7518,0.990735,0.476539,3,7,0,31.6353,1.17437,2.24697,4.77467
-28.7518,0.00087752,0.846443,2,3,0,31.0551,1.17437,2.24697,4.77467
-28.3092,0.999834,0.0672077,5,47,0,30.0468,1.20672,1.98282,4.45604
-29.5197,0.987386,0.125639,3,7,0,29.596,1.18326,1.97312,5.49453
-28.8149,0.959231,0.228093,3,7,0,31.5056,1.26532,2.01175,4.28137
-29.8188,0.976042,0.380387,3,15,0,30.5667,0.833669,1.84923,3.38398
-29.8188,0.0766657,0.668836,2,7,0,33.9719,0.833669,1.84923,3.38398
-29.6376,1,0.0709848,5,31,0,30.2503,0.880301,1.99219,3.44089
-27.9875,0.984777,0.135698,4,23,0,30.984,1.12961,1.72235,3.91986
-29.6912,0.988966,0.246059,4,31,0,30.7283,1.2569,1.07645,2.8758
-30.2029,0.778804,0.448857,3,15,0,32.4487,1.322,1.585,3.15825
-30.0169,1,0.429649,2,3,0,30.6048,1.1543,1.54567,4.69045
-30.9523,0.682554,0.800913,3,7,0,34.2563,1.20842,0.88828,2.31047
-32.6354,0.950463,0.573959,2,7,0,34.5059,1.2248,0.760693,1.90628
-32.6015,0.906664,0.913637,1,1,0,32.8723,1.14943,0.751553,2.0766
-32.6015,0.0482651,1.26959,2,3,0,34.2058,1.14943,0.751553,2.0766
-31.9828,0.999284,0.144766,4,15,0,33.1839,1.19245,0.803656,2.32497
-31.1068,0.96409,0.265502,3,7,0,33.4411,1.32307,0.967827,2.37055
-28.6673,0.945732,0.435938,3,15,0,33.2739,1.19195,1.57681,4.27882
-29.4136,0.788314,0.673912,2,7,0,29.695,1.03902,1.62328,4.22085
-29.6877,0.852781,0.664653,2,7,0,30.2377,1.02839,1.89847,4.78976
-29.3655,0.199361,0.784674,3,7,0,30.5736,0.999887,2.21293,4.74604
-29.7681,0.985774,0.152021,3,7,0,30.7309,0.998758,2.30245,3.97945
-27.9917,0.902836,0.260818,4,15,0,33.3365,1.11218,1.54152,3.40197
-29.4235,0.959067,0.354052,2,7,0,30.172,0.865926,1.75812,3.04785
-28.189,0.977756,0.556413,2,3,0,29.6357,1.03062,1.74112,3.75376
-28.96,0.32643,0.912461,2,3,0,29.0332,0.950764,1.87166,3.30234
-28.7894,0.98064,0.264146,3,15,0,33.2477,1.33668,1.76695,4.52489
-28.3764,0.977606,0.435583,3,7,0,29.3011,1.2237,1.58578,4.12472
-28.6498,0.877908,0.706988,3,15,0,29.1674,1.04577,1.50046,3.65071
-28.6498,0.421339,0.879794,2,5,0,28.9047,1.04577,1.50046,3.65071
-28.8917,0.952456,0.337727,3,15,0,30.3845,1.13974,1.60215,4.33465
-31.2963,0.798697,0.509329,3,11,0,33.5516,1.27418,1.12922,2.27905
-30.1583,0.780804,0.517343,3,11,0,34.2678,1.15368,1.7153,5.16669
-28.9263,0.944631,0.50224,2,3,0,30.3051,1.23373,2.07236,4.20647
-28.318,0.991049,0.733745,3,7,0,28.9282,1.08714,1.80567,4.23595
-28.318,2.18298e-015,1.19574,1,1,0,29.0097,1.08714,1.80567,4.23595
-28.7976,0.989725,0.169531,3,15,0,29.5319,1.18227,1.69429,4.60642
-30.9015,0.987373,0.276295,4,15,0,33.0264,1.0793,0.931442,2.47147
-30.9625,0.979534,0.44463,3,7,0,31.4961,1.09999,0.973534,1.9845
-31.8231,0.761966,0.697475,3,11,0,35.3629,1.32623,2.9345,5.81626
-31.3849,0.561222,0.646558,2,3,0,33.7356,1.2269,2.20418,6.9147
-32.9943,0.972958,0.372587,3,7,0,34.0108,1.51259,2.82568,6.32951
-29.4153,1,0.570801,3,7,0,32.7999,1.17124,2.03764,3.7185
-29.1353,0.114248,0.926301,3,11,0,30.5359,1.0632,1.54741,4.04186
-29.4805,0.993125,0.190291,3,15,0,31.3001,1.39516,1.66078,3.9371
-29.077,0.990282,0.30414,3,11,0,30.4202,1.11596,1.97207,5.02847
-28.313,0.996455,0.480006,2,7,0,29.0116,1.20323,1.91572,4.08795
