# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:04:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\yhc24g0x.json
# init = 0
# random
#   seed = 4014884693
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation1\improper_uniform_priors-20240425140435.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-19.8098,0.471847,0.125,2,7,0,26.5527,1.02771,0.762476,2.02462
-19.8098,0,5.50658,0,1,1,21.0461,1.02771,0.762476,2.02462
-19.8098,0,0.700125,0,1,1,20.3194,1.02771,0.762476,2.02462
-19.113,0.97952,0.0586979,3,11,0,23.3841,0.991604,0.800306,1.09263
-18.7346,0.970843,0.0676432,2,3,0,20.2249,0.89043,0.624809,1.36544
-16.746,1,0.0905843,2,3,0,18.3548,0.957716,0.668279,1.35166
-16.746,9.72377e-005,0.147192,1,1,0,17.7006,0.957716,0.668279,1.35166
-15.8494,0.999546,0.011381,6,95,0,18.284,0.779172,1.05513,1.73016
-15.3353,0.998453,0.019958,5,31,0,16.2088,0.861603,0.942939,1.61452
-15.1491,0.999672,0.0362434,3,15,0,15.5258,0.921397,0.917909,1.58673
-15.1798,0.9818,0.0676181,2,7,0,15.6584,0.985457,0.907694,1.54796
-15.6514,0.633891,0.120758,3,7,0,15.8444,0.966116,0.968306,1.49814
-17.0902,0.73926,0.0725282,3,11,0,18.5845,1.11657,0.995547,2.37145
-17.1877,0.971353,0.0612716,3,15,0,19.1148,1.0434,1.05267,1.53057
-15.6397,0.89381,0.107509,1,3,0,17.0879,0.927727,1.06304,1.60756
-15.9531,0.340692,0.147942,3,7,0,17.4334,0.871526,0.793639,1.46168
-19.5755,0.905088,0.037068,4,23,0,22.4441,1.13745,0.766599,1.12742
-16.8515,0.998122,0.0532572,4,15,0,20.6995,0.718082,1.27135,1.76347
-16.2362,0.955088,0.101104,3,7,0,17.4799,0.853657,1.24713,1.79266
-16.2362,7.36047e-005,0.167207,2,3,0,16.9494,0.853657,1.24713,1.79266
-15.4569,0.999557,0.0159259,4,15,0,16.5132,0.87187,1.15075,1.88075
-15.1964,0.985,0.0303196,4,23,0,16.6951,1.04407,0.945637,1.67726
-16.6107,0.983616,0.0547697,3,15,0,16.9577,1.13949,0.667999,1.42702
-16.3045,1,0.0976254,2,3,0,16.5685,1.12695,0.691626,1.40856
-20.2908,0.171976,0.18073,1,3,0,22.7181,1.35227,0.467807,1.03986
-16.1126,0.984272,0.0310912,4,23,0,22.3889,0.982824,0.709511,1.38703
-15.4159,0.99971,0.0550445,4,15,0,16.2916,1.0574,0.865137,1.52435
-17.6867,0.976106,0.100812,2,7,0,18.6167,0.857331,0.584682,0.966351
-17.6867,0.212875,0.171151,2,3,0,18.55,0.857331,0.584682,0.966351
-16.7057,0.998185,0.0349975,4,15,0,18.4232,1.10863,0.635435,1.28064
-17.6735,0.915453,0.063127,4,15,0,19.4744,1.10102,1.47052,3.21284
-16.3808,0.968085,0.0900687,3,7,0,18.107,0.982094,1.44889,2.46702
-16.3808,0.0281322,0.147219,2,3,0,17.8838,0.982094,1.44889,2.46702
-15.5192,0.99896,0.0193713,5,63,0,17.9909,0.845463,1.144,1.8335
-15.5817,0.995006,0.0345113,4,31,0,16.3433,0.891802,0.827247,1.31316
-15.2128,0.997493,0.060285,3,11,0,16.9487,1.00538,0.870055,1.56433
-15.5617,0.983768,0.105053,3,7,0,15.6836,0.835489,1.14856,1.81277
-15.5617,0.0211955,0.175136,1,3,0,16.907,0.835489,1.14856,1.81277
-15.7802,0.997965,0.024442,5,63,0,15.8919,1.10815,0.778536,1.45994
-16.0734,0.999591,0.0423781,4,15,0,16.4003,1.01398,0.691044,1.30191
-15.256,1,0.0731581,3,7,0,16.1259,0.972219,0.867652,1.47338
-15.5645,0.425979,0.125381,2,7,0,16.6617,1.08195,1.14752,2.21412
-16.6953,0.984203,0.0509696,3,7,0,16.895,1.27763,1.26404,2.65452
-15.185,0.923894,0.0835419,3,15,0,17.7982,0.984433,1.09478,1.88021
-16.6416,0.680123,0.117219,1,3,0,16.7799,0.883993,1.06772,2.08671
-16.1466,1,0.0902997,2,3,0,16.564,1.00178,1.22977,1.88201
-16.1466,0.0827335,0.151496,2,7,0,18.1983,1.00178,1.22977,1.88201
-15.4036,0.989364,0.0277763,3,9,0,16.842,0.958365,1.19028,2.01143
-16.7024,0.948691,0.0454608,3,15,0,18.3801,0.990579,1.51437,2.48679
-16.1893,0.977684,0.0670975,3,15,0,17.6938,1.25787,0.938387,1.9982
-15.4586,0.386053,0.105467,2,5,0,18.9685,1.06643,0.919148,1.83369
-15.3108,0.996774,0.0412326,1,3,0,15.5433,1.07282,0.936827,1.80767
-15.1402,1,0.0675464,3,7,0,15.3417,0.919182,1.04469,1.73794
-15.799,0.901467,0.110753,1,3,0,16.4249,0.814393,1.15451,1.70283
-15.2258,0.745499,0.14389,2,3,0,15.8573,0.913098,1.08909,1.77174
-16.8875,0.405476,0.13051,2,7,0,17.6921,1.26238,0.791954,1.5076
-17.2931,0.956755,0.0548095,1,1,0,17.3049,1.28906,0.794999,1.49544
-17.0143,1,0.0805807,2,3,0,17.5013,1.1648,0.717154,1.70046
-16.1768,0.999869,0.129886,2,3,0,17.167,1.13142,0.729952,1.37071
-16.1768,0.278906,0.208066,1,3,0,17.0013,1.13142,0.729952,1.37071
-15.657,1,0.0672029,3,7,0,16.4772,0.850933,0.791286,1.30383
-16.1242,0.934081,0.107475,3,7,0,16.2954,1.03301,0.723371,1.25062
-16.9324,0.694027,0.147967,2,3,0,17.2168,0.862537,0.652033,1.21224
-15.8483,0.970734,0.120408,3,11,0,16.9917,1.01104,1.20914,1.91065
-15.8483,0.000232204,0.178626,1,1,0,16.2693,1.01104,1.20914,1.91065
-16.0907,0.998355,0.0327403,5,31,0,17.0616,0.924833,0.696715,1.25533
-18.1498,0.849264,0.0516603,2,7,0,19.4597,0.832344,0.597333,1.15684
-16.8082,0.986362,0.059062,3,7,0,18.2991,0.914678,0.626586,1.1423
-16.7768,0.99805,0.0900856,2,3,0,17.1088,0.906061,0.649551,1.0703
-16.2251,0.996419,0.140162,3,7,0,16.847,0.955021,0.699486,1.17338
-16.2251,0.00291707,0.216276,1,3,1,16.8879,0.955021,0.699486,1.17338
-16.653,0.965964,0.0420382,3,7,0,17.3445,0.894776,0.678702,1.08434
-15.3022,0.963604,0.0609988,4,15,0,17.6136,0.933276,1.12266,1.81289
-15.2979,0.997634,0.0877292,3,7,0,15.4716,0.995704,1.06645,1.97438
-15.2979,0.339689,0.134758,2,7,0,15.7897,0.995704,1.06645,1.97438
-16.7758,0.945977,0.0539204,4,15,0,17.7857,0.819637,0.687008,1.23489
-18.733,0.906215,0.0744325,2,7,0,20.7221,0.852444,0.582737,1.19482
-15.2009,0.978869,0.0945109,3,7,0,18.3884,1.04981,0.933654,1.73148
-15.9707,0.812736,0.138502,3,7,0,16.3682,0.794504,0.887172,1.53815
-15.5395,0.333337,0.145093,2,3,0,17.6235,1.00456,0.89604,1.76784
-15.727,0.996177,0.0585833,4,15,0,16.1569,0.934004,0.770626,1.4334
-16.2255,0.914176,0.0885264,3,7,0,16.8739,1.18404,0.808603,1.49615
-16.2623,0.486087,0.113372,3,7,0,17.5507,1.14752,0.839359,1.88535
-16.0321,0.974068,0.0626066,4,21,0,16.8863,0.855591,1.12881,2.01518
-15.4672,0.987402,0.0900292,3,7,0,16.4515,1.11285,0.949696,1.71145
-16.494,0.590916,0.132396,3,7,0,17.5174,1.01802,1.47496,2.58965
-15.8925,0.865042,0.0901784,3,15,0,18.0696,0.892335,1.19564,1.77211
-15.3852,0.948539,0.104418,2,3,0,16.107,0.957149,0.972651,1.82465
-15.6773,0.972809,0.141663,3,7,0,15.7179,0.875716,0.82051,1.47621
-15.6773,0.543139,0.200722,1,1,0,16.5312,0.875716,0.82051,1.47621
-15.6315,0.41372,0.125458,3,7,0,16.2932,0.810643,0.89822,1.51795
-15.3047,0.996664,0.0616594,5,31,0,15.9686,0.843515,0.927631,1.48532
-15.2261,0.371281,0.0912656,2,7,0,18.0345,0.972744,0.872203,1.49059
-15.2291,0.990645,0.0417359,4,23,0,15.869,1.03478,1.06727,1.8527
-17.6373,0.736339,0.0609714,2,7,0,19.311,1.18514,1.14877,1.80006
-17.5741,1,0.0553673,3,15,0,18.1025,0.836819,1.04269,2.07674
-16.7044,1,0.0819186,2,3,0,17.6587,1.05837,1.13421,1.70891
-16.7044,0.423638,0.120794,1,3,0,19.0073,1.05837,1.13421,1.70891
-16.4687,1,0.0617145,3,15,0,17.9679,0.920229,1.40277,2.43568
-18.0296,0.566705,0.0908013,2,7,0,19.6215,0.830925,1.10617,2.21554
-18.0296,8.84477e-047,0.969093,1,1,0,19.6722,0.830925,1.10617,2.21554
-18.0296,0,2.2629,0,1,1,19.4424,0.830925,1.10617,2.21554
-19.5345,0.991597,0.22312,4,19,0,20.1312,1.27886,0.617935,1.81943
-15.8659,0.991827,0.227234,4,23,0,20.9862,0.950333,1.32019,2.15716
-17.0493,0.984129,0.29977,5,31,0,18.8618,1.12879,0.623973,1.18284
-15.4229,0.996677,0.446208,3,11,0,18.1677,1.00686,1.19127,2.09918
-15.6172,0.949006,0.749895,3,7,0,16.033,1.13767,0.848936,1.66127
-15.6172,0.175254,1.14286,1,3,0,17.1367,1.13767,0.848936,1.66127
-16.7236,0.985028,0.157161,4,27,0,18.2353,1.15728,1.39924,2.40824
-16.0371,0.999192,0.276341,4,31,0,17.3382,0.888307,1.24654,1.84372
-15.2945,0.941194,0.516254,2,5,0,16.6768,0.947939,0.973557,1.78941
-15.2945,0.000273191,0.809094,1,3,0,16.6748,0.947939,0.973557,1.78941
-15.1857,0.999597,0.0656871,6,79,0,15.8793,1.035,0.995199,1.84756
-17.5804,0.997006,0.125558,5,35,0,17.9998,0.603755,0.879136,1.14688
