# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:06:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\xio5p76w.json
# init = 0
# random
#   seed = 4154317557
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation2\improper_uniform_priors-20240425140637.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-12.1757,1,0.0625,1,1,0,21.7679,1.00394,0.934711,1.13415
-12.1757,0,14.3855,0,1,1,14.2343,1.00394,0.934711,1.13415
-12.1757,0,2.43117,0,1,1,16.6155,1.00394,0.934711,1.13415
-12.1757,2.76882e-068,0.239791,1,3,1,12.3672,1.00394,0.934711,1.13415
-2.77146,1,0.0186273,3,7,0,13.0521,1.06113,0.805984,1.42095
-0.908096,0.999529,0.0257257,4,15,0,3.14314,1.09404,0.860092,1.65605
-2.00114,0.895386,0.0403482,1,3,0,3.1695,1.12835,0.883514,1.54895
3.84374,0.989295,0.0495513,4,15,0,3.91613,1.10161,2.23346,3.88676
2.16756,0.719145,0.0853424,2,7,0,-1.24014,1.14577,2.22257,5.42913
3.8359,0.985136,0.0646058,2,7,0,-0.957177,1.16121,2.27154,4.71198
4.51601,0.997769,0.11521,2,7,0,-3.45625,1.08674,1.70133,3.33753
4.51601,0.0109685,0.216266,1,3,0,-1.15502,1.08674,1.70133,3.33753
3.21275,0.997493,0.0182332,4,15,0,-3.11871,0.883523,1.98419,3.22278
0.156935,0.961958,0.0348244,3,7,0,0.100416,0.734453,2.11528,3.65672
3.65311,1,0.0595245,3,7,0,1.55253,1.30472,2.18221,4.7275
2.22979,0.637245,0.114248,1,3,0,-1.33779,1.23017,2.66211,4.56914
3.28146,0.906996,0.0714194,2,7,0,0.994747,1.35099,2.22894,4.9537
3.79166,0.994481,0.102711,2,3,0,-3.18414,1.25417,2.12086,4.72097
3.79166,1.65277e-008,0.191868,1,1,0,-1.97196,1.25417,2.12086,4.72097
3.46244,0.999653,0.017879,5,63,0,-2.41497,0.928962,1.44425,2.62241
1.67285,0.915295,0.0341543,3,7,0,-0.915852,1.03165,1.69344,2.50589
1.76911,1,0.0503619,2,3,0,-1.1913,1.00491,1.72444,2.534
4.13416,1,0.0946572,3,7,0,-2.0892,1.0006,1.59206,3.08022
4.1428,0.376022,0.176131,1,3,0,-3.94723,1.04342,1.764,3.03849
3.3292,0.925869,0.0537267,3,15,0,-1.8085,1.2969,1.41146,3.30506
4.03021,1,0.0804929,2,3,0,-3.31135,1.24689,1.55277,3.31618
-0.224577,0.0225938,0.147796,3,15,0,0.935635,1.42218,1.25537,2.38669
3.07093,0.999791,0.0172549,5,63,0,1.19657,1.28269,1.30763,3.03148
3.20058,0.999729,0.0317619,5,31,0,-2.42886,1.21857,1.27255,2.68679
3.87182,0.99312,0.0578659,4,15,0,-2.42962,0.936111,1.88359,3.36763
3.74432,0.842239,0.102508,2,3,0,-3.14487,0.946506,2.00508,3.36747
2.86249,0.900935,0.119404,3,7,0,-1.42637,1.23511,2.69597,5.17595
2.83849,0.566586,0.162498,2,3,0,-1.83812,1.11664,2.2522,5.11301
2.11284,0.958117,0.0900553,2,3,0,-2.10141,1.17683,2.74598,4.60512
2.27398,0.978991,0.142213,2,3,0,-1.51959,1.46192,1.82872,4.74178
2.27398,0.0967423,0.235511,1,1,0,-0.634967,1.46192,1.82872,4.74178
3.33538,0.995415,0.0387312,3,15,0,-0.858823,1.24379,2.51249,4.99315
2.35444,0.873352,0.0670641,2,3,0,-2.01302,1.33803,2.63729,5.06026
3.54937,0.993611,0.0841446,2,7,0,-2.22937,1.24744,2.18978,4.97228
3.20284,0.516735,0.142932,2,7,0,-2.09523,0.972298,1.70125,3.59668
3.01475,0.978113,0.0720735,2,3,0,-2.71592,1.06544,1.97148,3.09307
3.01475,0.123009,0.11693,2,7,0,0.526103,1.06544,1.97148,3.09307
2.98361,0.99967,0.0223489,4,21,0,-2.5273,1.02711,1.47182,3.32646
2.49484,0.967535,0.0382886,4,15,0,-0.579244,0.890825,1.58509,3.22828
3.77493,0.964725,0.0601389,2,7,0,-1.14563,1.05046,1.60956,3.48259
2.69375,0.968936,0.0931976,2,3,0,-2.33777,1.42357,1.79544,3.74101
2.47063,0.345838,0.144992,3,7,0,-1.21247,1.1867,1.4126,3.65529
1.51283,0.990638,0.050074,3,7,0,-0.789057,0.943351,2.14648,3.04883
1.8843,1,0.0818741,2,7,0,-0.102271,0.918674,2.13363,4.38123
1.8843,0.000166386,0.135945,1,1,0,-0.294614,0.918674,2.13363,4.38123
-2.08241,0.961645,0.0212371,5,47,0,5.81271,1.23596,0.929895,2.94647
-4.34024,0.98941,0.0322944,3,7,0,4.74555,1.2658,0.859151,3.06604
-0.0925028,0.986027,0.0520885,3,7,0,5.44858,1.28152,1.16978,2.06763
4.19025,0.982786,0.0828322,3,15,0,1.54343,1.23153,1.85516,4.0648
1.81749,0.841226,0.129951,4,15,0,-1.3506,1.02553,1.24174,2.06228
4.10369,0.866008,0.146736,2,7,0,-1.85349,1.23791,1.85362,3.56095
4.10369,1.99226e-007,0.174977,2,3,0,-1.28785,1.23791,1.85362,3.56095
4.0816,0.999063,0.0295673,4,23,0,-2.51721,1.21753,1.738,3.29051
4.41581,0.997375,0.0478506,3,15,0,-3.55511,1.02686,1.75931,3.24088
2.42873,0.926518,0.0766887,3,7,0,-1.30313,0.818975,1.47107,2.44787
3.46209,0.869517,0.104462,3,15,0,0.730643,1.2431,2.41507,4.60522
1.19491,0.246721,0.125047,3,11,0,0.293747,1.04567,1.39041,3.56421
2.18592,0.996409,0.0382493,3,7,0,-0.705134,1.23724,2.01802,3.2964
0.87436,0.788493,0.060545,2,7,0,1.53235,1.04768,1.44694,3.78747
3.22202,0.945804,0.0608063,2,7,0,0.538196,0.977597,1.8638,2.91265
4.0778,0.914124,0.0856284,3,7,0,-0.547947,0.964793,1.68601,2.9783
4.17766,0.871673,0.11224,2,3,0,-3.52421,1.06284,1.75307,3.04856
1.62281,0.346016,0.134006,2,7,0,0.848217,1.13177,1.67039,4.44712
3.55737,0.99488,0.0525418,2,7,0,-1.44853,1.28426,1.70464,4.12367
1.92836,0.981001,0.0814431,3,7,0,-1.39703,0.822198,1.31873,2.36462
2.88428,0.731068,0.122037,3,7,0,-0.0422963,1.10484,1.47601,2.47693
4.17321,0.944,0.108238,3,11,0,-1.1823,1.17959,2.04102,4.33236
4.17321,0.000796733,0.149332,1,1,0,-2.96888,1.17959,2.04102,4.33236
3.45117,0.997125,0.0294498,4,15,0,-3.39532,1.36944,1.95178,4.29109
2.46234,0.916681,0.045445,2,3,0,-1.91938,1.45061,2.01448,4.2509
4.33035,0.934327,0.0592536,3,7,0,-0.963748,1.1075,2.09277,3.9448
3.78446,0.958129,0.079847,2,7,0,-3.33407,1.31885,2.01421,4.28777
4.06517,0.825877,0.11254,2,5,0,-3.02997,1.01664,1.93941,3.8147
-1.01677,0.409227,0.12121,3,15,0,2.20058,1.28011,2.02371,2.99116
4.07866,1,0.0567535,2,7,0,1.16668,1.24412,1.57368,3.36403
3.76166,0.999063,0.0866119,3,15,0,-3.59816,1.04197,2.30419,4.16025
3.76166,0.204861,0.131382,2,3,0,-2.9832,1.04197,2.30419,4.16025
3.9086,0.998639,0.0415651,4,31,0,-3.17447,1.20981,1.46579,2.95908
3.3604,0.948582,0.0629554,3,15,0,-2.25186,1.33464,1.63379,3.31565
4.40715,0.900912,0.0861392,3,7,0,-1.38157,1.09083,1.62462,3.28385
3.76265,0.991119,0.107121,3,11,0,-3.47837,1.1525,2.29897,4.75932
4.35428,0.579576,0.158242,2,7,0,-3.28571,1.02654,1.90843,3.57285
2.19705,0.56355,0.105548,2,7,0,-1.1522,1.00125,1.93047,4.39301
4.31334,0.996774,0.0685196,2,7,0,-2.55136,1.16231,2.04959,3.85555
4.04251,0.319289,0.101955,3,9,0,-0.952219,1.12863,1.42913,2.92911
3.95673,0.981732,0.0417988,2,7,0,-3.24989,0.994458,1.52822,2.99902
3.43797,0.878988,0.0603611,3,15,0,-1.77191,1.07087,1.85903,4.15822
1.66363,0.920386,0.0716126,3,7,0,-1.02037,1.48726,2.18084,4.45908
2.77098,0.744842,0.0916651,3,15,0,0.552788,0.881988,1.44185,2.36907
2.59384,0.633387,0.0843943,3,7,0,-0.355584,1.16012,1.23216,2.31644
1.95989,0.861857,0.0632163,2,7,0,-0.0218517,0.999254,1.11561,2.06777
3.8727,0.975855,0.0724109,3,7,0,-0.702328,0.95654,1.55318,2.76777
3.31131,0.748261,0.102185,3,7,0,-2.41543,1.35106,2.07256,4.85355
2.9905,0.754854,0.0947298,1,3,0,-1.44697,1.28133,2.28144,4.11048
3.87824,0.970232,0.0889308,2,5,0,-1.757,1.30237,1.88357,4.21927
2.73681,0.985795,0.49424,3,11,0,-2.105,0.911977,1.29313,2.39254
2.73681,0,6.92863,0,1,1,-0.913362,0.911977,1.29313,2.39254
2.73681,1.20422e-010,1.16202,1,1,0,-1.98967,0.911977,1.29313,2.39254
3.73783,0.997079,0.114112,4,15,0,-2.29013,0.960214,1.48917,2.65595
1.96881,0.996754,0.152643,4,15,0,-1.58728,0.790721,2.05404,3.30777
4.38603,0.99993,0.235909,4,15,0,-1.94425,1.01695,1.78205,3.28542
3.10072,0.934375,0.400827,3,7,0,-2.70343,0.898888,1.5015,2.48136
1.92046,0.957379,0.58413,3,7,0,-0.996491,1.49979,1.57033,3.72838
3.23028,0.300217,0.938332,2,7,0,2.94708,1.06544,1.26828,2.68716
