# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:20:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\90kfegup.json
# init = 0
# random
#   seed = 3359125489
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation6\improper_uniform_priors-20240425142027.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
13.835,0.341421,0.125,2,3,0,-2.09581,1.15915,0.760676,1.80136
13.835,0,4.34404,0,1,1,-12.0366,1.15915,0.760676,1.80136
13.835,0,0.514832,0,1,1,-12.4032,1.15915,0.760676,1.80136
14.8482,0.99712,0.0414654,3,7,0,-12.9945,1.28633,0.809008,1.85864
15.9503,0.989553,0.0490033,3,7,0,-14.3722,1.2423,0.881917,1.9345
18.8026,1,0.068421,3,11,0,-15.6144,0.925434,1.37568,2.11477
18.508,0.942658,0.11034,3,9,0,-17.1317,1.33158,1.59539,3.14445
18.508,0.00168925,0.15963,2,3,0,-15.4027,1.33158,1.59539,3.14445
19.619,0.999587,0.0124793,5,47,0,-17.3656,1.11859,1.63986,2.94678
16.4308,0.941912,0.0226919,4,23,0,-12.4787,0.800471,1.36548,2.57271
16.974,0.945799,0.0352449,2,3,0,-14.8001,0.795895,1.37128,2.49534
16.3723,0.998635,0.0562194,3,15,0,-15.7117,1.29504,1.5555,3.8831
16.3525,0.914138,0.10674,3,7,0,-15.4936,0.86854,2.20665,2.91941
17.621,0.302364,0.15576,1,3,0,-15.7886,0.985746,1.70474,3.44948
18.8398,0.989122,0.0337679,3,7,0,-16.1435,1.19519,1.79455,2.98582
18.0881,0.996995,0.0628889,3,15,0,-17.7908,0.975175,1.29558,1.946
19.0328,0.983129,0.119417,3,7,0,-17.4486,1.2586,1.56359,2.99979
19.0328,2.27129e-005,0.215874,1,1,0,-18.3649,1.2586,1.56359,2.99979
