# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:22:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\n4htwgh6.json
# init = 0
# random
#   seed = 1582331695
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation7\improper_uniform_priors-20240425142233.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-82.7266,0.932404,0.125,2,7,0,92.285,1.77594,0.293025,3.11711
-82.7266,0,12.7218,0,1,1,85.2148,1.77594,0.293025,3.11711
-82.7266,0,2.0731,0,1,1,84.6929,1.77594,0.293025,3.11711
-82.7266,3.35333e-013,0.200266,1,3,1,85.0838,1.77594,0.293025,3.11711
-79.4522,0.995902,0.0153558,4,15,0,84.7082,1.44663,0.29457,2.9229
-78.0156,0.999998,0.0207748,6,63,0,80.3651,1.33663,0.352697,2.15794
-77.2616,0.989846,0.0324424,4,15,0,78.8317,1.33481,0.439942,1.9449
-76.4598,0.990643,0.0532678,3,15,0,79.056,1.08295,0.612697,1.64867
-75.9787,0.965268,0.0921969,4,19,0,77.294,1.09095,0.834285,2.86098
-77.8958,0.626004,0.151891,1,3,0,78.6395,0.888045,0.914051,2.79339
-78.3505,0.980463,0.087106,2,7,0,80.2991,1.45127,0.859412,2.91794
-76.3343,0.804138,0.154862,2,5,0,77.5413,1.29549,0.722613,3.31671
-76.3343,0.230346,0.158874,1,1,0,77.2087,1.29549,0.722613,3.31671
-76.4216,0.990075,0.0271237,4,31,0,77.9026,1.29872,0.925808,4.12421
-77.3223,0.992361,0.0506795,3,15,0,78.7913,1.34413,0.621956,4.07866
-78.8662,0.940695,0.095093,3,7,0,79.1005,0.761821,0.839494,2.06382
-76.6617,0.760873,0.151413,2,7,0,79.5233,1.33826,0.703057,2.59739
-76.2845,1,0.138591,2,3,0,76.8646,1.02188,0.727522,2.38973
-76.2845,1.34104e-023,0.262647,1,1,0,78.2258,1.02188,0.727522,2.38973
-76.1936,0.999903,0.0244129,5,47,0,77.4377,1.19489,1.0822,3.70919
-76.6583,0.983593,0.0465515,3,7,0,76.8935,1.2206,1.17071,3.45873
-75.8583,0.842326,0.0837838,3,11,0,78.2747,1.12111,0.926358,2.91452
-76.1926,0.993273,0.0987649,4,31,0,76.3011,1.19449,0.573314,2.05463
-76.522,0.705301,0.180151,2,3,0,76.8871,1.08532,0.578508,2.20697
-76.4028,0.873528,0.141909,3,7,0,77.0867,1.19145,0.541271,1.82791
-75.9947,0.79172,0.181563,3,11,0,76.8494,1.13584,1.00822,3.01713
-75.9947,0.0382689,0.183519,2,3,0,83.682,1.13584,1.00822,3.01713
-76.1904,0.998793,0.0223488,6,63,0,76.8076,1.11317,0.581937,1.84235
-77.8662,0.952546,0.0409347,3,7,0,78.3112,1.24654,0.679961,1.73885
-78.6986,0.917893,0.0653271,3,7,0,80.0717,1.329,0.679123,1.80025
-75.9395,1,0.0940842,3,11,0,78.917,1.21039,0.901642,3.20591
-75.9395,0.245527,0.168333,3,7,0,77.0931,1.21039,0.901642,3.20591
-75.8343,0.948115,0.0390869,4,15,0,78.9749,1.11225,0.721725,2.27504
-76.2205,0.967981,0.0607344,4,23,0,77.0717,1.05341,0.96151,3.1198
-75.8629,0.969237,0.0987627,3,15,0,77.6225,1.17307,0.87097,2.74935
-76.4369,0.562874,0.159877,3,7,0,77.0533,1.14778,1.19308,3.93113
-77.8911,0.996341,0.0889729,4,25,0,78.0416,1.41566,1.2841,10.1078
-79.9825,0.74697,0.153433,4,15,0,80.3302,1.60724,0.583229,21.7448
-77.5753,0.915373,0.138265,4,15,0,81.7739,1.2057,1.58347,5.38752
-77.5753,7.59035e-005,0.191676,2,7,1,80.5747,1.2057,1.58347,5.38752
-78.2656,0.996055,0.026098,6,63,0,78.584,1.53168,0.929117,7.37643
-76.8762,0.999387,0.0446274,5,63,0,78.7425,0.967539,1.17095,3.0234
-76.7875,0.982332,0.0763306,3,15,0,78.4046,1.38525,0.751416,3.49573
-77.8522,0.813819,0.124168,3,15,0,79.029,1.08401,1.18545,5.03421
-77.8522,0.632183,0.132563,1,3,0,79.9548,1.08401,1.18545,5.03421
-77.4721,0.974322,0.0907705,3,15,0,79.5715,1.44752,0.847611,3.60389
-76.2745,0.899471,0.143097,3,13,0,78.0301,1.2984,0.815717,3.00122
-76.6713,0.107794,0.187204,2,7,0,77.7557,1.29795,0.998834,3.2353
-76.4916,0.999988,0.0368078,4,15,0,76.8601,1.25683,1.02866,3.20178
-77.6725,0.957201,0.0614458,3,11,0,78.1749,1.01282,1.16821,4.15586
-78.6645,0.986158,0.0920852,5,39,0,81.4331,1.62348,1.05417,163.467
-78.3681,0.93133,0.146872,4,15,0,78.8787,1.66986,1.07035,270.909
-78.3681,0.0216939,0.20492,2,5,1,80.1609,1.66986,1.07035,270.909
-76.0806,0.998673,0.0347763,6,87,0,80.4228,1.66748,0.326603,7788.51
-76.0182,1,0.0569001,2,3,0,76.0799,1.62942,0.324382,7816.4
-77.7976,0.83585,0.0927858,5,31,0,78.5752,1.51224,0.0751998,8214.43
-67.6985,0.937921,0.103626,6,63,0,78.4581,1.79024,3.60226,6.60512e+006
-63.9971,0.967245,0.145446,4,23,0,68.8444,1.48958,18.2318,3.9896e+007
-63.9971,3.72878e-007,0.217072,1,3,1,64.8675,1.48958,18.2318,3.9896e+007
-60.115,0.999773,0.03742,7,127,0,64.9128,1.6482,252.954,8.21035e+007
-53.1387,0.999463,0.0602002,6,63,0,60.8961,1.64047,25686.8,8.59788e+008
-36.1229,0.940694,0.0962245,6,63,0,55.0157,1.51788,903342,8.24879e+014
-36.1229,0.574888,0.134495,1,1,0,36.7548,1.51788,903342,8.24879e+014
-36.73,0.995193,0.0845117,3,11,0,36.8051,1.50735,693298,6.31172e+014
-32.2852,0.953452,0.132451,5,31,0,37.4067,1.78297,2.68891e+007,1.98248e+015
-31.6776,1,0.188779,1,1,0,32.1151,1.68157,2.72691e+007,1.86533e+015
-32.2737,0.268566,0.296003,1,3,1,33.1753,1.54458,2.06577e+007,1.45078e+015
77.8837,0.988215,0.0975143,7,191,0,37.2137,1.55907,4.86633e+027,4.00492e+042
94.5023,0.991042,0.14891,6,63,0,-76.1317,1.5486,8.45508e+032,3.97537e+044
94.5023,0.0467817,0.227674,1,3,1,-91.5268,1.5486,8.45508e+032,3.97537e+044
116.572,0.998749,0.0480747,7,255,0,-91.1678,1.5475,5.0896e+036,2.55112e+050
456.016,0.977026,0.0747863,8,287,0,-115.876,1.73037,9.22679e+112,4.47178e+121
468.365,0.985845,0.110694,5,43,0,-452.219,1.50687,5.65589e+115,1.7786e+124
