# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:23:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\f97zr8fa.json
# init = 0
# random
#   seed = 1117257761
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation8\improper_uniform_priors-20240425142333.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-45.0745,0.000326687,0.125,2,7,1,46.6661,1,1,1
-45.0745,0,2.33645,0,1,1,46.7277,1,1,1
-45.0745,1.83696e-116,0.230413,1,3,1,45.2774,1,1,1
-38.1848,0.924612,0.016709,2,3,0,51.1568,0.980736,0.970415,1.06629
-29.6802,1,0.0150318,5,63,0,39.534,1.91088,1.21888,3.40875
-28.7172,0.997957,0.0205673,4,15,0,31.2065,1.88419,1.21496,3.68372
-28.1651,0.999276,0.0319096,4,31,0,30.5826,1.29796,0.902613,3.55363
-21.3962,0.969224,0.0539388,3,7,0,29.7172,1.1714,1.32713,2.74575
-21.9619,0.848185,0.0872915,3,15,0,22.7357,1.24817,1.52332,2.98305
-21.6594,1,0.0993339,2,3,0,22.0063,1.12486,1.33568,2.93411
-22.4386,0.292096,0.185776,2,5,0,22.8444,1.11383,1.4262,3.33427
-21.786,0.999466,0.0375154,3,11,0,22.834,1.12806,1.61132,3.31818
-23.8851,0.943175,0.0715015,3,15,0,24.851,1.15533,2.23198,4.18591
-25.9019,0.823796,0.114486,2,3,0,26.6894,0.943834,2.46931,4.30536
-23.2834,0.874996,0.126367,3,7,0,26.8033,1.38574,1.16066,3.32224
-21.6489,0.206772,0.163877,2,7,0,23.1546,1.21063,1.32803,2.98255
-22.0177,0.993591,0.0271745,3,7,0,22.1324,1.26489,1.39077,2.72878
-21.9293,0.999058,0.0512779,3,15,0,22.6822,1.30231,1.34064,3.06003
-21.6427,0.878443,0.0976514,2,3,0,22.3065,1.24151,1.40883,2.98002
-21.6427,0.133546,0.128299,2,5,0,23.4394,1.24151,1.40883,2.98002
-22.4299,0.999043,0.0182322,5,31,0,22.7145,1.22039,1.82265,3.58693
-21.9986,0.992224,0.0346185,4,31,0,23.1665,0.990653,1.70143,3.03059
-23.075,0.961976,0.0638022,3,7,0,23.2893,0.857767,1.72011,3.03065
-24.373,0.613682,0.106654,2,3,0,24.9828,0.973217,1.84683,2.63366
-23.0778,0.992579,0.0648082,2,5,0,25.4641,1.0542,1.70025,2.64472
-22.9415,0.945986,0.117295,3,7,0,23.5088,0.889188,1.68716,3.11723
-22.0494,0.155079,0.18422,2,6,1,24.0852,1.02766,1.3832,2.95161
-21.5393,0.986205,0.0311447,2,7,0,22.9616,1.05886,1.433,2.90254
-21.8456,0.995145,0.054926,3,15,0,22.4372,1.04312,1.14576,2.05324
-21.6072,0.518504,0.0983558,2,3,0,23.4748,1.00173,1.19468,2.32331
-21.5887,0.979493,0.0472849,3,15,0,26.7322,1.13232,1.17326,2.54184
-22.4894,0.86766,0.080474,3,7,0,23.6083,0.915345,1.07609,2.09998
-22.3052,1,0.100453,3,7,0,22.8315,1.2004,1.01271,2.43349
-22.3052,0.111479,0.177929,2,5,1,25.3816,1.2004,1.01271,2.43349
-24.568,0.943744,0.0296322,2,7,0,25.7254,1.1546,0.933131,2.6642
-22.434,1,0.0452897,2,3,0,24.5209,1.23565,1.02524,2.55534
-22.4505,0.911392,0.0796192,2,7,0,27.0816,1.24466,1.42187,3.53634
-22.0676,0.994984,0.110296,3,7,0,23.4315,1.29576,1.23116,2.56314
-21.781,0.333574,0.188414,1,3,0,23.2635,1.09748,1.58251,2.79625
-22.2263,0.946973,0.0591412,3,7,0,22.7453,0.934302,1.43551,2.81222
-23.8348,0.640288,0.0891482,3,15,0,28.7217,0.946854,1.07794,1.64242
-22.6829,0.881576,0.0618259,2,3,0,25.376,0.929751,0.976895,1.8474
-23.0002,0.985513,0.0786494,3,7,0,23.7109,0.893577,0.968119,1.82502
-23.0002,0.0340217,0.128923,3,7,0,24.7617,0.893577,0.968119,1.82502
-22.751,0.99991,0.0202589,5,31,0,24.1079,1.07721,0.923484,1.74256
-21.5467,0.998875,0.0344737,4,31,0,23.3357,1.18251,1.44668,2.81378
-21.4417,0.998822,0.0580695,5,31,0,22.1965,1.06513,1.46048,2.87665
-21.4093,0.952054,0.0970811,3,7,0,22.7703,1.12887,1.28249,2.46888
-22.1724,0.581499,0.144101,3,7,0,22.4004,1.12654,1.15777,2.07114
-21.9586,0.986952,0.0882973,3,11,0,22.5217,1.03819,1.45028,2.41463
-24.8574,0.112588,0.141595,3,7,0,26.3075,1.12557,0.812271,2.23529
-25.1204,0.998878,0.0291237,3,11,0,27.2966,1.51552,0.756129,2.17524
-23.5778,0.99937,0.0480528,2,7,0,25.6108,1.35117,0.828225,2.10885
-23.9435,0.989067,0.0788488,2,3,0,24.0758,1.39758,0.810056,2.13627
-22.3448,0.826184,0.125538,2,7,0,25.3007,1.16168,1.61878,2.80605
-22.5497,0.658792,0.137,3,7,0,23.2176,1.03649,1.25545,2.03415
-22.5867,0.959969,0.102159,3,7,0,23.5596,1.06549,1.13935,1.91829
-22.5867,0.00253961,0.150706,3,7,0,25.2932,1.06549,1.13935,1.91829
-21.9813,0.999482,0.0259109,3,15,0,23.3293,1.16087,1.08625,2.1025
-21.9024,0.999559,0.0418765,5,31,0,22.277,0.947634,1.41259,2.329
-21.5831,0.999943,0.0672927,3,15,0,22.5781,1.06471,1.47805,2.99056
-27.6173,0.0685902,0.107604,1,1,0,27.6206,0.926176,1.30118,3.45637
-21.6187,0.999805,0.0223129,3,7,0,27.879,1.09404,1.56836,3.13132
-21.6872,0.997526,0.0356919,4,23,0,22.2811,1.25472,1.35542,2.97758
-21.7773,0.997883,0.0564985,2,3,0,21.8445,1.26449,1.36494,3.07567
-22.2637,0.987965,0.0890253,3,7,0,22.4349,0.852721,1.42393,2.43622
-22.2637,0.000398168,0.136618,3,7,0,24.4641,0.852721,1.42393,2.43622
-21.5171,0.999845,0.0255582,4,23,0,22.5833,1.20865,1.40177,2.91461
-21.7896,0.978645,0.0402951,3,7,0,22.1255,1.25223,1.36279,2.74453
-21.9787,0.985826,0.0604504,3,7,0,22.7855,1.29255,1.41306,2.9228
-21.3651,0.952488,0.0916466,2,7,0,22.3558,1.04401,1.28343,2.4334
-23.5671,0.350677,0.129042,2,7,0,23.6775,0.956572,1.60155,2.33003
-22.4851,0.967863,0.0520979,2,3,0,24.1296,0.959304,1.58892,2.48223
-22.7034,0.538677,0.07565,3,7,0,25.8215,0.905197,1.70758,2.66474
-22.6793,0.956854,0.045426,3,7,0,23.719,0.930082,1.41385,2.88925
-21.4012,0.995395,0.0642814,3,7,0,22.6928,1.03438,1.368,2.65573
-22.4679,0.959475,0.0979988,3,7,0,22.7838,1.33543,1.46883,3.5995
-22.4679,0.168557,0.138357,2,7,0,23.9584,1.33543,1.46883,3.5995
-21.509,0.999895,0.0397911,4,31,0,23.2788,1.20474,1.25491,2.62976
-21.4887,0.999706,0.0609518,4,15,0,21.6113,0.992781,1.4133,2.62216
-21.4556,0.967639,0.0929322,2,7,0,22.2703,1.07865,1.40427,2.85901
-21.4556,0.940937,0.132429,1,3,0,21.5694,1.07865,1.40427,2.85901
-21.3984,0.470636,0.178425,1,3,0,21.4705,1.12822,1.41153,2.89411
-21.8937,0.908229,0.0953875,2,7,0,23.4188,1.01207,1.48975,2.47821
-22.1403,0.903991,0.120403,3,7,0,22.9618,0.88584,1.40387,2.27649
-22.1403,0.0109023,0.150394,2,5,0,24.6117,0.88584,1.40387,2.27649
-21.688,0.988651,0.0333839,3,11,0,22.8659,1.02833,1.37842,2.36507
-21.4656,0.986334,0.0492522,3,15,0,23.8654,1.19417,1.29075,2.73872
-22.106,0.982589,0.0720788,3,15,0,23.4171,1.12747,1.76783,3.50554
-22.8416,0.924214,0.104366,3,9,0,23.9572,1.00628,0.937874,1.69186
-22.78,0.472118,0.134815,3,7,0,25.0836,1.40759,1.3547,2.96798
-25.6449,0.848681,0.0739623,3,11,0,27.5643,0.717086,0.882177,1.33704
-25.359,0.983396,0.0828137,3,7,0,26.7193,0.649676,1.02239,1.60862
-24.2316,1,0.119202,2,3,0,25.5256,0.713205,1.13305,1.68823
-24.2316,0.0158322,0.176406,2,3,0,26.1557,0.713205,1.13305,1.68823
-22.5408,0.994639,0.0418543,3,7,0,24.5044,0.880677,1.16865,1.88997
-21.9815,0.898981,0.0613874,4,15,0,23.9751,1.24011,1.09658,2.57252
-22.8827,0.939975,0.0752493,3,15,0,23.2474,1.30927,1.08206,2.94079
-21.7887,0.86293,0.0992638,2,3,0,23.8997,1.12583,1.15982,2.59802
-22.3844,0.514842,0.113492,2,3,0,23.9065,1.35619,1.12627,2.70607
-25.807,0.399269,0.550628,2,3,0,27.0856,1.50122,0.871596,3.18807
-25.807,0,2.65724,0,1,1,25.9175,1.50122,0.871596,3.18807
-23.2687,0.962506,0.324893,3,7,0,26.4158,1.3532,0.942788,2.07057
-21.648,0.975955,0.346227,4,15,0,24.4228,1.18149,1.47317,2.80102
-21.648,0.540687,0.468725,1,1,0,22.5271,1.18149,1.47317,2.80102
-21.883,0.996223,0.194364,4,23,0,22.1551,1.00888,1.11357,2.26436
-22.5236,0.971825,0.323863,3,15,0,23.3062,0.852028,1.28836,2.03499
-22.485,0.693383,0.527504,2,5,0,23.8128,1.20855,1.04278,2.61208
-22.871,0.975062,0.368872,2,7,0,23.9687,1.10244,0.950098,1.74318
-21.4635,0.56736,0.632831,4,15,0,23.0693,1.09847,1.19769,2.31075
-21.6408,0.987172,0.302333,2,7,0,21.7151,1.10524,1.17303,2.20373
-21.3582,0.855947,0.547871,3,9,0,21.9189,1.14143,1.37258,2.69577
-22.7039,0.555483,0.657979,3,7,0,22.9419,1.04855,1.59056,3.48978
-22.0508,1,0.308567,2,7,0,23.0995,1.19205,1.72769,3.40055
-21.3427,0.929958,0.584859,2,7,0,23.8538,1.09424,1.25939,2.49416
-22.7779,0.198642,0.887288,1,3,0,23.4684,1.34191,1.21805,3.27841
-22.4915,0.999445,0.141243,4,31,0,24.4486,0.925974,1.66304,2.6229
-21.8428,0.986063,0.26686,3,7,0,23.0357,0.955551,1.47543,2.78687
-21.6579,0.740477,0.480134,3,15,0,25.1882,1.16819,1.11859,2.41518
-21.5881,0.993135,0.409407,3,7,0,21.9608,1.19423,1.21205,2.67864
-23.7236,0.76725,0.74389,2,3,0,23.9404,1.42306,1.02818,3.06771
-23.4705,0.486892,0.686633,3,15,0,24.804,1.38358,1.1588,3.39047
-21.8958,0.985792,0.279086,3,15,0,24.5805,1.27422,1.49479,3.25228
-23.7298,0.867613,0.491229,2,7,0,24.7788,1.45754,1.15855,3.44685
-24.9962,0.895214,0.609346,3,7,0,25.1788,1.6271,1.20371,3.69294
-24.9962,0.0604109,0.815029,1,3,0,26.6094,1.6271,1.20371,3.69294
-22.0314,0.996962,0.101942,4,31,0,28.562,1.23816,1.48225,3.43375
-24.347,0.944219,0.183369,4,23,0,26.4229,1.09959,0.971259,2.63014
-24.2331,0.992902,0.281997,3,15,0,25.4533,1.11195,1.3185,2.009
-21.5588,0.971766,0.492533,2,7,0,23.4262,1.14275,1.2692,2.39697
-21.5588,0.0234069,0.804384,2,3,0,24.4761,1.14275,1.2692,2.39697
-21.6699,0.998559,0.0991624,5,63,0,22.2989,1.19704,1.33752,2.57355
-22.8941,0.969263,0.174954,3,7,0,23.2586,0.98973,1.24567,2.80138
-23.2533,0.995797,0.282803,4,15,0,23.6403,1.02507,1.57548,3.5459
-23.0488,1,0.486648,2,3,0,23.2626,1.16165,1.66219,2.73543
-22.9658,0.221381,0.839407,2,6,1,24.0455,1.23921,1.33591,3.5402
-23.5683,0.998716,0.188301,4,15,0,24.1725,1.50447,1.21605,2.93658
-23.2207,0.635584,0.323323,2,3,0,28.9066,1.47264,1.25448,3.29286
-24.0306,0.999124,0.216621,4,23,0,24.7677,0.940147,2.09616,3.22383
-21.6007,1,0.36882,3,7,0,24.5378,1.15246,1.36558,2.54144
-21.6007,0.00221096,0.624274,2,3,0,26.7139,1.15246,1.36558,2.54144
-22.8614,0.999104,0.0855833,5,47,0,23.3379,0.825533,1.63676,2.68466
-22.1415,0.999979,0.144945,4,15,0,23.1973,0.88155,1.46683,2.39997
-21.6526,0.967755,0.244104,4,15,0,22.8526,1.19782,1.16951,2.38918
-21.9019,0.979288,0.376935,3,15,0,22.8041,1.20779,1.27502,3.0106
