# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:22:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\4oo937tz.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation1\exponential_priors-20240423192256.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-351.831,1,0.0625,1,1,0,423.139,0.678386,0.702205,1.56562
-351.831,0,14.3855,0,1,1,354.642,0.678386,0.702205,1.56562
-351.831,0,2.43117,0,1,1,356.163,0.678386,0.702205,1.56562
-351.831,3.08905e-148,0.239791,1,1,0,353.81,0.678386,0.702205,1.56562
-351.087,0.985349,0.0186273,4,15,0,353.753,0.634545,0.663161,1.83278
-351.026,0.98421,0.0246262,3,15,0,352.735,0.694264,0.658234,1.77402
-351.336,0.999971,0.0368105,4,15,0,352.288,0.684148,0.606867,1.65764
-351.361,0.997614,0.0625059,3,7,0,351.72,0.670499,0.592063,1.55185
-351.361,0.0275972,0.110754,2,7,0,354.528,0.670499,0.592063,1.55185
-350.608,0.997905,0.00945333,5,31,0,352.129,0.627236,0.700035,1.58212
-351.187,0.994732,0.0175058,4,31,0,352.068,0.543623,0.79926,1.68022
-351.31,0.998801,0.032617,4,15,0,351.449,0.677301,0.632014,1.82057
-351.369,0.978528,0.0620615,3,15,0,351.907,0.567318,0.947611,1.97801
-351.046,1,0.111088,1,1,0,351.451,0.575743,0.926399,2.061
-351.046,4.39063e-041,0.212436,1,1,0,352.137,0.575743,0.926399,2.061
-351.741,0.983209,0.018251,4,31,0,354.579,0.63934,1.10222,2.60457
-353.496,0.958923,0.0335027,4,15,0,354.44,0.68867,0.994369,3.22491
-354.614,1,0.0567793,3,7,0,355.651,0.767502,1.27015,3.70133
-356.789,0.0738781,0.108352,2,3,0,357.706,0.825547,1.31571,3.78962
