# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:32:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\vb15qamt.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation4\exponential_priors-20240423193218.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-400.511,1,0.0625,1,1,0,474.876,0.669796,0.709293,1.41016
-400.511,0,14.3855,0,1,1,402.841,0.669796,0.709293,1.41016
-400.511,0,2.43117,0,1,1,402.073,0.669796,0.709293,1.41016
-400.511,7.77745e-178,0.239791,1,2,1,401.95,0.669796,0.709293,1.41016
-392.241,1,0.0186273,4,15,0,401.091,0.649999,0.622124,1.64725
-391.155,0.995053,0.0257257,5,39,0,394.314,0.754649,0.226029,1.15651
-390.888,0.97294,0.0397989,3,11,0,391.654,0.742703,0.278106,1.07916
-390.405,0.99097,0.0622074,4,23,0,392.172,0.767514,0.524066,2.12859
-390.618,0.587895,0.107942,3,15,0,391.733,0.805625,0.523315,3.51479
-391.226,0.886905,0.0540489,4,31,0,392.751,0.704468,0.544505,1.64589
-390.129,1,0.0706304,2,3,0,391.263,0.651303,0.506189,1.74403
-390.129,0.00396047,0.133596,2,3,0,393.794,0.651303,0.506189,1.74403
-389.945,0.999977,0.0110334,6,63,0,390.282,0.766347,0.410412,2.23729
-390.848,0.983943,0.0212852,4,31,0,391.362,0.817205,0.450301,2.18067
-391.051,0.956516,0.0390692,2,3,0,391.899,0.813008,0.463463,2.08309
-389.863,0.989129,0.0657098,4,15,0,391.512,0.737194,0.495653,2.39357
-390.244,0.441521,0.121753,3,11,0,391.2,0.701566,0.288183,1.26819
-390.602,0.980118,0.0420882,5,47,0,391.419,0.719251,0.653683,2.70251
-391.192,0.955472,0.0757964,4,23,0,391.974,0.724432,0.239629,0.937017
-391.192,0.0138474,0.125789,2,7,0,393.635,0.724432,0.239629,0.937017
-391.135,0.999958,0.0125124,4,31,0,391.411,0.712926,0.235858,0.924914
-390.496,0.997453,0.0238974,4,31,0,391.901,0.618744,0.33688,1.08037
-389.59,0.996114,0.0448637,5,31,0,391.081,0.71426,0.408319,1.61517
-389.62,0.998985,0.0830677,3,13,0,389.771,0.732468,0.444418,1.92461
-389.62,2.74715e-008,0.153543,1,1,0,392.345,0.732468,0.444418,1.92461
-391.63,0.98871,0.0161825,6,63,0,392.452,0.757481,0.288255,1.04876
-390.542,0.974604,0.0291741,5,47,0,395.462,0.808499,0.393681,2.61258
-390.322,0.951648,0.0500624,3,15,0,392.586,0.715182,0.457303,2.3955
-390.787,0.878479,0.0798671,3,15,0,391.784,0.817627,0.567397,3.8175
-390.624,0.981425,0.1033,4,19,0,391.314,0.707323,0.276928,1.01813
-390.624,0.114077,0.176371,1,3,1,391.92,0.707323,0.276928,1.01813
-389.676,0.999629,0.0283039,5,31,0,391.559,0.673313,0.41623,1.5183
-389.946,0.997082,0.050846,4,23,0,390.472,0.674614,0.514434,1.84167
-389.59,0.888513,0.0898574,2,7,0,390.331,0.721745,0.443362,1.85972
-389.59,0.0936894,0.117997,3,9,0,391.461,0.721745,0.443362,1.85972
-390.556,0.99957,0.0190829,6,79,0,391.095,0.772054,0.626585,3.43651
-390.586,0.997531,0.0337386,3,7,0,390.631,0.780104,0.635682,3.35958
-389.908,0.962633,0.058803,4,31,0,391.224,0.72779,0.394474,1.47678
-389.597,0.872181,0.0928895,3,11,0,390.127,0.726798,0.405968,1.78879
-389.597,0.000581465,0.115696,2,3,0,391.721,0.726798,0.405968,1.78879
-389.69,0.999401,0.015833,5,47,0,390.155,0.731239,0.391864,1.84758
-390.128,0.987813,0.0274043,5,31,0,390.704,0.771938,0.334856,1.81325
-391.378,0.925248,0.0457027,3,15,0,392.039,0.74084,0.310252,2.11278
-390.674,0.986495,0.0647921,3,15,0,391.542,0.795033,0.306284,1.95097
-390.416,0.119308,0.106218,3,15,0,393.435,0.654059,0.362267,1.09092
-390.296,0.998894,0.0208481,6,63,0,390.731,0.762935,0.301887,1.40121
-390.84,0.961851,0.0352433,5,43,0,392.427,0.770964,0.487582,1.83974
-390.988,0.969676,0.054093,4,27,0,393.858,0.654803,0.556412,2.27806
-389.81,0.549453,0.0840808,3,9,0,392.903,0.757698,0.375846,1.83735
-389.697,0.990027,0.0479219,3,7,0,389.922,0.744333,0.387465,1.8177
-392.293,0.557114,0.0777241,4,15,0,393.436,0.590781,0.507544,1.20489
-393.266,0.992893,0.0454469,3,7,0,393.925,0.544492,0.508914,1.12083
-393.543,0.996151,0.0737342,4,31,0,396.084,0.852921,0.4408,8.3747
-394.022,0.205127,0.119761,2,5,0,394.687,0.860174,0.411394,9.37274
-391.458,0.992516,0.0314271,6,95,0,395.652,0.790313,0.682988,5.19576
-392.302,0.991794,0.0505687,5,31,0,393.626,0.873265,0.406658,4.79263
-391.083,1,0.0807406,2,7,0,392.431,0.8218,0.515197,4.18094
-391.083,0.364627,0.130544,1,3,0,391.307,0.8218,0.515197,4.18094
-390.112,0.982182,0.0505503,4,15,0,391.296,0.737355,0.561576,2.6832
-390.242,0.964371,0.0782949,3,7,0,390.335,0.789306,0.52331,2.67083
-391.476,0.72651,0.115954,4,19,0,393.462,0.781405,0.217605,1.24552
-392.065,0.824725,0.101273,4,15,0,392.803,0.761854,0.196359,0.907562
-391.606,0.920054,0.109806,2,3,0,392.078,0.748089,0.211596,0.94446
