# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:37:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\g74mv64b.json
# init = 0
# random
#   seed = 2963777707
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation6\exponential_priors-20240423193722.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-371.016,1,0.0625,1,1,0,433.272,0.69566,0.683303,1.36543
-371.016,0,14.3855,0,1,1,373.208,0.69566,0.683303,1.36543
-371.016,0,2.43117,0,1,1,374.115,0.69566,0.683303,1.36543
-371.016,1.83355e-123,0.239791,1,2,1,371.346,0.69566,0.683303,1.36543
-371.134,0.996988,0.0186273,5,63,0,375.667,0.806573,0.339906,1.3185
-369.959,0.995044,0.0254958,5,47,0,373.051,0.650748,0.894566,1.9496
-369.515,1,0.0394326,4,15,0,370.485,0.880648,0.510252,2.06517
-369.362,0.922702,0.0670408,3,15,0,370.964,0.717238,0.952499,2.30545
-368.055,0.922746,0.0939347,2,3,0,369.636,0.755652,0.84106,2.27273
-368.055,0.0544209,0.13532,2,3,0,369.328,0.755652,0.84106,2.27273
-367.643,0.999293,0.0127298,4,31,0,368.698,0.755414,0.773068,2.30728
-368.11,0.989528,0.0240711,4,15,0,368.368,0.7087,0.814188,2.2664
-369.193,0.860387,0.0445236,4,19,0,372.383,0.686851,0.721734,2.2531
-370.109,0.912081,0.0551073,3,7,0,371.17,0.742363,0.833743,1.85637
-372.255,0.636257,0.080424,2,3,0,373.51,0.576116,0.769361,1.97158
-368.706,1,0.0499182,3,7,0,373.845,0.648019,0.724431,1.90763
-367.344,0.832033,0.0958212,2,5,0,369.106,0.755089,0.674002,2.01859
-367.633,0.725853,0.109368,3,7,0,367.695,0.797661,0.691374,2.05157
-368.042,0.909401,0.0904727,2,7,0,368.48,0.749196,0.615201,2.06886
