# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:40:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\imqoxdwi.json
# init = 0
# random
#   seed = 842792797
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation7\exponential_priors-20240423194048.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-375.177,1,0.0625,2,3,0,446.075,0.736228,0.646496,1.43348
-375.177,0,14.3855,0,1,1,376.364,0.736228,0.646496,1.43348
-375.177,0,2.43117,0,1,1,376.123,0.736228,0.646496,1.43348
-375.177,5.41256e-209,0.239791,1,1,0,376.3,0.736228,0.646496,1.43348
-372.259,1,0.0186273,3,7,0,375.147,0.705356,0.630124,1.50494
-372.939,0.970485,0.0257257,4,31,0,374.935,0.829974,0.703426,2.28404
-372.687,1,0.036915,4,15,0,373.988,0.563626,0.789587,1.87537
-374.336,0.825497,0.0626919,2,3,0,375.457,0.53077,0.849315,1.85511
-375.364,0.891529,0.0646765,3,7,0,375.986,0.560546,0.90297,1.71558
-372.84,0.922421,0.0842728,2,3,0,376.766,0.744063,0.65998,1.63236
-372.026,0.333334,0.123292,1,3,0,374.361,0.775841,0.563197,1.66609
-370.676,0.985095,0.0283746,3,15,0,373.217,0.724589,0.609046,1.76829
-370.799,1,0.0517303,4,31,0,370.882,0.643165,0.741778,2.04642
-370.574,1,0.0991235,3,7,0,370.689,0.722946,0.66176,2.12486
-370.574,0.0300666,0.189674,1,3,0,371.615,0.722946,0.66176,2.12486
-372.44,0.999239,0.0178993,5,63,0,372.501,0.610239,0.455607,1.12248
-373.522,0.961087,0.0345229,3,15,0,375.447,0.587634,0.529835,1.09814
-370.988,0.999061,0.0588833,4,15,0,373.7,0.63846,0.76988,1.89947
-370.988,0.149298,0.112016,2,7,0,374.033,0.63846,0.76988,1.89947
