# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 18:43:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\2lfd9ivl.json
# init = 0
# random
#   seed = 1831251485
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_start_exponential_priors\T_end=400\realisation8\exponential_priors-20240423194324.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-384.435,1,0.0625,1,1,0,460.342,0.697385,0.704708,1.52822
-384.435,0,14.3855,0,1,1,386.715,0.697385,0.704708,1.52822
-384.435,0,2.43117,0,1,1,385.883,0.697385,0.704708,1.52822
-384.435,1.91767e-163,0.239791,1,3,1,385.073,0.697385,0.704708,1.52822
-378.241,0.998641,0.0186273,3,7,0,385.279,0.658964,0.587667,1.81535
-379.139,0.981953,0.0256218,3,15,0,379.425,0.737802,0.56854,1.83938
-378.627,0.911513,0.0380756,3,7,0,381.371,0.629352,0.588614,1.63424
-378.347,0.973577,0.0491202,4,15,0,379.249,0.638427,0.659553,1.88962
-378.983,0.858776,0.0805156,2,3,0,379.209,0.598071,0.702248,1.86089
-378.642,0.883546,0.0947026,3,11,0,379.63,0.69723,0.586086,1.76997
-378.642,0.002437,0.122544,1,1,0,380.949,0.69723,0.586086,1.76997
-378.435,0.999852,0.00991659,5,47,0,379.093,0.629104,0.641908,1.96008
-379.954,0.986369,0.0189992,5,47,0,381.564,0.67291,0.770512,3.01892
-380.326,0.97032,0.0350373,3,7,0,381.388,0.664886,0.781736,3.0771
-381.105,0.997092,0.0614683,3,7,0,381.183,0.798454,0.884424,3.28552
-383.37,0.407218,0.116897,2,3,0,386.582,0.557088,1.04262,2.82726
-381.171,0.954697,0.0360013,3,7,0,386.527,0.746181,0.883461,2.46711
-378.998,0.982829,0.0601994,2,7,0,384.169,0.712652,0.611135,2.52295
-379.402,0.925291,0.109004,4,15,0,381.858,0.702972,0.593517,2.54538
