# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:08:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\xpjv2_ng.json
# init = 0
# random
#   seed = 1335997441
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation0\exponential_priors-20240423220808.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-326.983,1,0.0625,1,1,0,387.625,0.781119,0.700818,1.63572
-326.983,0,14.3855,0,1,1,328.319,0.781119,0.700818,1.63572
-326.983,0,2.43117,0,1,1,327.203,0.781119,0.700818,1.63572
-326.983,5.80045e-008,0.239791,1,3,1,327.96,0.781119,0.700818,1.63572
-326.939,0.999241,0.0186273,3,7,0,327.254,0.765798,0.697941,1.60317
-326.784,0.990496,0.0256676,4,15,0,327.478,0.670479,0.726079,1.7192
-326.467,0.997573,0.0391564,3,7,0,327.322,0.67894,0.839538,1.6967
-325.773,1,0.0660627,3,7,0,326.549,0.778938,0.773591,2.05831
-325.773,0.114124,0.118,1,3,0,326.388,0.778938,0.773591,2.05831
-325.818,0.999288,0.0132406,5,63,0,326.747,0.717045,1.04701,2.44501
-325.313,0.99992,0.0246382,4,15,0,325.99,0.756196,0.953464,2.21064
-327.671,0.94936,0.0466464,3,11,0,328.292,0.73408,0.637598,1.44762
-328.592,0.814779,0.0758771,3,7,0,329.317,0.794423,0.574321,1.62553
-328.633,0.721844,0.0812091,3,11,0,330.589,0.681095,1.23679,2.37103
-325.625,0.985192,0.0653502,2,7,0,329.127,0.711487,0.951135,2.29582
-325.891,0.120541,0.119735,2,7,1,327.052,0.678496,0.875441,2.03441
-325.591,0.998828,0.0152608,4,31,0,326.846,0.692919,0.865155,1.90632
-326.104,0.978716,0.0293865,3,7,0,326.244,0.731273,0.890919,1.86811
-328.411,0.826922,0.0528446,2,3,0,328.716,0.739296,0.908144,1.73404
-328.996,0.815296,0.0597616,2,7,0,331.705,0.811801,0.599631,1.90761
-326.426,0.868583,0.0652391,3,7,0,331.171,0.653339,0.975897,2.00695
-325.499,0.961763,0.0833369,2,3,0,326.722,0.706408,0.958382,2.21071
-325.499,1.42481e-014,0.139431,1,1,0,327.774,0.706408,0.958382,2.21071
-327.654,0.995016,0.0141353,4,15,0,328.239,0.616102,0.97405,1.85107
-327.496,0.998051,0.026224,3,7,0,328.047,0.631023,0.997835,1.89626
-328.453,0.835472,0.048584,3,15,0,331.426,0.623193,0.896671,1.61196
-327.601,0.99912,0.0562151,3,7,0,328.985,0.892872,0.839894,2.64107
-327.601,0.141244,0.102767,2,3,0,328.654,0.892872,0.839894,2.64107
-327.482,0.991745,0.017056,4,15,0,329.255,0.90083,0.867976,2.42204
-326.403,0.998457,0.0305552,3,15,0,328.186,0.754858,0.793629,2.22962
-326.668,0.967553,0.0552175,3,15,0,327.252,0.75919,0.821948,1.75136
-326.662,0.719927,0.0908594,3,15,0,327.155,0.773406,0.891892,1.89794
-326.15,1,0.0761053,3,11,0,326.963,0.71252,0.985153,2.02735
-325.812,0.333337,0.135107,1,3,0,327.394,0.790618,1.0011,2.67003
-328.267,0.810424,0.0406002,3,15,0,330.006,0.707511,0.762904,2.19721
-326.593,0.998822,0.0435951,3,11,0,329.291,0.753923,0.707958,1.6306
-329.662,0.479226,0.0764277,3,9,0,332.57,0.755618,0.835912,2.74738
-327.71,0.982064,0.0346034,2,7,0,330.674,0.811451,0.849478,2.73099
-327.063,0.992667,0.0576943,3,7,0,328.63,0.878764,0.871746,2.28999
-326.783,0.60854,0.0980478,3,7,0,328.096,0.826832,0.701241,1.92505
-327.239,0.963376,0.062543,3,7,0,327.794,0.789775,0.65725,1.87918
-327.054,0.253866,0.0978849,2,3,0,328.487,0.711314,0.696104,1.8352
-326.607,0.998804,0.0259578,4,23,0,328.082,0.763069,0.695883,1.90307
-326.561,0.990027,0.0443281,3,15,0,327.282,0.704875,0.869963,1.75045
-326.634,1,0.0735034,3,7,0,327.207,0.772595,0.676139,1.70572
-326.634,0.000190725,0.123968,1,3,0,328.229,0.772595,0.676139,1.70572
-326.977,0.953485,0.0184198,4,31,0,333.778,0.815163,0.700578,1.75174
-327.084,0.983523,0.027833,3,7,0,327.983,0.74578,0.659512,1.77731
-326.563,0.927273,0.0449217,2,7,0,329.014,0.691984,0.748281,1.87606
-328.331,0.577842,0.0630215,1,1,0,328.493,0.663189,0.721638,1.88755
-330.068,0.949165,0.0386176,3,7,0,330.372,0.64755,0.692793,1.87811
-326.193,0.980604,0.056808,2,7,0,329.524,0.716925,0.737008,1.85989
-327.659,0.546715,0.0894389,2,3,0,327.725,0.810431,0.761286,1.70722
-326.223,0.962792,0.051348,2,7,0,328.327,0.776746,0.708838,1.83677
-326.483,0.945385,0.0771772,2,7,0,327.484,0.835656,0.75795,2.16007
-326.826,0.107279,0.110891,2,7,0,328.766,0.778172,0.800454,1.7487
-326.274,0.997728,0.023707,3,15,0,328.693,0.67714,0.829186,1.70857
-327.87,0.996818,0.0384238,4,15,0,328.607,0.762722,0.602514,1.51431
-327.367,0.978318,0.0617728,4,15,0,328.119,0.708818,0.636677,1.52039
-325.522,0.471613,0.0947427,3,7,0,328.113,0.771937,0.794389,2.02591
-325.44,0.998075,0.0470968,3,15,0,326.038,0.745999,1.00744,2.41929
-329.02,0.569116,0.0751593,3,7,0,330.761,0.865131,1.06862,2.36168
-328.442,0.995981,0.0466732,2,7,0,331.118,0.879577,1.09328,2.58004
-328.314,0.949587,0.0737258,3,11,0,331.012,0.892696,0.815053,2.05158
-328.314,0.116859,0.104778,1,1,0,329.098,0.892696,0.815053,2.05158
-327.535,1,0.0247522,3,7,0,328.643,0.869797,0.823573,2.04399
-325.794,0.944591,0.039255,2,3,0,328.436,0.811581,0.80389,2.13771
-328.563,0.983951,0.0550459,3,15,0,328.999,0.636821,0.670708,1.32942
-330.774,0.454585,0.0835653,3,7,0,332.508,0.742947,0.511759,1.48661
-330.035,1,0.0414794,3,7,0,331.064,0.788759,0.515602,1.42041
-327.018,0.968929,0.0649087,3,9,0,332.247,0.821055,1.17625,2.79927
-328.875,0.754166,0.0947481,2,3,0,328.881,0.725859,1.10969,3.13473
-328.875,0.426446,0.0883128,1,3,0,332.482,0.725859,1.10969,3.13473
-325.64,0.968369,0.0419492,3,11,0,330.142,0.777604,0.886226,2.03741
-325.536,0.736789,0.0609195,2,5,0,327.131,0.709175,0.882657,1.92587
-325.363,0.934872,0.0549713,2,7,0,326.7,0.738037,0.830141,2.04563
-325.363,0.650019,0.0741866,1,3,0,326.35,0.738037,0.830141,2.04563
-325.877,0.966781,0.056183,2,3,0,325.916,0.800525,0.816024,1.97515
-325.575,0.902866,0.0805684,3,7,0,326.344,0.69275,0.918936,2.09757
-326.418,0.159573,0.101319,2,7,0,328.475,0.723722,0.962315,2.53773
-326.2,0.996637,0.0290125,3,15,0,327.375,0.849511,0.932663,2.56965
-329.941,0.915013,0.0440304,3,7,0,331.382,0.935399,0.933315,3.35743
-326.962,0.923473,0.0566696,2,3,0,333.082,0.860285,1.05253,3.01102
-326.725,0.906718,0.0739704,2,3,0,327.499,0.826827,1.00551,2.94686
-326.39,0.259087,0.0932059,2,5,0,334.375,0.823343,0.762627,2.19195
-327.037,0.967175,0.0333375,4,23,0,327.977,0.748494,1.14858,2.39118
-326.939,0.999841,0.0472747,4,19,0,327.639,0.831587,0.761707,1.86176
-325.786,0.491478,0.0711495,2,7,0,329.405,0.699162,0.865903,2.11047
-325.625,0.990619,0.0403078,3,15,0,327.503,0.741524,1.00389,2.21687
-325.31,0.84704,0.0594186,2,7,0,326.911,0.74632,0.891746,2.04358
-325.482,0.988404,0.0664659,3,11,0,325.605,0.787509,0.979675,2.3582
-325.759,0.80752,0.0970008,1,1,0,325.972,0.800663,0.993252,2.36179
-325.403,0.462963,0.1004,3,7,0,325.904,0.722823,0.962249,2.15456
-325.494,0.953738,0.0544898,3,15,0,327.088,0.76416,0.822723,1.94124
-325.808,0.514822,0.0742246,2,3,0,327.104,0.769647,0.77121,2.05375
-328.878,0.819786,0.0446381,3,7,0,329.755,0.629987,0.898452,1.58808
-330.911,0.754232,0.0473743,4,15,0,334.146,0.567988,0.68184,1.53168
-332.12,0.964186,0.0445362,3,7,0,333.635,0.605352,0.860735,1.38387
-329.825,0.925018,0.0615498,3,7,0,333.129,0.86961,0.562145,1.76065
-327.236,0.803408,0.0789742,2,7,0,333.182,0.832638,0.748428,2.33409
-327.236,0,2.59385,0,1,1,328.352,0.832638,0.748428,2.33409
-327.236,0,6.0568,0,1,1,330.791,0.832638,0.748428,2.33409
-327.911,0.879675,0.597197,3,7,0,328.491,0.620626,0.744509,1.45656
-326.38,0.995196,0.451367,3,15,0,329.084,0.815286,0.727624,1.99433
-326.38,0.340862,0.588395,1,1,0,327.435,0.815286,0.727624,1.99433
-326.668,0.99713,0.126954,3,7,0,326.73,0.831845,0.730404,1.91719
-326.415,0.975749,0.201117,4,23,0,328.353,0.769619,0.895597,2.55838
-325.553,0.994736,0.320643,2,7,0,326.457,0.785469,0.982307,2.31785
-325.795,0.94132,0.566747,1,3,0,326.095,0.793852,1.02664,2.42242
-326.325,0.349984,0.869308,1,3,0,326.648,0.847997,0.901151,2.59019
-327.195,0.997744,0.208494,4,15,0,327.424,0.61446,0.876263,1.83539
-327.488,0.802723,0.391503,3,15,0,329.047,0.785675,0.775774,1.67642
-325.652,1,0.39989,2,3,0,327.428,0.743236,0.773661,1.82902
-325.652,0.00434042,0.762564,2,7,0,331.162,0.743236,0.773661,1.82902
-326.325,0.997676,0.0650494,4,31,0,326.8,0.76434,0.712975,1.70615
-326.5,0.988846,0.124634,5,31,0,327.766,0.776784,0.763438,2.19563
-326.278,1,0.231233,1,1,0,326.492,0.777758,0.76684,2.1677
-328.038,0.838475,0.441063,3,7,0,329.086,0.906861,0.852193,2.26936
-326.955,1,0.511524,3,7,0,328.253,0.826768,0.839144,2.59855
-326.955,0.354492,0.963073,1,1,0,329.528,0.826768,0.839144,2.59855
-325.677,0.996055,0.26216,3,7,0,327.522,0.747967,0.972824,2.49953
-327.337,0.538764,0.486385,1,1,0,327.399,0.736738,0.950688,2.70329
-325.777,0.995136,0.233877,3,15,0,327.926,0.811017,0.981957,2.62167
-325.935,0.981807,0.42925,4,15,0,326.348,0.789007,0.748581,1.97307
-326.076,0.0699291,0.750675,2,7,0,328.16,0.704179,0.856247,2.17092
-325.778,0.999635,0.0960923,5,47,0,326.997,0.779071,1.06878,2.63161
-327.713,0.946302,0.177425,4,15,0,329.325,0.909658,0.960911,2.78361
-328.513,0.966799,0.279167,4,15,0,330.214,0.604267,1.09001,2.16512
-326.761,0.964649,0.461569,2,7,0,329.086,0.633274,0.947416,1.93769
-326.761,3.93634e-005,0.75231,2,3,0,328.958,0.633274,0.947416,1.93769
-325.347,0.999577,0.0866489,5,31,0,327.007,0.717843,0.941322,2.18888
-325.457,0.987274,0.156183,4,19,0,326.175,0.745905,0.964931,2.1627
-325.323,0.990977,0.269714,3,15,0,326.092,0.785503,0.877908,2.20125
-326.461,0.930637,0.466227,3,7,0,326.999,0.694992,1.09743,2.29949
-327.971,0.620583,0.680747,2,7,0,329.979,0.60581,1.0202,1.97674
-325.929,0.971681,0.43719,2,7,0,328.25,0.668585,0.897469,2.00234
-327.66,0.0200217,0.706508,2,7,0,329.626,0.708013,0.887977,2.47847
-328.278,0.997749,0.096491,4,15,0,328.821,0.826062,0.865022,1.86368
-328.643,0.996793,0.1674,3,7,0,328.708,0.825952,0.867208,1.84171
-325.676,1,0.287248,2,3,0,329.02,0.729001,0.813327,2.06827
-326.045,0.974053,0.492825,3,11,0,326.34,0.751772,0.99959,2.63851
-326.612,0.586799,0.785758,2,3,0,327.005,0.725325,1.06845,2.18368
-328.376,0.779439,0.473855,3,7,0,330.268,0.870658,1.24091,3.48029
-325.834,0.78102,0.463621,2,7,0,329.82,0.790058,1.01292,2.34269
-325.966,1,0.455457,3,7,0,326.419,0.686022,0.968974,2.01923
-325.527,0.284939,0.763428,2,7,0,326.334,0.730569,0.924358,2.31551
-325.766,0.994186,0.224731,4,15,0,326.392,0.698297,0.810337,1.93892
-325.74,0.984385,0.370513,3,11,0,326.438,0.815116,0.834493,2.24496
-325.864,0.979484,0.592562,3,7,0,326.541,0.776757,0.752557,1.86347
-325.864,0.0959379,0.930668,2,3,0,327.297,0.776757,0.752557,1.86347
-327.24,0.954493,0.181028,4,15,0,328.992,0.671935,1.10149,2.55458
-325.676,0.978735,0.268591,4,15,0,329.487,0.7685,0.767115,1.90717
-325.354,0.991771,0.419389,4,15,0,326.874,0.784858,0.954564,2.35728
-326.111,0.780941,0.670911,3,7,0,328.157,0.846128,0.93038,2.52517
-327.859,0.354929,0.657336,2,7,0,329.753,0.857113,0.86294,2.0073
-327.51,0.998928,0.24366,3,15,0,329.144,0.735966,0.667554,1.86483
-326.43,0.960061,0.393861,2,3,0,327.635,0.757164,0.691368,1.68971
-326.555,0.907523,0.579727,2,3,0,326.851,0.725019,0.690426,1.6061
-326.555,0.000468564,0.754903,1,1,0,328.38,0.725019,0.690426,1.6061
-325.929,0.996898,0.130039,4,31,0,327.709,0.675187,0.922424,1.93632
-326.154,0.978377,0.207514,2,7,0,327.044,0.656539,0.923093,1.99463
-325.91,0.723169,0.316126,2,3,0,328.647,0.683899,0.854042,2.02529
-327.79,0.909495,0.274192,2,7,0,328.516,0.630768,0.839292,1.99415
