# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:13:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\cg9anrng.json
# init = 0
# random
#   seed = 3161308824
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation1\exponential_priors-20240423221301.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-299.285,1,0.0625,1,1,0,353.871,0.702219,0.678372,1.61982
-299.285,0,14.3855,0,1,1,302.097,0.702219,0.678372,1.61982
-299.285,0,2.43117,0,1,1,303.618,0.702219,0.678372,1.61982
-299.285,4.94066e-323,0.239791,1,2,1,301.264,0.702219,0.678372,1.61982
-298.541,0.991524,0.0186273,4,15,0,301.137,0.766295,0.751962,1.65373
-296.922,0.990185,0.0250838,3,15,0,299.32,0.65302,0.832415,1.56766
-301.416,0.559508,0.0382056,3,7,0,303.718,0.638988,0.685957,1.67178
-297.556,0.999508,0.0164787,3,7,0,301.972,0.710705,0.752089,1.61047
-298.952,0.943305,0.0289973,4,23,0,300.767,0.60293,0.65094,1.09319
-298.949,0.99971,0.0443222,3,15,0,300.698,0.721348,0.645998,1.50407
-298.434,1,0.0827235,2,3,0,298.978,0.750091,0.692405,1.49073
-298.375,0.333377,0.156441,1,3,1,300.877,0.607974,1.02095,1.82466
-298.645,0.977355,0.0364417,3,7,0,300.108,0.64277,1.03346,2.0352
-300.284,0.770379,0.0651432,3,7,0,301.115,0.729657,0.913926,2.22646
-299.778,1,0.0610606,2,3,0,300.431,0.756517,0.90368,2.16956
-299.446,0.333765,0.117178,1,3,0,300.51,0.718312,1.0399,2.26777
-300.065,0.984838,0.0287871,3,7,0,300.703,0.781206,1.01518,2.28671
-301.937,0.848089,0.0528653,3,7,0,303.63,0.783226,1.21412,2.50979
-297.991,0.983468,0.0636978,4,15,0,303.605,0.533581,0.811905,1.3896
