# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:18:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\gpj86gbu.json
# init = 0
# random
#   seed = 157769519
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation2\exponential_priors-20240423221841.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-270.753,1,0.0625,1,3,0,324.249,0.668484,0.666128,1.58853
-270.753,0,14.3855,0,1,1,274.02,0.668484,0.666128,1.58853
-270.753,0,2.43117,0,1,1,271.442,0.668484,0.666128,1.58853
-270.753,0,0.239791,0,1,1,271.508,0.668484,0.666128,1.58853
-268.015,0.999428,0.0186273,3,7,0,271.615,0.683314,0.716202,1.59632
-264.283,0.960194,0.0256819,3,11,0,269.974,0.633186,0.916919,1.65363
-263.955,0.970564,0.0357074,5,31,0,264.892,0.593769,0.961835,1.76521
-263.682,0.982926,0.0553013,3,7,0,264.231,0.628897,0.971261,1.75185
-263.523,0.819856,0.093457,2,3,0,263.834,0.611479,1.01037,1.79932
-263.523,0.186547,0.0972814,2,3,0,264.099,0.611479,1.01037,1.79932
-263.859,0.990783,0.0138914,4,15,0,264.259,0.595945,0.993993,1.90105
-264.177,0.98379,0.0255684,2,3,0,264.29,0.590733,0.988204,1.91653
-265.107,0.91145,0.0464376,3,7,0,265.186,0.585971,0.968214,1.95623
-264.235,1,0.0674429,2,3,0,265.593,0.727862,1.04835,1.92758
-266.247,0.333333,0.129326,1,3,0,266.552,0.737407,0.832212,1.96997
-264.704,0.999842,0.031307,4,31,0,266.715,0.608604,1.52934,2.77663
-265.204,0.875587,0.0602611,2,7,0,268.5,0.862095,1.26476,2.92397
-263.573,0.920842,0.0788361,3,7,0,265.574,0.658725,1.44112,2.90962
-264.641,0.0866599,0.118055,1,3,0,266.162,0.684697,1.47812,2.50638
-262.435,0.998689,0.0143303,4,15,0,265.447,0.712781,1.32374,2.58547
-262.726,0.999622,0.0273464,4,23,0,263.168,0.663153,1.08274,2.0082
-263.34,0.723045,0.0518369,2,3,0,264.52,0.656301,1.08546,1.91313
-265.665,0.986806,0.0432495,3,7,0,266.104,0.701609,0.806043,1.71097
-264.871,1,0.0779657,1,1,0,265.537,0.687587,0.844701,1.703
-264.871,0.0718912,0.144612,1,3,1,266.939,0.687587,0.844701,1.703
-265.016,0.998861,0.0187262,5,31,0,265.834,0.541656,0.97983,1.70063
-265.33,0.982075,0.0347017,4,15,0,266.955,0.729058,0.867275,1.70472
-265.697,0.99929,0.0607209,3,7,0,266.558,0.527216,0.984693,1.60607
-265.697,1.9558e-005,0.110435,1,1,0,267.24,0.527216,0.984693,1.60607
-266.286,0.999892,0.0125914,4,15,0,266.604,0.515063,0.940062,1.53498
-265.821,0.991886,0.0230134,3,7,0,266.643,0.527111,0.928033,1.59961
-263.856,0.989305,0.0407489,3,7,0,266.181,0.602281,0.959678,1.79832
-266.01,0.971727,0.0709825,3,7,0,266.204,0.622473,0.7862,1.5277
-266.01,0.184986,0.11691,2,3,0,266.119,0.622473,0.7862,1.5277
-266.423,0.997065,0.0237381,3,7,0,266.839,0.655256,0.761409,1.48578
-264.258,0.963363,0.0418154,4,15,0,268.837,0.817412,1.1647,2.74099
-262.629,0.891962,0.0668527,2,3,0,266.051,0.711864,1.13113,2.40903
-262.305,0.998717,0.0881878,2,3,0,262.592,0.711208,1.22356,2.40852
-263.044,0.207072,0.152361,1,3,0,263.154,0.754206,1.13715,2.52184
-263.636,0.986884,0.0346988,3,15,0,266.182,0.596881,1.0201,1.8019
-263.145,0.674443,0.0580933,3,11,0,266.069,0.714037,1.22625,2.24079
-262.334,0.958945,0.0440365,1,3,0,263.663,0.707546,1.15578,2.34448
-263.365,0.831569,0.0681041,3,15,0,263.898,0.701685,1.04902,2.31548
-264.93,0.879297,0.0763524,2,3,0,265.803,0.801866,0.968033,2.14017
-263.596,0.382311,0.0960754,2,3,0,265.253,0.734279,1.0346,2.00393
-264.381,0.941781,0.0358437,2,3,0,264.766,0.759606,1.01699,1.98017
-263.688,1,0.0525646,4,15,0,264.388,0.733755,0.988333,1.96925
-264.305,0.515035,0.0881881,2,7,0,265.849,0.68417,1.01907,2.31861
-263.371,0.846294,0.0461108,1,3,0,266.326,0.760694,1.07498,2.19644
-262.315,0.958139,0.0533711,3,15,0,264.006,0.694228,1.22116,2.49251
-263.425,0.638644,0.0802368,2,7,0,264.251,0.703844,1.24587,2.79033
-263.671,0.966681,0.0567726,3,11,0,264.138,0.685963,1.29378,2.24051
-264.215,0.316835,0.0865349,3,7,0,266.892,0.628457,1.49042,2.56534
-262.431,0.999131,0.029211,4,23,0,265.081,0.693989,1.13859,2.18857
-263.419,0.982786,0.0478979,3,15,0,263.913,0.646193,0.981254,1.80798
-262.272,0.993813,0.0751792,3,7,0,263.521,0.667937,1.20884,2.35095
-262.272,0.00327145,0.120288,2,3,0,263.487,0.667937,1.20884,2.35095
-266.179,0.887575,0.0205238,3,15,0,268.033,0.678056,1.01622,2.46615
-263.494,0.963859,0.0259326,3,7,0,268.444,0.69013,1.08655,2.4143
-266.258,0.982182,0.0387158,3,7,0,267.038,0.825068,0.952712,2.01268
-267.904,0.724591,0.0598945,1,1,0,268.262,0.858007,0.927141,1.98288
-265.613,0.984855,0.0522942,2,3,0,269.767,0.720302,0.994532,2.45317
-263.727,0.653045,0.080792,2,7,0,265.991,0.79334,1.26139,2.54175
-263.717,0.936605,0.0603491,4,15,0,264.879,0.699142,1.35265,3.00074
-262.7,0.843744,0.0834888,3,7,0,263.36,0.747858,1.29274,2.76312
-262.7,0.0327717,0.0942377,2,3,0,264.385,0.747858,1.29274,2.76312
-262.423,0.99848,0.0187588,4,31,0,263.283,0.661754,1.16408,2.16824
-263.185,0.949511,0.0296189,3,15,0,265.449,0.668427,1.36018,2.40078
-263.351,0.960899,0.0419488,2,7,0,263.896,0.657775,1.26454,2.6659
-263.979,0.929821,0.0606127,3,15,0,266.126,0.716898,0.921221,1.92571
-262.684,0.848767,0.0817335,3,7,0,265.854,0.702251,1.06084,2.10973
-262.684,0.0318407,0.092803,3,7,0,264.38,0.702251,1.06084,2.10973
-262.553,0.998207,0.0194013,5,31,0,263.042,0.674408,1.35448,2.56128
-263.137,0.999307,0.030143,4,15,0,263.513,0.686744,0.995711,1.9322
-263.92,0.894122,0.0467175,2,3,0,264.46,0.735018,0.949717,2.06539
-264.821,0.766031,0.0581678,2,3,0,265.831,0.784091,1.00057,2.01582
-263.357,0.998658,0.0557295,2,7,0,265.524,0.621963,1.01246,1.98142
-263.35,0.206436,0.0853927,4,15,0,266.857,0.702456,1.09975,2.00961
-264.12,0.95946,0.0265624,2,3,0,264.288,0.717513,1.10614,1.98165
-263.823,0.963794,0.0376058,3,15,0,266.921,0.78288,1.11724,2.25894
-262.424,1,0.0535128,2,3,0,263.758,0.694113,1.15249,2.38274
-263.159,0.637542,0.0815137,1,1,0,263.351,0.694241,1.1249,2.47057
-264.508,0.828249,0.06058,3,9,0,266.336,0.791387,1.40231,2.68087
-267.549,0.141093,0.0655957,2,3,0,270.06,0.676085,1.34175,3.30835
-264.543,0.994025,0.0185826,4,15,0,269.212,0.827104,1.36628,2.83022
-263.859,0.997731,0.0278849,4,23,0,265.271,0.615312,1.20462,2.00192
-263.903,0.809783,0.0419817,2,3,0,266.219,0.660839,1.15993,1.96904
-266.341,0.791984,0.043863,3,7,0,266.55,0.624927,0.947692,2.13774
-263.299,0.944815,0.044271,2,3,0,267.289,0.634562,0.985887,1.91812
-264.879,0.733283,0.0597802,2,7,0,266.023,0.61315,1.00329,2.12491
-264.024,0.999139,0.053887,3,11,0,266.329,0.722772,1.36285,2.41254
-262.44,0.892214,0.0803287,2,5,0,263.203,0.683018,1.24599,2.54888
-263.471,0.623923,0.0975804,2,7,0,264.278,0.692104,1.46917,2.65161
-262.333,0.782289,0.0715976,3,7,0,263.714,0.674229,1.26912,2.50086
-262.567,0.393281,0.0707606,2,7,0,264.885,0.721825,1.36892,2.72457
-263.185,0.991367,0.0339657,4,15,0,263.276,0.751965,1.35105,2.99926
-262.273,1,0.0495607,3,7,0,263.335,0.69036,1.27796,2.49171
-262.273,0.0182656,0.0732345,1,3,0,266.316,0.69036,1.27796,2.49171
-262.74,0.996446,0.0178328,5,31,0,263.244,0.688084,1.39747,2.62484
-262.679,0.999356,0.026202,4,31,0,263.547,0.711684,1.07959,2.25726
-263.582,0.804999,0.617239,2,7,0,264.474,0.791798,1.1235,2.4354
-263.582,0,6.22876,0,1,1,264.663,0.791798,1.1235,2.4354
-263.582,6.47927e-014,0.947671,1,1,0,268.705,0.791798,1.1235,2.4354
-262.715,0.999933,0.0880279,5,31,0,264.037,0.732457,1.10073,2.30994
-262.534,0.995732,0.114656,4,31,0,264.105,0.675779,1.18282,2.43806
-263.284,0.995993,0.172796,5,31,0,264.249,0.694117,1.4805,3.01417
-263.867,0.882498,0.28593,3,7,0,265.685,0.686153,1.55653,2.82964
-264.18,0.884255,0.351278,3,7,0,265.083,0.698015,1.3559,3.06714
-262.735,0.964527,0.445276,3,7,0,267.13,0.665162,1.31112,2.36916
-262.718,0.696781,0.739179,2,7,0,263.168,0.679275,1.04688,2.11759
-263.32,0.969498,0.531757,2,7,0,264.716,0.5992,1.22644,2.12796
-262.877,0.454224,0.910834,2,3,0,263.636,0.630274,1.13441,2.23555
-262.755,0.931087,0.308342,2,3,0,263.955,0.628271,1.16497,2.09324
-265.304,0.645222,0.471278,2,7,0,265.403,0.625458,1.24875,1.97554
-263.89,1,0.294997,2,3,0,265.138,0.626741,1.21206,2.01579
-264.603,0.515068,0.558814,2,3,0,265.549,0.641161,1.2338,2.00908
-266.853,0.948993,0.236451,3,7,0,267.462,0.588301,1.21041,2.61605
-265.547,1,0.381813,2,3,0,266.841,0.587347,1.24104,2.55492
-265.601,0.142943,0.715236,3,7,0,267.652,0.596614,1.32967,2.73884
-264.272,0.999824,0.100958,5,63,0,266.6,0.585932,1.34651,2.25108
-263.756,0.94011,0.189479,3,7,0,266.798,0.588973,1.1887,2.27075
-264.1,0.958178,0.295195,1,1,0,264.109,0.586231,1.17753,2.28979
-266.202,0.702301,0.481562,3,11,0,268.433,0.656401,1.30571,3.04027
-263.28,1,0.370469,2,3,0,266.455,0.702565,1.35313,2.4293
-263.28,0.0910196,0.675285,2,3,0,264.905,0.702565,1.35313,2.4293
-262.475,0.999954,0.090774,4,31,0,263.906,0.665285,1.31578,2.47691
-262.392,0.998918,0.165798,4,23,0,262.951,0.713637,1.15642,2.38578
-262.648,0.980239,0.298925,5,31,0,263.466,0.707115,1.29973,2.43452
-264.592,0.825301,0.506609,3,15,0,265.034,0.664401,0.997547,1.72234
-262.979,1,0.554794,3,7,0,264.653,0.697811,1.24822,2.70934
-262.979,0.0288538,0.978865,1,1,0,263.049,0.697811,1.24822,2.70934
-262.317,0.997465,0.122387,2,7,0,263.31,0.708096,1.28134,2.59071
-262.881,0.989444,0.215125,3,15,0,264.135,0.762196,1.20793,2.46833
-265.431,0.806443,0.366728,3,15,0,266.514,0.750871,1.21429,3.07214
