# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:25:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\ptp69zb6.json
# init = 0
# random
#   seed = 1588878709
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation3\exponential_priors-20240423222528.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-355.125,1,0.0625,2,3,0,415.175,0.80693,0.712489,1.58949
-355.125,0,14.3855,0,1,1,355.421,0.80693,0.712489,1.58949
-355.125,0,2.43117,0,1,1,355.604,0.80693,0.712489,1.58949
-355.125,6.34929e-125,0.239791,1,3,1,357.646,0.80693,0.712489,1.58949
-354.956,0.968062,0.0186273,3,15,0,358.831,0.647244,0.651081,1.63615
-357.836,0.993787,0.0233892,5,31,0,359.672,0.644724,0.910437,1.61949
-356.444,0.953644,0.0359517,2,3,0,358.93,0.680072,0.887389,1.68164
-355.069,0.996611,0.0528292,3,15,0,357.125,0.658015,0.873654,1.98611
-353.09,0.997433,0.0931617,3,11,0,355.962,0.710853,0.681332,1.58776
-353.09,7.14336e-005,0.169898,1,1,0,353.582,0.710853,0.681332,1.58776
-353.317,0.995005,0.013463,5,63,0,354.256,0.695806,0.576328,1.41779
-353.062,0.999827,0.0251135,3,15,0,353.451,0.715947,0.591339,1.45323
-353.659,0.988758,0.0479767,3,7,0,353.739,0.748714,0.500552,1.35917
-353.845,0.820577,0.0887769,3,7,0,354.838,0.672764,0.489413,1.171
-353.819,0.955982,0.0971471,3,7,0,353.907,0.660426,0.477172,1.08132
-354.423,0.0687177,0.162185,1,3,1,356.175,0.690085,0.467427,1.21719
-354.115,0.993711,0.0175876,4,15,0,356.023,0.795114,0.480871,1.22922
-355.018,0.94398,0.0333066,2,7,0,355.446,0.703551,0.476336,1.34109
-354.762,0.993336,0.0538574,3,15,0,356.459,0.859583,0.582793,1.52424
-353.297,0.926044,0.10043,3,11,0,354.354,0.73533,0.613752,1.66353
-353.297,7.21877e-007,0.151877,1,3,1,357.175,0.73533,0.613752,1.66353
-354.713,0.994279,0.0147742,6,79,0,355.309,0.695936,0.49869,0.995842
-354.731,1,0.0275913,3,7,0,354.809,0.655937,0.44152,1.07862
-354.893,0.998184,0.0518813,2,7,0,354.908,0.709281,0.466091,0.950845
-355.716,0.460831,0.0960614,3,15,0,358.233,0.846153,0.510802,1.25382
-353.638,0.963508,0.0379248,4,31,0,358.265,0.79559,0.518626,1.37032
-353.517,0.72892,0.0632002,2,7,0,355.317,0.797158,0.565744,1.44017
-353.278,0.927841,0.0540371,4,19,0,354.918,0.784136,0.773195,1.92278
-353.278,0.329939,0.0806255,3,7,0,355.761,0.784136,0.773195,1.92278
-353.703,0.993678,0.0229232,3,7,0,353.747,0.789709,0.792465,1.90132
-354.209,0.973516,0.0409848,3,11,0,355.24,0.798324,0.64372,2.12596
-353.781,1,0.0687099,2,7,0,354.708,0.849472,0.78757,2.13712
-352.913,0.401501,0.122661,2,5,0,354.236,0.746357,0.626885,1.58519
-353.364,0.960227,0.0438327,4,23,0,354.18,0.771156,0.728695,2.10993
-356.524,0.745672,0.0700114,4,15,0,358.351,0.763567,0.424586,0.88891
-354.785,0.940261,0.0631329,2,3,0,356.567,0.646898,0.407699,0.948525
-353.417,1,0.0947236,3,15,0,355.769,0.792411,0.579191,1.463
-353.417,1.12494e-022,0.164824,1,1,0,355.132,0.792411,0.579191,1.463
-354.149,0.988895,0.0217942,5,55,0,354.885,0.81702,0.835037,2.04542
-353.323,0.992903,0.0369559,3,15,0,354.687,0.792496,0.833005,2.27641
-353.191,0.929579,0.0627919,3,11,0,354.077,0.764626,0.773684,1.9016
-353.036,1,0.0902759,3,7,0,353.174,0.751388,0.727514,1.91469
-353.036,8.77714e-006,0.153846,1,3,0,356.106,0.751388,0.727514,1.91469
-354.42,0.998378,0.0219038,4,31,0,355.296,0.862445,0.911962,3.0213
-354.306,0.986109,0.0372609,3,15,0,355.228,0.732072,0.924029,2.36698
-354.548,0.654506,0.0610422,2,7,0,356.764,0.769636,0.869126,2.6454
-353.047,0.992137,0.0444718,4,23,0,355.387,0.747692,0.574169,1.43484
-353.472,0.817938,0.0732975,2,7,0,354.137,0.813308,0.557242,1.58698
-353.943,0.849142,0.0791237,2,3,0,354.27,0.822454,0.538669,1.68873
-353.526,0.870345,0.0918672,2,3,0,354.247,0.803284,0.584574,1.48927
-353.526,0.0153178,0.111887,1,3,0,355.096,0.803284,0.584574,1.48927
-353.665,0.998888,0.0183546,5,51,0,353.89,0.718214,0.740657,1.9699
-353.939,0.994617,0.0303764,3,7,0,354.357,0.74027,0.833558,1.87483
-354.308,0.927334,0.0494457,4,23,0,355.781,0.768578,0.488744,1.46275
-354.737,0.565471,0.0685229,3,15,0,358.377,0.700453,0.897705,1.92638
-355.287,0.997246,0.0414065,3,7,0,355.613,0.652046,0.883476,1.98345
-353.016,0.711486,0.0670177,2,3,0,356.706,0.793195,0.730428,2.02953
-354.005,0.905821,0.0566194,3,7,0,354.861,0.692111,0.828168,1.95615
-353.368,0.556162,0.0740654,3,7,0,357.133,0.81802,0.826716,2.30644
-355.238,0.887475,0.0443298,3,7,0,356.973,0.671556,0.890247,1.82293
-355.525,0.856489,0.0555668,2,3,0,356.831,0.672894,0.923973,1.89687
-355.17,1,0.0648784,1,1,0,355.551,0.675255,0.910022,1.9134
-353.376,1,0.10348,2,3,0,354.897,0.838453,0.751602,2.10414
-353.376,0.161182,0.164136,1,3,0,354.163,0.838453,0.751602,2.10414
-354.606,0.991643,0.0422226,4,15,0,355.129,0.75344,0.992204,2.57018
-353.996,0.983865,0.0657522,2,3,0,354.746,0.852441,0.901863,2.57648
-354.601,0.368155,0.100193,2,3,0,354.996,0.855865,0.948555,2.55175
-354.166,0.814426,0.0410363,2,3,0,356.984,0.861647,0.918349,2.66684
-354.678,0.755465,0.0436011,1,3,0,356.721,0.791345,0.874642,2.79887
-353.248,0.994483,0.0408911,4,23,0,356.261,0.761525,0.555106,1.37043
-353.736,0.91432,0.0632589,2,7,0,354.274,0.81431,0.521429,1.46574
-353.215,0.680903,0.0824338,2,7,0,354.459,0.698301,0.573729,1.2903
-355.804,0.672546,0.0660736,3,15,0,360.723,0.963364,0.669424,2.3427
-354.627,1,0.0521708,2,3,0,355.83,0.879362,0.66976,2.47424
-355.402,0.724598,0.0807436,3,15,0,357.179,0.628663,0.728797,1.34599
-355.358,0.979015,0.0709699,3,15,0,356.263,0.592877,0.725678,1.50116
-355.358,8.11079e-005,0.104609,2,7,0,360.367,0.592877,0.725678,1.50116
-354.338,0.994325,0.0213161,4,31,0,356.656,0.648281,0.653779,1.27029
-353.682,0.99904,0.0324614,3,7,0,354.598,0.658574,0.553132,1.28791
-354.369,0.788128,0.0496891,3,15,0,357.725,0.643948,0.69644,1.62851
-355.109,0.871379,0.0498008,3,7,0,358.556,0.660707,0.814354,1.60022
-355.974,0.847303,0.0588395,4,15,0,356.993,0.804659,0.535203,1.17496
-355.525,1,0.0661876,2,7,0,355.953,0.686058,0.45547,1.26463
-355.525,0.0890879,0.100295,1,1,0,358.783,0.686058,0.45547,1.26463
-353.033,0.999421,0.0256215,4,31,0,356.161,0.721685,0.644966,1.50368
-353.621,0.99697,0.0387941,4,23,0,353.956,0.734477,0.480504,1.15729
-354.554,0.795884,0.0582315,4,23,0,355.521,0.686658,0.710384,1.90049
-353.369,0.986051,0.0591476,3,15,0,357.081,0.760756,0.637321,1.83155
-353.65,0.976968,0.0864418,3,15,0,353.854,0.726389,0.763484,2.0468
-353.65,0.20364,0.123729,2,5,0,355.101,0.726389,0.763484,2.0468
-353.404,0.96781,0.0406964,4,31,0,355.479,0.712599,0.546737,1.21943
