# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = exponential_priors_model
# start_datetime = 2024-04-23 21:31:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmp0ytdydsx\8btuzeja.json
# init = 0
# random
#   seed = 3919124237
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\missingness_end_exponential_priors\T_start=100\realisation4\exponential_priors-20240423223126.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=exponential_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-361.046,1,0.0625,2,3,0,429.649,0.71448,0.605716,1.35467
-361.046,0,14.3855,0,1,1,364.984,0.71448,0.605716,1.35467
-361.046,0,2.43117,0,1,1,366.043,0.71448,0.605716,1.35467
-361.046,5.14305e-188,0.239791,1,1,0,363.192,0.71448,0.605716,1.35467
-359.811,1,0.0186273,3,7,0,361.281,0.6886,0.564774,1.46912
-359.93,0.999615,0.0257257,4,15,0,360.077,0.701526,0.574445,1.4998
-359.771,0.979056,0.0403588,4,23,0,360.497,0.585103,0.538919,1.21517
-361.883,0.921552,0.0643098,3,7,0,362.56,0.751579,0.383723,1.08901
-361.343,0.854473,0.089747,2,3,0,362.546,0.698977,0.374565,1.04606
-362.49,0.520512,0.10419,1,1,0,362.61,0.756281,0.373916,0.991767
-360.791,0.998679,0.0427798,4,31,0,362.869,0.549901,0.669321,1.36988
-361.015,0.857683,0.0806257,4,15,0,362.129,0.543798,0.580586,1.05516
-360.701,0.969046,0.0980993,2,7,0,361.357,0.536599,0.508675,1.10238
-360.701,7.35754e-012,0.170107,2,3,0,361.452,0.536599,0.508675,1.10238
-360.941,0.99239,0.0143587,5,39,0,362.266,0.760377,0.547787,1.49905
-360.458,0.978684,0.0271596,3,7,0,361.707,0.704275,0.530902,1.52653
-361.814,0.797479,0.0490314,3,7,0,363.499,0.635591,0.556995,1.61025
-362.212,0.850091,0.0506083,2,3,0,364.485,0.641854,0.554646,1.65364
-360.427,1,0.0613701,2,3,0,362.07,0.706071,0.564488,1.60457
-360.427,0.00921714,0.116632,1,1,0,361.427,0.706071,0.564488,1.60457
-360.681,0.998381,0.0114497,5,63,0,362.057,0.742697,0.485811,1.34754
-359.92,0.999914,0.0217821,4,31,0,361.541,0.597446,0.45563,1.01285
-360.875,0.985304,0.0412211,4,23,0,361.613,0.725336,0.443302,1.29532
-361.517,0.905977,0.0740156,3,11,0,364.329,0.781075,0.501335,1.46025
-360.842,0.31827,0.104748,3,7,0,362.021,0.558115,0.538971,1.25939
-359.838,0.999397,0.0274981,4,15,0,361.38,0.585125,0.55834,1.26629
-361.5,0.93625,0.0508676,3,15,0,365.616,0.630082,0.352399,0.829362
-363.462,0.853109,0.0780044,3,7,0,365.282,0.437578,0.573781,0.987613
-363.462,0.592825,0.0942245,1,1,0,364.414,0.437578,0.573781,0.987613
-362.08,0.950765,0.0552958,3,7,0,365.22,0.479045,0.470709,0.91644
-361.507,0.908424,0.0872599,3,11,0,362.467,0.762976,0.430964,1.23133
-360.256,0.209867,0.121821,2,5,0,362.686,0.654273,0.485055,1.04756
-362.711,0.894043,0.0257641,2,7,0,364.23,0.594866,0.432745,1.21384
